1479	486163399114993267.wav	سونا کو ہر طرح کی شکلوں میں ڈھالا جاسکتا ہے۔ اس کو چھوٹی سے چھوٹی شکل دی جاسکتی ہے۔	سونا کو ہر طرح کی شکلوں میں ڈھالا جاسکتا ہے اس کو چھوٹی سے چھوٹی شکل دی جاسکتی ہے	س و ن ا | ک و | ہ ر | ط ر ح | ک ی | ش ک ل و ں | م ی ں | ڈ ھ ا ل ا | ج ا س ک ت ا | ہ ے | ا س | ک و | چ ھ و ٹ ی | س ے | چ ھ و ٹ ی | ش ک ل | د ی | ج ا س ک ت ی | ہ ے |	120000	FEMALE
73	18442365596422302616.wav	نتیجے کے طور پر، اس غیر قانونی اقدامات کے انکشاف کے ذریعہ یونانی قانونی برادری کے اندر ایک بڑا اسکینڈل سامنے آیا ہے جسے گزشتہ سالوں کے دوران ججوں، وکلاء، سالیسٹرز اور اٹورنیز نے انجام دیا تھا-	نتیجے کے طور پر اس غیر قانونی اقدامات کے انکشاف کے ذریعہ یونانی قانونی برادری کے اندر ایک بڑا اسکینڈل سامنے آیا ہے جسے گزشتہ سالوں کے دوران ججوں وکلاء سالیسٹرز اور اٹورنیز نے انجام دیا تھا	ن ت ی ج ے | ک ے | ط و ر | پ ر | ا س | غ ی ر | ق ا ن و ن ی | ا ق د ا م ا ت | ک ے | ا ن ک ش ا ف | ک ے | ذ ر ی ع ہ | ی و ن ا ن ی | ق ا ن و ن ی | ب ر ا د ر ی | ک ے | ا ن د ر | ا ی ک | ب ڑ ا | ا س ک ی ن ڈ ل | س ا م ن ے | آ ی ا | ہ ے | ج س ے | گ ز ش ت ہ | س ا ل و ں | ک ے | د و ر ا ن | ج ج و ں | و ک ل ا ء | س ا ل ی س ٹ ر ز | ا و ر | ا ٹ و ر ن ی ز | ن ے | ا ن ج ا م | د ی ا | ت ھ ا |	252480	FEMALE
830	12033181741169346247.wav	کسی ہوائی جہاز یا بحری جہاز یا کسی دوسری سواری سے اترنے کے بعد پہلا اسٹاپ عموماً امیگریشن چیک پوائنٹ ہوتا ہے۔	کسی ہوائی جہاز یا بحری جہاز یا کسی دوسری سواری سے اترنے کے بعد پہلا اسٹاپ عموماً امیگریشن چیک پوائنٹ ہوتا ہے	ک س ی | ہ و ا ئ ی | ج ہ ا ز | ی ا | ب ح ر ی | ج ہ ا ز | ی ا | ک س ی | د و س ر ی | س و ا ر ی | س ے | ا ت ر ن ے | ک ے | ب ع د | پ ہ ل ا | ا س ٹ ا پ | ع م و م ا ً | ا م ی گ ر ی ش ن | چ ی ک | پ و ا ئ ن ٹ | ہ و ت ا | ہ ے |	160320	MALE
80	1426335252578169336.wav	دونوں فریق میجر سیمی فائنل میں ملیں گے جہاں نوسا نے جیتنے والوں کو 11 پوائنٹس سے ہرایا۔	دونوں فریق میجر سیمی فائنل میں ملیں گے جہاں نوسا نے جیتنے والوں کو 11 پوائنٹس سے ہرایا	د و ن و ں | ف ر ی ق | م ی ج ر | س ی م ی | ف ا ئ ن ل | م ی ں | م ل ی ں | گ ے | ج ہ ا ں | ن و س ا | ن ے | ج ی ت ن ے | و ا ل و ں | ک و | 1 1 | پ و ا ئ ن ٹ س | س ے | ہ ر ا ی ا |	114240	FEMALE
343	1618392943660728221.wav	ہمیں ایک سال پرانا مالی بحران لاحق ہے جس نے پچھلے دو ماہ میں اپنی سب سے زیادہ حد کو پالیا ہے، اور میرا خیال ہے کہ اب مالیاتی بازار بحال ہونا شروع ہورہے ہیں۔“	ہمیں ایک سال پرانا مالی بحران لاحق ہے جس نے پچھلے دو ماہ میں اپنی سب سے زیادہ حد کو پالیا ہے اور میرا خیال ہے کہ اب مالیاتی بازار بحال ہونا شروع ہورہے ہیں	ہ م ی ں | ا ی ک | س ا ل | پ ر ا ن ا | م ا ل ی | ب ح ر ا ن | ل ا ح ق | ہ ے | ج س | ن ے | پ چ ھ ل ے | د و | م ا ہ | م ی ں | ا پ ن ی | س ب | س ے | ز ی ا د ہ | ح د | ک و | پ ا ل ی ا | ہ ے | ا و ر | م ی ر ا | خ ی ا ل | ہ ے | ک ہ | ا ب | م ا ل ی ا ت ی | ب ا ز ا ر | ب ح ا ل | ہ و ن ا | ش ر و ع | ہ و ر ہ ے | ہ ی ں |	168960	FEMALE
1236	3187653527606428414.wav	کُچھ جگہیں، گھر پر الکحل کے مشروبات کی پیشکش کرتی ہیں۔ تاہم، شراب نوشی فیصلہ سازی کو خراب کرتی ہے اور تمام اچھے جوئے باز ہوش میں رہنے کی اہمیت کو جانتے ہیں۔	کُچھ جگہیں گھر پر الکحل کے مشروبات کی پیشکش کرتی ہیں تاہم شراب نوشی فیصلہ سازی کو خراب کرتی ہے اور تمام اچھے جوئے باز ہوش میں رہنے کی اہمیت کو جانتے ہیں	ک ُ چ ھ | ج گ ہ ی ں | گ ھ ر | پ ر | ا ل ک ح ل | ک ے | م ش ر و ب ا ت | ک ی | پ ی ش ک ش | ک ر ت ی | ہ ی ں | ت ا ہ م | ش ر ا ب | ن و ش ی | ف ی ص ل ہ | س ا ز ی | ک و | خ ر ا ب | ک ر ت ی | ہ ے | ا و ر | ت م ا م | ا چ ھ ے | ج و ئ ے | ب ا ز | ہ و ش | م ی ں | ر ہ ن ے | ک ی | ا ہ م ی ت | ک و | ج ا ن ت ے | ہ ی ں |	202560	FEMALE
1383	7796132721502061148.wav	پی اے ایل ایم ٹرائل میں زیمیپ نے کنٹرول کا کام کیا، یعنی سائنس دانوں نے اس کا استعمال بیس لائن کے طور پر کیا، اور اس کے دیگر تین علاجوں کا موازنہ کیا۔	پی اے ایل ایم ٹرائل میں زیمیپ نے کنٹرول کا کام کیا یعنی سائنس دانوں نے اس کا استعمال بیس لائن کے طور پر کیا اور اس کے دیگر تین علاجوں کا موازنہ کیا	پ ی | ا ے | ا ی ل | ا ی م | ٹ ر ا ئ ل | م ی ں | ز ی م ی پ | ن ے | ک ن ٹ ر و ل | ک ا | ک ا م | ک ی ا | ی ع ن ی | س ا ئ ن س | د ا ن و ں | ن ے | ا س | ک ا | ا س ت ع م ا ل | ب ی س | ل ا ئ ن | ک ے | ط و ر | پ ر | ک ی ا | ا و ر | ا س | ک ے | د ی گ ر | ت ی ن | ع ل ا ج و ں | ک ا | م و ا ز ن ہ | ک ی ا |	215040	FEMALE
465	4468419947627052058.wav	قرون وسطی کے روایتی قلعے نے طویل عرصے سے تخیل، گھوڑے پر جنگی مقابلے، ضیافت اور آرتوریائی عہد کے گھوڑسواری کی تصویروں کو متاثر کیا ہے۔	قرون وسطی کے روایتی قلعے نے طویل عرصے سے تخیل گھوڑے پر جنگی مقابلے ضیافت اور آرتوریائی عہد کے گھوڑسواری کی تصویروں کو متاثر کیا ہے	ق ر و ن | و س ط ی | ک ے | ر و ا ی ت ی | ق ل ع ے | ن ے | ط و ی ل | ع ر ص ے | س ے | ت خ ی ل | گ ھ و ڑ ے | پ ر | ج ن گ ی | م ق ا ب ل ے | ض ی ا ف ت | ا و ر | آ ر ت و ر ی ا ئ ی | ع ہ د | ک ے | گ ھ و ڑ س و ا ر ی | ک ی | ت ص و ی ر و ں | ک و | م ت ا ث ر | ک ی ا | ہ ے |	202560	FEMALE
578	7611830927469894172.wav	خلیہ تمام زندہ اجسام کی بنیادی یونٹ ہوتی ہے، اور تمام زندہ وجود ایک یا ایک سے زیادہ خلیات سے مل کر بنے ہوتے ہیں-	خلیہ تمام زندہ اجسام کی بنیادی یونٹ ہوتی ہے اور تمام زندہ وجود ایک یا ایک سے زیادہ خلیات سے مل کر بنے ہوتے ہیں	خ ل ی ہ | ت م ا م | ز ن د ہ | ا ج س ا م | ک ی | ب ن ی ا د ی | ی و ن ٹ | ہ و ت ی | ہ ے | ا و ر | ت م ا م | ز ن د ہ | و ج و د | ا ی ک | ی ا | ا ی ک | س ے | ز ی ا د ہ | خ ل ی ا ت | س ے | م ل | ک ر | ب ن ے | ہ و ت ے | ہ ی ں |	289920	MALE
348	6876764148878823720.wav	زندہ بچ جانے والے فرانسسزیک کوول نے بتایا کہ کھڑکی کے شیشوں میں سے ایک آخر کار ٹوٹ گیا اور انھوں نے کھڑکی سے نکلنا شروع کیا۔	زندہ بچ جانے والے فرانسسزیک کوول نے بتایا کہ کھڑکی کے شیشوں میں سے ایک آخر کار ٹوٹ گیا اور انھوں نے کھڑکی سے نکلنا شروع کیا	ز ن د ہ | ب چ | ج ا ن ے | و ا ل ے | ف ر ا ن س س ز ی ک | ک و و ل | ن ے | ب ت ا ی ا | ک ہ | ک ھ ڑ ک ی | ک ے | ش ی ش و ں | م ی ں | س ے | ا ی ک | آ خ ر | ک ا ر | ٹ و ٹ | گ ی ا | ا و ر | ا ن ھ و ں | ن ے | ک ھ ڑ ک ی | س ے | ن ک ل ن ا | ش ر و ع | ک ی ا |	255360	MALE
927	9538903030863864347.wav	اگر آپ ڈرون استعمال کرتے ہیں تو پہلے ہی اچھی طرح جانچ کر لیں کہ آپ کو کن چیزوں کی فلم بنانے کی اجازت ہے اور کن اجازت ناموں اور اضافی لائسنس کی ضرورت ہے۔	اگر آپ ڈرون استعمال کرتے ہیں تو پہلے ہی اچھی طرح جانچ کر لیں کہ آپ کو کن چیزوں کی فلم بنانے کی اجازت ہے اور کن اجازت ناموں اور اضافی لائسنس کی ضرورت ہے	ا گ ر | آ پ | ڈ ر و ن | ا س ت ع م ا ل | ک ر ت ے | ہ ی ں | ت و | پ ہ ل ے | ہ ی | ا چ ھ ی | ط ر ح | ج ا ن چ | ک ر | ل ی ں | ک ہ | آ پ | ک و | ک ن | چ ی ز و ں | ک ی | ف ل م | ب ن ا ن ے | ک ی | ا ج ا ز ت | ہ ے | ا و ر | ک ن | ا ج ا ز ت | ن ا م و ں | ا و ر | ا ض ا ف ی | ل ا ئ س ن س | ک ی | ض ر و ر ت | ہ ے |	205440	FEMALE
647	10589458311200271560.wav	سبھی چیزیں بذات خود انجام دینے اور معلومات پیش کرنے، تعلیم پر مبنی ٹیلی ویژن شوز ہمارے اس نقطے کی وضاحت کرتے ہیں-	سبھی چیزیں بذات خود انجام دینے اور معلومات پیش کرنے تعلیم پر مبنی ٹیلی ویژن شوز ہمارے اس نقطے کی وضاحت کرتے ہیں	س ب ھ ی | چ ی ز ی ں | ب ذ ا ت | خ و د | ا ن ج ا م | د ی ن ے | ا و ر | م ع ل و م ا ت | پ ی ش | ک ر ن ے | ت ع ل ی م | پ ر | م ب ن ی | ٹ ی ل ی | و ی ژ ن | ش و ز | ہ م ا ر ے | ا س | ن ق ط ے | ک ی | و ض ا ح ت | ک ر ت ے | ہ ی ں |	146880	FEMALE
1026	17564826229853822333.wav	ستارے کے راسبی نمبر کا تعین کرنے کے لئے اس کی چمک اور گردش کو ایک ساتھ استعمال کیا جاتا ہے، جو کہ پلازما کے بہاؤ سے متعلق ہے۔	ستارے کے راسبی نمبر کا تعین کرنے کے لئے اس کی چمک اور گردش کو ایک ساتھ استعمال کیا جاتا ہے جو کہ پلازما کے بہاؤ سے متعلق ہے	س ت ا ر ے | ک ے | ر ا س ب ی | ن م ب ر | ک ا | ت ع ی ن | ک ر ن ے | ک ے | ل ئ ے | ا س | ک ی | چ م ک | ا و ر | گ ر د ش | ک و | ا ی ک | س ا ت ھ | ا س ت ع م ا ل | ک ی ا | ج ا ت ا | ہ ے | ج و | ک ہ | پ ل ا ز م ا | ک ے | ب ہ ا ؤ | س ے | م ت ع ل ق | ہ ے |	149760	FEMALE
123	4798453168781796235.wav	نیروبی، کینیا میں واقع ولایاتِ متحدہ کے سفارت خانہ نے ایک وارننگ جاری کی ہے کہ ”صمالیہ کے متشدّدین“ کینیا اور اتھیوپیا میں انتحاری بم حملے کرنے کی پلاننگ کر رہے ہیں۔	نیروبی کینیا میں واقع ولایاتِ متحدہ کے سفارت خانہ نے ایک وارننگ جاری کی ہے کہ صمالیہ کے متشدّدین کینیا اور اتھیوپیا میں انتحاری بم حملے کرنے کی پلاننگ کر رہے ہیں	ن ی ر و ب ی | ک ی ن ی ا | م ی ں | و ا ق ع | و ل ا ی ا ت ِ | م ت ح د ہ | ک ے | س ف ا ر ت | خ ا ن ہ | ن ے | ا ی ک | و ا ر ن ن گ | ج ا ر ی | ک ی | ہ ے | ک ہ | ص م ا ل ی ہ | ک ے | م ت ش د ّ د ی ن | ک ی ن ی ا | ا و ر | ا ت ھ ی و پ ی ا | م ی ں | ا ن ت ح ا ر ی | ب م | ح م ل ے | ک ر ن ے | ک ی | پ ل ا ن ن گ | ک ر | ر ہ ے | ہ ی ں |	238080	FEMALE
550	10174284723639700456.wav	بے شک، ایک اعلیٰ پائے کا ہالف مائلر، ایسا شخص جو دو منٹوں کا ریکارڈ توڑ دے، اسے ایک اچھی رفتار کا مالک ہونا چاہیئے، مگر تمام خطرات میں برداشت کو لازمی اُجاگر کرنا چاہیے۔	بے شک ایک اعلیٰ پائے کا ہالف مائلر ایسا شخص جو دو منٹوں کا ریکارڈ توڑ دے اسے ایک اچھی رفتار کا مالک ہونا چاہیئے مگر تمام خطرات میں برداشت کو لازمی اُجاگر کرنا چاہیے	ب ے | ش ک | ا ی ک | ا ع ل ی ٰ | پ ا ئ ے | ک ا | ہ ا ل ف | م ا ئ ل ر | ا ی س ا | ش خ ص | ج و | د و | م ن ٹ و ں | ک ا | ر ی ک ا ر ڈ | ت و ڑ | د ے | ا س ے | ا ی ک | ا چ ھ ی | ر ف ت ا ر | ک ا | م ا ل ک | ہ و ن ا | چ ا ہ ی ئ ے | م گ ر | ت م ا م | خ ط ر ا ت | م ی ں | ب ر د ا ش ت | ک و | ل ا ز م ی | ا ُ ج ا گ ر | ک ر ن ا | چ ا ہ ی ے |	215040	FEMALE
490	1406967254827805935.wav	تاہم جون 1956 میں خرشچیف کے وعدے اس وقت آزمائش کی کسوٹی پر رکھے گئے جب پولینڈ کے مزدوروں نے غذائی قلت اور اجرت کی تخفیف کے خلاف دنگا کیا۔ بعد میں یہ دنگے کمیونزم کے خلاف عام احتجاج میں بدل گئے۔	تاہم جون 1956 میں خرشچیف کے وعدے اس وقت آزمائش کی کسوٹی پر رکھے گئے جب پولینڈ کے مزدوروں نے غذائی قلت اور اجرت کی تخفیف کے خلاف دنگا کیا بعد میں یہ دنگے کمیونزم کے خلاف عام احتجاج میں بدل گئے	ت ا ہ م | ج و ن | 1 9 5 6 | م ی ں | خ ر ش چ ی ف | ک ے | و ع د ے | ا س | و ق ت | آ ز م ا ئ ش | ک ی | ک س و ٹ ی | پ ر | ر ک ھ ے | گ ئ ے | ج ب | پ و ل ی ن ڈ | ک ے | م ز د و ر و ں | ن ے | غ ذ ا ئ ی | ق ل ت | ا و ر | ا ج ر ت | ک ی | ت خ ف ی ف | ک ے | خ ل ا ف | د ن گ ا | ک ی ا | ب ع د | م ی ں | ی ہ | د ن گ ے | ک م ی و ن ز م | ک ے | خ ل ا ف | ع ا م | ا ح ت ج ا ج | م ی ں | ب د ل | گ ئ ے |	261120	FEMALE
25	6767769470601094581.wav	اٹلانٹا تھریشرز پر واشنگٹن کی 5-3 سے جیت میں انہوں نے 2 گولز داغے اور 2 گول کرنے میں مدد کی۔	اٹلانٹا تھریشرز پر واشنگٹن کی 5-3 سے جیت میں انہوں نے 2 گولز داغے اور 2 گول کرنے میں مدد کی	ا ٹ ل ا ن ٹ ا | ت ھ ر ی ش ر ز | پ ر | و ا ش ن گ ٹ ن | ک ی | 5 - 3 | س ے | ج ی ت | م ی ں | ا ن ہ و ں | ن ے | 2 | گ و ل ز | د ا غ ے | ا و ر | 2 | گ و ل | ک ر ن ے | م ی ں | م د د | ک ی |	163200	FEMALE
1457	14542496152305306423.wav	شاندار موسم اور صبح کے وقت تھوڑی دیر کیلئے ہوئی بوندا باندی کے بیچ صبح 10:00 بجے کھیلوں کا آغاز ہوا، یہ 7' کی رگبی کیلئے بہترین دن تھا۔	شاندار موسم اور صبح کے وقت تھوڑی دیر کیلئے ہوئی بوندا باندی کے بیچ صبح 10:00 بجے کھیلوں کا آغاز ہوا، یہ 7' کی رگبی کیلئے بہترین دن تھا۔	ش ا ن د ا ر | م و س م | ا و ر | ص ب ح | ک ے | و ق ت | ت ھ و ڑ ی | د ی ر | ک ی ل ئ ے | ہ و ئ ی | ب و ن د ا | ب ا ن د ی | ک ے | ب ی چ | ص ب ح | 1 0 : 0 0 | ب ج ے | ک ھ ی ل و ں | ک ا | آ غ ا ز | ہ و ا ، | ی ہ | 7 ' | ک ی | ر گ ب ی | ک ی ل ئ ے | ب ہ ت ر ی ن | د ن | ت ھ ا ۔ |	166080	FEMALE
379	16133585241170323728.wav	تقریبا تین ہزار سال کے بعد، سن 1610 میں، اطالوی ماہر فلکیات گیلیلیو گیلیلی نے دوربین کا استعمال کرتے ہوئے مشاہدہ کیا کہ ٹھیک چاند کی طرح زہرہ کے بھی مراحل ہیں-	تقریبا تین ہزار سال کے بعد سن 1610 میں اطالوی ماہر فلکیات گیلیلیو گیلیلی نے دوربین کا استعمال کرتے ہوئے مشاہدہ کیا کہ ٹھیک چاند کی طرح زہرہ کے بھی مراحل ہیں	ت ق ر ی ب ا | ت ی ن | ہ ز ا ر | س ا ل | ک ے | ب ع د | س ن | 1 6 1 0 | م ی ں | ا ط ا ل و ی | م ا ہ ر | ف ل ک ی ا ت | گ ی ل ی ل ی و | گ ی ل ی ل ی | ن ے | د و ر ب ی ن | ک ا | ا س ت ع م ا ل | ک ر ت ے | ہ و ئ ے | م ش ا ہ د ہ | ک ی ا | ک ہ | ٹ ھ ی ک | چ ا ن د | ک ی | ط ر ح | ز ہ ر ہ | ک ے | ب ھ ی | م ر ا ح ل | ہ ی ں |	233280	FEMALE
1453	16709532635615097745.wav	مقرر کردہ رفتار کی حد قابل ذکر طور پرسابقہ اور مابعد سیکشن کے مقابلہ کم ہے-عام طور پر 35-40 میل فی گھنٹہ (56-64 کیلو میٹر/گھنٹہ)- اور اس کی سختی سے تعمیل اور بھی زیادہ اہمیت کی حامل ہے۔	مقرر کردہ رفتار کی حد قابل ذکر طور پرسابقہ اور مابعد سیکشن کے مقابلہ کم ہے-عام طور پر 35-40 میل فی گھنٹہ 56-64 کیلو میٹر/گھنٹہ- اور اس کی سختی سے تعمیل اور بھی زیادہ اہمیت کی حامل ہے۔	م ق ر ر | ک ر د ہ | ر ف ت ا ر | ک ی | ح د | ق ا ب ل | ذ ک ر | ط و ر | پ ر س ا ب ق ہ | ا و ر | م ا ب ع د | س ی ک ش ن | ک ے | م ق ا ب ل ہ | ک م | ہ ے - ع ا م | ط و ر | پ ر | 3 5 - 4 0 | م ی ل | ف ی | گ ھ ن ٹ ہ | 5 6 - 6 4 | ک ی ل و | م ی ٹ ر / گ ھ ن ٹ ہ - | ا و ر | ا س | ک ی | س خ ت ی | س ے | ت ع م ی ل | ا و ر | ب ھ ی | ز ی ا د ہ | ا ہ م ی ت | ک ی | ح ا م ل | ہ ے ۔ |	251520	FEMALE
1210	3338769165250907481.wav	نیشنل ہریکین سینٹر (این ایچ سی) کہتا ہے کہ اس موقع پر جیری، زمین کے لیے کسی خطرے کا باعث نہیں۔	نیشنل ہریکین سینٹر این ایچ سی کہتا ہے کہ اس موقع پر جیری، زمین کے لیے کسی خطرے کا باعث نہیں۔	ن ی ش ن ل | ہ ر ی ک ی ن | س ی ن ٹ ر | ا ی ن | ا ی چ | س ی | ک ہ ت ا | ہ ے | ک ہ | ا س | م و ق ع | پ ر | ج ی ر ی ، | ز م ی ن | ک ے | ل ی ے | ک س ی | خ ط ر ے | ک ا | ب ا ع ث | ن ہ ی ں ۔ |	157440	MALE
75	16975394035206815317.wav	مزید بر آں اعلیٰ جج ایوانجلوس کالوسیس کو قید کی سزا دی گئی کیوں کہ وہ کرپشن اور فسق و فجور کا مجرم پایا گیا۔	مزید بر آں اعلیٰ جج ایوانجلوس کالوسیس کو قید کی سزا دی گئی کیوں کہ وہ کرپشن اور فسق و فجور کا مجرم پایا گیا	م ز ی د | ب ر | آ ں | ا ع ل ی ٰ | ج ج | ا ی و ا ن ج ل و س | ک ا ل و س ی س | ک و | ق ی د | ک ی | س ز ا | د ی | گ ئ ی | ک ی و ں | ک ہ | و ہ | ک ر پ ش ن | ا و ر | ف س ق | و | ف ج و ر | ک ا | م ج ر م | پ ا ی ا | گ ی ا |	188160	MALE
518	7878003687528321781.wav	چمپینزی کے ہاتھ پاؤں حجم اور لمبائی میں یکساں ہوتے ہیں اور اس کی بنا پر جب وہ پچھلے پنجے پر چلتا ہے تو ہاتھ میں بوجھ اٹھا سکتا ہے۔	چمپینزی کے ہاتھ پاؤں حجم اور لمبائی میں یکساں ہوتے ہیں اور اس کی بنا پر جب وہ پچھلے پنجے پر چلتا ہے تو ہاتھ میں بوجھ اٹھا سکتا ہے	چ م پ ی ن ز ی | ک ے | ہ ا ت ھ | پ ا ؤ ں | ح ج م | ا و ر | ل م ب ا ئ ی | م ی ں | ی ک س ا ں | ہ و ت ے | ہ ی ں | ا و ر | ا س | ک ی | ب ن ا | پ ر | ج ب | و ہ | پ چ ھ ل ے | پ ن ج ے | پ ر | چ ل ت ا | ہ ے | ت و | ہ ا ت ھ | م ی ں | ب و ج ھ | ا ٹ ھ ا | س ک ت ا | ہ ے |	230400	MALE
458	12932712529998537028.wav	زوم لینسوں کا ایک دوسرا نقصان اسکے لینس کا زائد ترین اپرچر (رفتار) ہے جو عام طور پر کم ہوتا ہے-	زوم لینسوں کا ایک دوسرا نقصان اسکے لینس کا زائد ترین اپرچر رفتار ہے جو عام طور پر کم ہوتا ہے-	ز و م | ل ی ن س و ں | ک ا | ا ی ک | د و س ر ا | ن ق ص ا ن | ا س ک ے | ل ی ن س | ک ا | ز ا ئ د | ت ر ی ن | ا پ ر چ ر | ر ف ت ا ر | ہ ے | ج و | ع ا م | ط و ر | پ ر | ک م | ہ و ت ا | ہ ے - |	147840	FEMALE
329	3414713954696034245.wav	انہوں نے 1945 میں ان میں شمولیت اختیار کی اور 1958 تک ان کے ساتھ رہے۔	انہوں نے 1945 میں ان میں شمولیت اختیار کی اور 1958 تک ان کے ساتھ رہے	ا ن ہ و ں | ن ے | 1 9 4 5 | م ی ں | ا ن | م ی ں | ش م و ل ی ت | ا خ ت ی ا ر | ک ی | ا و ر | 1 9 5 8 | ت ک | ا ن | ک ے | س ا ت ھ | ر ہ ے |	157440	MALE
633	17702322797962627735.wav	مثلا اگر آپ کسی شخص کو کار کا شیش توڑتے ہوئے دیکھتے ہیں، تو آپ یہی فرض کریں گے کہ وہ کسی اجنبی کی کار چوری کرنے کی کوشش کر رہا ہے-	مثلا اگر آپ کسی شخص کو کار کا شیش توڑتے ہوئے دیکھتے ہیں تو آپ یہی فرض کریں گے کہ وہ کسی اجنبی کی کار چوری کرنے کی کوشش کر رہا ہے	م ث ل ا | ا گ ر | آ پ | ک س ی | ش خ ص | ک و | ک ا ر | ک ا | ش ی ش | ت و ڑ ت ے | ہ و ئ ے | د ی ک ھ ت ے | ہ ی ں | ت و | آ پ | ی ہ ی | ف ر ض | ک ر ی ں | گ ے | ک ہ | و ہ | ک س ی | ا ج ن ب ی | ک ی | ک ا ر | چ و ر ی | ک ر ن ے | ک ی | ک و ش ش | ک ر | ر ہ ا | ہ ے |	178560	FEMALE
874	11487841514478210843.wav	اگر آپ زیادہ مہم جو محسوس کررہے ہیں، تو اس موقع پر جوس لینے کا موقع لیں یا کچھ سمودھی پھینٹ لیں۔	اگر آپ زیادہ مہم جو محسوس کررہے ہیں تو اس موقع پر جوس لینے کا موقع لیں یا کچھ سمودھی پھینٹ لیں	ا گ ر | آ پ | ز ی ا د ہ | م ہ م | ج و | م ح س و س | ک ر ر ہ ے | ہ ی ں | ت و | ا س | م و ق ع | پ ر | ج و س | ل ی ن ے | ک ا | م و ق ع | ل ی ں | ی ا | ک چ ھ | س م و د ھ ی | پ ھ ی ن ٹ | ل ی ں |	132480	FEMALE
616	816045490155143527.wav	تاہم، نئے شواہد سے معلوم ہوتا ہے کہ موریوری برّ اَعظم ماوری کے ایک گروپ میں سے تھے جو نیوزی لینڈ سے چیتھم جزیروں کی طرف ہجرت کر گئے تھے، اور وہاں اپنی مخصوص، پرامن ترقی پذیر ثقافت قائم کی تھی۔	تاہم نئے شواہد سے معلوم ہوتا ہے کہ موریوری برّ اَعظم ماوری کے ایک گروپ میں سے تھے جو نیوزی لینڈ سے چیتھم جزیروں کی طرف ہجرت کر گئے تھے اور وہاں اپنی مخصوص پرامن ترقی پذیر ثقافت قائم کی تھی	ت ا ہ م | ن ئ ے | ش و ا ہ د | س ے | م ع ل و م | ہ و ت ا | ہ ے | ک ہ | م و ر ی و ر ی | ب ر ّ | ا َ ع ظ م | م ا و ر ی | ک ے | ا ی ک | گ ر و پ | م ی ں | س ے | ت ھ ے | ج و | ن ی و ز ی | ل ی ن ڈ | س ے | چ ی ت ھ م | ج ز ی ر و ں | ک ی | ط ر ف | ہ ج ر ت | ک ر | گ ئ ے | ت ھ ے | ا و ر | و ہ ا ں | ا پ ن ی | م خ ص و ص | پ ر ا م ن | ت ر ق ی | پ ذ ی ر | ث ق ا ف ت | ق ا ئ م | ک ی | ت ھ ی |	305280	MALE
277	18279210756722619911.wav	اسٹرنس اس بات کی تحقیقات کر رہے ہیں کہ آیا نگراں اور ذیلی تفتیشی کمیٹی کے چیئرمین جو ہاؤس انرجی اور کامرس کمیٹی کی چھتری کے تحت ہیں، کی حیثیت سے انہوں نے منصوبہ بند والدیت کے ذریعہ محصولات کا استعمال اسقاط حمل فنڈ کیلئے تو نہیں کیا ۔	اسٹرنس اس بات کی تحقیقات کر رہے ہیں کہ آیا نگراں اور ذیلی تفتیشی کمیٹی کے چیئرمین جو ہاؤس انرجی اور کامرس کمیٹی کی چھتری کے تحت ہیں، کی حیثیت سے انہوں نے منصوبہ بند والدیت کے ذریعہ محصولات کا استعمال اسقاط حمل فنڈ کیلئے تو نہیں کیا ۔	ا س ٹ ر ن س | ا س | ب ا ت | ک ی | ت ح ق ی ق ا ت | ک ر | ر ہ ے | ہ ی ں | ک ہ | آ ی ا | ن گ ر ا ں | ا و ر | ذ ی ل ی | ت ف ت ی ش ی | ک م ی ٹ ی | ک ے | چ ی ئ ر م ی ن | ج و | ہ ا ؤ س | ا ن ر ج ی | ا و ر | ک ا م ر س | ک م ی ٹ ی | ک ی | چ ھ ت ر ی | ک ے | ت ح ت | ہ ی ں ، | ک ی | ح ی ث ی ت | س ے | ا ن ہ و ں | ن ے | م ن ص و ب ہ | ب ن د | و ا ل د ی ت | ک ے | ذ ر ی ع ہ | م ح ص و ل ا ت | ک ا | ا س ت ع م ا ل | ا س ق ا ط | ح م ل | ف ن ڈ | ک ی ل ئ ے | ت و | ن ہ ی ں | ک ی ا | ۔ |	332160	FEMALE
54	8393772674902739275.wav	سماعت میں فوری طور پر مقدمے کی سماعت کے لئے مشتبہ شخص کے حق کی تاریخ بھی شامل ہے۔	سماعت میں فوری طور پر مقدمے کی سماعت کے لئے مشتبہ شخص کے حق کی تاریخ بھی شامل ہے	س م ا ع ت | م ی ں | ف و ر ی | ط و ر | پ ر | م ق د م ے | ک ی | س م ا ع ت | ک ے | ل ئ ے | م ش ت ب ہ | ش خ ص | ک ے | ح ق | ک ی | ت ا ر ی خ | ب ھ ی | ش ا م ل | ہ ے |	122880	MALE
