1246	15844514211231253015.wav	في أواخر عام 2015، أنشأت "توجي نت" راديو "أسترو نت " كمحطة إذاعية تابعة.	في أواخر عام 2015، أنشأت توجي نت راديو أسترو نت  كمحطة إذاعية تابعة	ف ي | أ و ا خ ر | ع ا م | 2 0 1 5 ، | أ ن ش أ ت | ت و ج ي | ن ت | ر ا د ي و | أ س ت ر و | ن ت | ك م ح ط ة | إ ذ ا ع ي ة | ت ا ب ع ة |	135360	MALE
409	17388816584793349782.wav	ومع ذلك، فإن اكتشاف قبره في عام 1922 جعله من المشاهير. في حين نُهب العديد من مقابر الماضي، إلا أن هذا القبر لم يُعبث به تقريباً.	ومع ذلك فإن اكتشاف قبره في عام 1922 جعله من المشاهير في حين نُهب العديد من مقابر الماضي إلا أن هذا القبر لم يُعبث به تقريباً	و م ع | ذ ل ك | ف إ ن | ا ك ت ش ا ف | ق ب ر ه | ف ي | ع ا م | 1 9 2 2 | ج ع ل ه | م ن | ا ل م ش ا ه ي ر | ف ي | ح ي ن | ن ُ ه ب | ا ل ع د ي د | م ن | م ق ا ب ر | ا ل م ا ض ي | إ ل ا | أ ن | ه ذ ا | ا ل ق ب ر | ل م | ي ُ ع ب ث | ب ه | ت ق ر ي ب ا ً |	186240	FEMALE
1395	12875418218221139742.wav	لابد من وجود مزوِّد خدمة هاتف محلي قادر على تقديم مزيد من المعلومات عن طرق الاتصال بهذه الخدمة.	لابد من وجود مزوِّد خدمة هاتف محلي قادر على تقديم مزيد من المعلومات عن طرق الاتصال بهذه الخدمة	ل ا ب د | م ن | و ج و د | م ز و ِ ّ د | خ د م ة | ه ا ت ف | م ح ل ي | ق ا د ر | ع ل ى | ت ق د ي م | م ز ي د | م ن | ا ل م ع ل و م ا ت | ع ن | ط ر ق | ا ل ا ت ص ا ل | ب ه ذ ه | ا ل خ د م ة |	155520	FEMALE
1422	1054273401879813848.wav	الطريق البديهي لتتمكن من السفر على الدرجة الأولى أو درجة رجال الأعمال هي تخصيص مبلغ مالي كبير لتحصل على هذا الامتياز (أو أفضل لك أن تنيب شركتك في القيام بذلك).	الطريق البديهي لتتمكن من السفر على الدرجة الأولى أو درجة رجال الأعمال هي تخصيص مبلغ مالي كبير لتحصل على هذا الامتياز أو أفضل لك أن تنيب شركتك في القيام بذلك	ا ل ط ر ي ق | ا ل ب د ي ه ي | ل ت ت م ك ن | م ن | ا ل س ف ر | ع ل ى | ا ل د ر ج ة | ا ل أ و ل ى | أ و | د ر ج ة | ر ج ا ل | ا ل أ ع م ا ل | ه ي | ت خ ص ي ص | م ب ل غ | م ا ل ي | ك ب ي ر | ل ت ح ص ل | ع ل ى | ه ذ ا | ا ل ا م ت ي ا ز | أ و | أ ف ض ل | ل ك | أ ن | ت ن ي ب | ش ر ك ت ك | ف ي | ا ل ق ي ا م | ب ذ ل ك |	194880	FEMALE
191	1413981752316087529.wav	تم منح المسافرين الماء أثناء الانتظار في درجة حرارة تصل إلى 90 درجة فهرنهايت.	تم منح المسافرين الماء أثناء الانتظار في درجة حرارة تصل إلى 90 درجة فهرنهايت	ت م | م ن ح | ا ل م س ا ف ر ي ن | ا ل م ا ء | أ ث ن ا ء | ا ل ا ن ت ظ ا ر | ف ي | د ر ج ة | ح ر ا ر ة | ت ص ل | إ ل ى | 9 0 | د ر ج ة | ف ه ر ن ه ا ي ت |	152640	FEMALE
964	6145775775058507182.wav	يواصل السجال الدبلوماسي حول المنطقة في توتر العلاقات بين أرمينيا و أذربيجان.	يواصل السجال الدبلوماسي حول المنطقة في توتر العلاقات بين أرمينيا و أذربيجان	ي و ا ص ل | ا ل س ج ا ل | ا ل د ب ل و م ا س ي | ح و ل | ا ل م ن ط ق ة | ف ي | ت و ت ر | ا ل ع ل ا ق ا ت | ب ي ن | أ ر م ي ن ي ا | و | أ ذ ر ب ي ج ا ن |	143040	FEMALE
1358	12292184375660000058.wav	كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعدًا في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.	كان كوكتيل واحد من الأجسام المضادة وهو zmapp واعدًا في البداية في هذا المجال ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت	ك ا ن | ك و ك ت ي ل | و ا ح د | م ن | ا ل أ ج س ا م | ا ل م ض ا د ة | و ه و | z m a p p | و ا ع د ً ا | ف ي | ا ل ب د ا ي ة | ف ي | ه ذ ا | ا ل م ج ا ل | و ل ك ن | ا ل د ر ا س ا ت | ا ل ر س م ي ة | أ ش ا ر ت | إ ل ى | أ ن | ا ل ف ا ئ د ة | ا ل م ت ر ت ب ة | ع ل ى | ه ذ ا | ا ل ك و ك ت ي ل | ك ا ن ت | أ ق ل | م ن | ا ل ف و ا ئ د | ا ل ت ي | ت م | ا ل س ع ي | إ ل ي ه ا | ف ي | م ن ع | ا ل م و ت |	306240	FEMALE
796	11064365948872069666.wav	يجب عليهم إظهار عنوان البريد الإلكتروني الخاص بالمؤمّن وأرقام الهاتف الدولية للحصول على المشورة/التفويضات وتقديم الدعاوي.	يجب عليهم إظهار عنوان البريد الإلكتروني الخاص بالمؤمّن وأرقام الهاتف الدولية للحصول على المشورة/التفويضات وتقديم الدعاوي	ي ج ب | ع ل ي ه م | إ ظ ه ا ر | ع ن و ا ن | ا ل ب ر ي د | ا ل إ ل ك ت ر و ن ي | ا ل خ ا ص | ب ا ل م ؤ م ّ ن | و أ ر ق ا م | ا ل ه ا ت ف | ا ل د و ل ي ة | ل ل ح ص و ل | ع ل ى | ا ل م ش و ر ة / ا ل ت ف و ي ض ا ت | و ت ق د ي م | ا ل د ع ا و ي |	163200	FEMALE
945	6745844701047993528.wav	يمكن أن تكون أيضاً طريقة جيدة لتمديد الميزانية للسماح بإقامة أطول في مكان ما نظراً لأن العديد من الوظائف التطوعية توفر سكناً وطعاماً ويدفع عدد قليل منهم راتباً صغيراً.	يمكن أن تكون أيضاً طريقة جيدة لتمديد الميزانية للسماح بإقامة أطول في مكان ما نظراً لأن العديد من الوظائف التطوعية توفر سكناً وطعاماً ويدفع عدد قليل منهم راتباً صغيراً	ي م ك ن | أ ن | ت ك و ن | أ ي ض ا ً | ط ر ي ق ة | ج ي د ة | ل ت م د ي د | ا ل م ي ز ا ن ي ة | ل ل س م ا ح | ب إ ق ا م ة | أ ط و ل | ف ي | م ك ا ن | م ا | ن ظ ر ا ً | ل أ ن | ا ل ع د ي د | م ن | ا ل و ظ ا ئ ف | ا ل ت ط و ع ي ة | ت و ف ر | س ك ن ا ً | و ط ع ا م ا ً | و ي د ف ع | ع د د | ق ل ي ل | م ن ه م | ر ا ت ب ا ً | ص غ ي ر ا ً |	321600	FEMALE
444	11992556178420725345.wav	ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل، ويعمل معظم الموظفون يعملون في الاقتصاد غير الرسمي.	ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل ويعمل معظم الموظفون يعملون في الاقتصاد غير الرسمي	ث م ا ن ي ة | ع ش ر | ف ي | ا ل م ا ئ ة | م ن | ا ل ف ن ز و ي ل ي ي ن | ع ا ط ل و ن | ع ن | ا ل ع م ل | و ي ع م ل | م ع ظ م | ا ل م و ظ ف و ن | ي ع م ل و ن | ف ي | ا ل ا ق ت ص ا د | غ ي ر | ا ل ر س م ي |	140160	MALE
25	11280727933738713566.wav	سجّل هدفين ومرر تمريرتين حاسمتين في المباراة التي تغلّب فيها فريق واشنطن على فريق أتلانتا ثراشرز بنتيجة 5-3.	سجّل هدفين ومرر تمريرتين حاسمتين في المباراة التي تغلّب فيها فريق واشنطن على فريق أتلانتا ثراشرز بنتيجة 5-3	س ج ّ ل | ه د ف ي ن | و م ر ر | ت م ر ي ر ت ي ن | ح ا س م ت ي ن | ف ي | ا ل م ب ا ر ا ة | ا ل ت ي | ت غ ل ّ ب | ف ي ه ا | ف ر ي ق | و ا ش ن ط ن | ع ل ى | ف ر ي ق | أ ت ل ا ن ت ا | ث ر ا ش ر ز | ب ن ت ي ج ة | 5 - 3 |	205440	FEMALE
638	6705212913518832909.wav	بعد أريع سنوات، تم منح براءة اختراع، والتي كانت أول براءة اختراع في العالم يتم منحها في مجال التصوير بالرنين المغناطيسي.	بعد أريع سنوات تم منح براءة اختراع والتي كانت أول براءة اختراع في العالم يتم منحها في مجال التصوير بالرنين المغناطيسي	ب ع د | أ ر ي ع | س ن و ا ت | ت م | م ن ح | ب ر ا ء ة | ا خ ت ر ا ع | و ا ل ت ي | ك ا ن ت | أ و ل | ب ر ا ء ة | ا خ ت ر ا ع | ف ي | ا ل ع ا ل م | ي ت م | م ن ح ه ا | ف ي | م ج ا ل | ا ل ت ص و ي ر | ب ا ل ر ن ي ن | ا ل م غ ن ا ط ي س ي |	159360	FEMALE
350	3395893603644567027.wav	يعمل العلماء على إنشاءِ مفاعلٍ يمكنه إنتاج الطاقة بنفس الطريقة.	يعمل العلماء على إنشاءِ مفاعلٍ يمكنه إنتاج الطاقة بنفس الطريقة	ي ع م ل | ا ل ع ل م ا ء | ع ل ى | إ ن ش ا ء ِ | م ف ا ع ل ٍ | ي م ك ن ه | إ ن ت ا ج | ا ل ط ا ق ة | ب ن ف س | ا ل ط ر ي ق ة |	109440	FEMALE
362	304244533106985702.wav	الفوتونات أصغر حتى من مكونات الذرات!	الفوتونات أصغر حتى من مكونات الذرات	ا ل ف و ت و ن ا ت | أ ص غ ر | ح ت ى | م ن | م ك و ن ا ت | ا ل ذ ر ا ت |	88320	FEMALE
29	2199175723232685211.wav	تخرّج في كلية الآداب والعلوم في جامعة فرجينيا عام 1950 وكان متبرعًا بارزًا لهذه المؤسسة.	تخرّج في كلية الآداب والعلوم في جامعة فرجينيا عام 1950 وكان متبرعًا بارزًا لهذه المؤسسة	ت خ ر ّ ج | ف ي | ك ل ي ة | ا ل آ د ا ب | و ا ل ع ل و م | ف ي | ج ا م ع ة | ف ر ج ي ن ي ا | ع ا م | 1 9 5 0 | و ك ا ن | م ت ب ر ع ً ا | ب ا ر ز ً ا | ل ه ذ ه | ا ل م ؤ س س ة |	177600	FEMALE
1168	5407524822747254867.wav	لا ينبغي لأي طفل أبداً أن ينمو في بيئة لا تقوم على التنشئة والرعاية والتعليم، ولكنهم يفعلون ذلك.	لا ينبغي لأي طفل أبداً أن ينمو في بيئة لا تقوم على التنشئة والرعاية والتعليم ولكنهم يفعلون ذلك	ل ا | ي ن ب غ ي | ل أ ي | ط ف ل | أ ب د ا ً | أ ن | ي ن م و | ف ي | ب ي ئ ة | ل ا | ت ق و م | ع ل ى | ا ل ت ن ش ئ ة | و ا ل ر ع ا ي ة | و ا ل ت ع ل ي م | و ل ك ن ه م | ي ف ع ل و ن | ذ ل ك |	113280	FEMALE
42	8213449514574717035.wav	يعتقد البعض، ومنهم جون جرانت، أن أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية قد ساهمت في إنهاء المسلسل.	يعتقد البعض ومنهم جون جرانت أن أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية قد ساهمت في إنهاء المسلسل	ي ع ت ق د | ا ل ب ع ض | و م ن ه م | ج و ن | ج ر ا ن ت | أ ن | أ ز م ة | ا ل ت م و ي ل | و ا ل ت ح و ل | ف ي | ف ل س ف ة | ا ل ب ر ا م ج | ا ل ت ل ف ز ي و ن ي ة | ا ل ت ع ل ي م ي ة | ق د | س ا ه م ت | ف ي | إ ن ه ا ء | ا ل م س ل س ل |	168960	MALE
666	14556034615592233170.wav	تتضمن الزيارة "التقليدية" السفر إلى مطار أورلاندو الدولي، والانتقال إلى أحد فنادق ديزني في الموقع، وقضاء حوالي أسبوع دون مغادرة ملكية ديزني والعودة إلى الوطن.	تتضمن الزيارة التقليدية السفر إلى مطار أورلاندو الدولي والانتقال إلى أحد فنادق ديزني في الموقع وقضاء حوالي أسبوع دون مغادرة ملكية ديزني والعودة إلى الوطن	ت ت ض م ن | ا ل ز ي ا ر ة | ا ل ت ق ل ي د ي ة | ا ل س ف ر | إ ل ى | م ط ا ر | أ و ر ل ا ن د و | ا ل د و ل ي | و ا ل ا ن ت ق ا ل | إ ل ى | أ ح د | ف ن ا د ق | د ي ز ن ي | ف ي | ا ل م و ق ع | و ق ض ا ء | ح و ا ل ي | أ س ب و ع | د و ن | م غ ا د ر ة | م ل ك ي ة | د ي ز ن ي | و ا ل ع و د ة | إ ل ى | ا ل و ط ن |	213120	FEMALE
1221	16895914164568795452.wav	ستقام دورة الألعاب الأولمبية للمعاقين في الفترة من 24 آب إلى 5 أيلول عام 2021، وستقام بعض أحداث الدورة في مواقع أخرى في أنحاء مختلفة من اليابان.	ستقام دورة الألعاب الأولمبية للمعاقين في الفترة من 24 آب إلى 5 أيلول عام 2021 وستقام بعض أحداث الدورة في مواقع أخرى في أنحاء مختلفة من اليابان	س ت ق ا م | د و ر ة | ا ل أ ل ع ا ب | ا ل أ و ل م ب ي ة | ل ل م ع ا ق ي ن | ف ي | ا ل ف ت ر ة | م ن | 2 4 | آ ب | إ ل ى | 5 | أ ي ل و ل | ع ا م | 2 0 2 1 | و س ت ق ا م | ب ع ض | أ ح د ا ث | ا ل د و ر ة | ف ي | م و ا ق ع | أ خ ر ى | ف ي | أ ن ح ا ء | م خ ت ل ف ة | م ن | ا ل ي ا ب ا ن |	228480	FEMALE
1386	15955570382856553383.wav	تأكد من أن الحافلة التي تفكر في أن تقلها تذهب إلى الخليل وليس فقط إلى مستوطنة كريات أربع اليهودية القريبة.	تأكد من أن الحافلة التي تفكر في أن تقلها تذهب إلى الخليل وليس فقط إلى مستوطنة كريات أربع اليهودية القريبة	ت أ ك د | م ن | أ ن | ا ل ح ا ف ل ة | ا ل ت ي | ت ف ك ر | ف ي | أ ن | ت ق ل ه ا | ت ذ ه ب | إ ل ى | ا ل خ ل ي ل | و ل ي س | ف ق ط | إ ل ى | م س ت و ط ن ة | ك ر ي ا ت | أ ر ب ع | ا ل ي ه و د ي ة | ا ل ق ر ي ب ة |	195840	FEMALE
466	103025699091164379.wav	وحتى لو كنت واقفاً وسط آثار عمرها ألف سنة، فمن السهل أن يحضر في ذهنك أصوات وروائح المعارك التي مرت منذ فترةٍ طويلةٍ، وأن تسمع تقريباً صوت الثرثرة على القلنسوة على الحصى وأن نشم رائحة الخوف الذي يتصاعد من حفر الزنزانة.	وحتى لو كنت واقفاً وسط آثار عمرها ألف سنة فمن السهل أن يحضر في ذهنك أصوات وروائح المعارك التي مرت منذ فترةٍ طويلةٍ وأن تسمع تقريباً صوت الثرثرة على القلنسوة على الحصى وأن نشم رائحة الخوف الذي يتصاعد من حفر الزنزانة	و ح ت ى | ل و | ك ن ت | و ا ق ف ا ً | و س ط | آ ث ا ر | ع م ر ه ا | أ ل ف | س ن ة | ف م ن | ا ل س ه ل | أ ن | ي ح ض ر | ف ي | ذ ه ن ك | أ ص و ا ت | و ر و ا ئ ح | ا ل م ع ا ر ك | ا ل ت ي | م ر ت | م ن ذ | ف ت ر ة ٍ | ط و ي ل ة ٍ | و أ ن | ت س م ع | ت ق ر ي ب ا ً | ص و ت | ا ل ث ر ث ر ة | ع ل ى | ا ل ق ل ن س و ة | ع ل ى | ا ل ح ص ى | و أ ن | ن ش م | ر ا ئ ح ة | ا ل خ و ف | ا ل ذ ي | ي ت ص ا ع د | م ن | ح ف ر | ا ل ز ن ز ا ن ة |	425280	FEMALE
361	13080692576468522024.wav	تُظهرالصورة الموالية الذرات حين تنبعث منها الفوتونات. بالتأكيد تكون الفوتونات في الواقع أصغر بكثير من تلك الموجودة في الصورة.	تُظهرالصورة الموالية الذرات حين تنبعث منها الفوتونات بالتأكيد تكون الفوتونات في الواقع أصغر بكثير من تلك الموجودة في الصورة	ت ُ ظ ه ر ا ل ص و ر ة | ا ل م و ا ل ي ة | ا ل ذ ر ا ت | ح ي ن | ت ن ب ع ث | م ن ه ا | ا ل ف و ت و ن ا ت | ب ا ل ت أ ك ي د | ت ك و ن | ا ل ف و ت و ن ا ت | ف ي | ا ل و ا ق ع | أ ص غ ر | ب ك ث ي ر | م ن | ت ل ك | ا ل م و ج و د ة | ف ي | ا ل ص و ر ة |	155520	FEMALE
134	12491397156565343050.wav	لم يمسس اللافتة ضرر مادي؛ ذلك لأن المتعدي استخدم تربولين أسود مزيناً بعلامة السلام ورسمة لقلب في تعديلاته لتغيير شكل حرف ال"O" ليبدو كحرف "e".	لم يمسس اللافتة ضرر مادي؛ ذلك لأن المتعدي استخدم تربولين أسود مزيناً بعلامة السلام ورسمة لقلب في تعديلاته لتغيير شكل حرف ال"o ليبدو كحرف e	ل م | ي م س س | ا ل ل ا ف ت ة | ض ر ر | م ا د ي ؛ | ذ ل ك | ل أ ن | ا ل م ت ع د ي | ا س ت خ د م | ت ر ب و ل ي ن | أ س و د | م ز ي ن ا ً | ب ع ل ا م ة | ا ل س ل ا م | و ر س م ة | ل ق ل ب | ف ي | ت ع د ي ل ا ت ه | ل ت غ ي ي ر | ش ك ل | ح ر ف | ا ل " o | ل ي ب د و | ك ح ر ف | e |	242880	FEMALE
1155	9831615133098905624.wav	تتضمن الأمثلة التحكم والتخطيط ووضع الجداول والقدرة على الإجابة على تشخيصات الزبائن وأسئلتهم، وإضافة إلى ذلك التعرف على خط اليد والصوت والوجه.	تتضمن الأمثلة التحكم والتخطيط ووضع الجداول والقدرة على الإجابة على تشخيصات الزبائن وأسئلتهم وإضافة إلى ذلك التعرف على خط اليد والصوت والوجه	ت ت ض م ن | ا ل أ م ث ل ة | ا ل ت ح ك م | و ا ل ت خ ط ي ط | و و ض ع | ا ل ج د ا و ل | و ا ل ق د ر ة | ع ل ى | ا ل إ ج ا ب ة | ع ل ى | ت ش خ ي ص ا ت | ا ل ز ب ا ئ ن | و أ س ئ ل ت ه م | و إ ض ا ف ة | إ ل ى | ذ ل ك | ا ل ت ع ر ف | ع ل ى | خ ط | ا ل ي د | و ا ل ص و ت | و ا ل و ج ه |	232320	MALE
195	7283942992871828292.wav	أصيب البرازيلي بجروح خطيرة في الرأس إثر اصطدام خلال سباق جائزة المجر الكبرى عام 2009.	أصيب البرازيلي بجروح خطيرة في الرأس إثر اصطدام خلال سباق جائزة المجر الكبرى عام 2009	أ ص ي ب | ا ل ب ر ا ز ي ل ي | ب ج ر و ح | خ ط ي ر ة | ف ي | ا ل ر أ س | إ ث ر | ا ص ط د ا م | خ ل ا ل | س ب ا ق | ج ا ئ ز ة | ا ل م ج ر | ا ل ك ب ر ى | ع ا م | 2 0 0 9 |	138240	FEMALE
1342	5125502459823675918.wav	"إنهم أبرد من السطح المحيط نهاراً وأكثر دفئاً منه في الليل."	إنهم أبرد من السطح المحيط نهاراً وأكثر دفئاً منه في الليل	إ ن ه م | أ ب ر د | م ن | ا ل س ط ح | ا ل م ح ي ط | ن ه ا ر ا ً | و أ ك ث ر | د ف ئ ا ً | م ن ه | ف ي | ا ل ل ي ل |	116160	FEMALE
1300	5391078864220700541.wav	لما قد ترغب منظمة ما إنشاء منظمة تعليمية في عملية تستهلك وقتاً طويلاً؟ إنّ الابتكار يُعتبر أحد أهداف تطبيق مفاهيم التعلم المؤسّسي.	لما قد ترغب منظمة ما إنشاء منظمة تعليمية في عملية تستهلك وقتاً طويلاً إنّ الابتكار يُعتبر أحد أهداف تطبيق مفاهيم التعلم المؤسّسي	ل م ا | ق د | ت ر غ ب | م ن ظ م ة | م ا | إ ن ش ا ء | م ن ظ م ة | ت ع ل ي م ي ة | ف ي | ع م ل ي ة | ت س ت ه ل ك | و ق ت ا ً | ط و ي ل ا ً | إ ن ّ | ا ل ا ب ت ك ا ر | ي ُ ع ت ب ر | أ ح د | أ ه د ا ف | ت ط ب ي ق | م ف ا ه ي م | ا ل ت ع ل م | ا ل م ؤ س ّ س ي |	177600	MALE
122	9493953636219052411.wav	وينص قانون خدمات البث على تنظيم محتوى الإنترنت، ولكن لكي يعتبر محتوى إنترنت، يجب أن يكون موجوداً على الخادم بشكل ملموس.	وينص قانون خدمات البث على تنظيم محتوى الإنترنت ولكن لكي يعتبر محتوى إنترنت يجب أن يكون موجوداً على الخادم بشكل ملموس	و ي ن ص | ق ا ن و ن | خ د م ا ت | ا ل ب ث | ع ل ى | ت ن ظ ي م | م ح ت و ى | ا ل إ ن ت ر ن ت | و ل ك ن | ل ك ي | ي ع ت ب ر | م ح ت و ى | إ ن ت ر ن ت | ي ج ب | أ ن | ي ك و ن | م و ج و د ا ً | ع ل ى | ا ل خ ا د م | ب ش ك ل | م ل م و س |	158400	FEMALE
524	1140175350134495169.wav	وهو أمر منهك للغاية أشبه باستيقاظك كل عشرين أو ثلاثين دقيقة لمشاهدة التلفاز.	وهو أمر منهك للغاية أشبه باستيقاظك كل عشرين أو ثلاثين دقيقة لمشاهدة التلفاز	و ه و | أ م ر | م ن ه ك | ل ل غ ا ي ة | أ ش ب ه | ب ا س ت ي ق ا ظ ك | ك ل | ع ش ر ي ن | أ و | ث ل ا ث ي ن | د ق ي ق ة | ل م ش ا ه د ة | ا ل ت ل ف ا ز |	131520	FEMALE
35	11912783475195175299.wav	ساد صمت في جميع أنحاء المدينة في تمام الساعة 8:46 صباحاً، مسجلاً اللحظة الدقيقة التي ضربت فيها الطائرة الأولى هدفها.	ساد صمت في جميع أنحاء المدينة في تمام الساعة 8:46 صباحاً مسجلاً اللحظة الدقيقة التي ضربت فيها الطائرة الأولى هدفها	س ا د | ص م ت | ف ي | ج م ي ع | أ ن ح ا ء | ا ل م د ي ن ة | ف ي | ت م ا م | ا ل س ا ع ة | 8 : 4 6 | ص ب ا ح ا ً | م س ج ل ا ً | ا ل ل ح ظ ة | ا ل د ق ي ق ة | ا ل ت ي | ض ر ب ت | ف ي ه ا | ا ل ط ا ئ ر ة | ا ل أ و ل ى | ه د ف ه ا |	218880	MALE
107	15622542092447984907.wav	وصف المرشد الأعلى للبلاد، آية الله علي خامنئي، الاعتماد على النفط بأنه "فخ" يعود تاريخه إلى ما قبل الثورة الإسلامية الإيرانية عام 1979 ويجب أن تتحرر البلاد منه.	وصف المرشد الأعلى للبلاد آية الله علي خامنئي الاعتماد على النفط بأنه فخ يعود تاريخه إلى ما قبل الثورة الإسلامية الإيرانية عام 1979 ويجب أن تتحرر البلاد منه	و ص ف | ا ل م ر ش د | ا ل أ ع ل ى | ل ل ب ل ا د | آ ي ة | ا ل ل ه | ع ل ي | خ ا م ن ئ ي | ا ل ا ع ت م ا د | ع ل ى | ا ل ن ف ط | ب أ ن ه | ف خ | ي ع و د | ت ا ر ي خ ه | إ ل ى | م ا | ق ب ل | ا ل ث و ر ة | ا ل إ س ل ا م ي ة | ا ل إ ي ر ا ن ي ة | ع ا م | 1 9 7 9 | و ي ج ب | أ ن | ت ت ح ر ر | ا ل ب ل ا د | م ن ه |	248640	FEMALE
789	12774116377184523913.wav	العديد من الدول بأكملها تتحدث الإنكليزية بطلاقةٍ، وفي دول أكثر من ذلك بكثيرٍ، يمكنك أن تتوقع معرفةً محدودةً - وخاصةً بين الشباب.	العديد من الدول بأكملها تتحدث الإنكليزية بطلاقةٍ وفي دول أكثر من ذلك بكثيرٍ يمكنك أن تتوقع معرفةً محدودةً وخاصةً بين الشباب	ا ل ع د ي د | م ن | ا ل د و ل | ب أ ك م ل ه ا | ت ت ح د ث | ا ل إ ن ك ل ي ز ي ة | ب ط ل ا ق ة ٍ | و ف ي | د و ل | أ ك ث ر | م ن | ذ ل ك | ب ك ث ي ر ٍ | ي م ك ن ك | أ ن | ت ت و ق ع | م ع ر ف ة ً | م ح د و د ة ً | و خ ا ص ة ً | ب ي ن | ا ل ش ب ا ب |	192000	MALE
168	7348988851287219602.wav	وضع الهجوم توتراً ضخماً علي العلاقات بين الهند وباكستان.	وضع الهجوم توتراً ضخماً علي العلاقات بين الهند وباكستان	و ض ع | ا ل ه ج و م | ت و ت ر ا ً | ض خ م ا ً | ع ل ي | ا ل ع ل ا ق ا ت | ب ي ن | ا ل ه ن د | و ب ا ك س ت ا ن |	97920	MALE
956	992944685564500407.wav	إن كان لديك وقت إضافي خلال السفر، فقارن بين إجمالي سعر أجرة السفر الخاصة بك إلى أفريقيا بالنسبة لأجرة سفرك حول العالم.	إن كان لديك وقت إضافي خلال السفر فقارن بين إجمالي سعر أجرة السفر الخاصة بك إلى أفريقيا بالنسبة لأجرة سفرك حول العالم	إ ن | ك ا ن | ل د ي ك | و ق ت | إ ض ا ف ي | خ ل ا ل | ا ل س ف ر | ف ق ا ر ن | ب ي ن | إ ج م ا ل ي | س ع ر | أ ج ر ة | ا ل س ف ر | ا ل خ ا ص ة | ب ك | إ ل ى | أ ف ر ي ق ي ا | ب ا ل ن س ب ة | ل أ ج ر ة | س ف ر ك | ح و ل | ا ل ع ا ل م |	188160	MALE
1200	7962510111516262838.wav	في عام 1624، أنشأت شركة الهند الشرقية الهولندية قاعدة في جنوب غرب تايوان وبدأت في تغيير ممارسات إنتاج الحبوب الأصلية وتوظيف العمال الصينيين للعمل في مزارع الأرز والسكر.	في عام 1624 أنشأت شركة الهند الشرقية الهولندية قاعدة في جنوب غرب تايوان وبدأت في تغيير ممارسات إنتاج الحبوب الأصلية وتوظيف العمال الصينيين للعمل في مزارع الأرز والسكر	ف ي | ع ا م | 1 6 2 4 | أ ن ش أ ت | ش ر ك ة | ا ل ه ن د | ا ل ش ر ق ي ة | ا ل ه و ل ن د ي ة | ق ا ع د ة | ف ي | ج ن و ب | غ ر ب | ت ا ي و ا ن | و ب د أ ت | ف ي | ت غ ي ي ر | م م ا ر س ا ت | إ ن ت ا ج | ا ل ح ب و ب | ا ل أ ص ل ي ة | و ت و ظ ي ف | ا ل ع م ا ل | ا ل ص ي ن ي ي ن | ل ل ع م ل | ف ي | م ز ا ر ع | ا ل أ ر ز | و ا ل س ك ر |	238080	MALE
701	886708234203973351.wav	تم نشأة هذه المتطلبات لتوفير تدفق هجرةٍ مُنظمٍ بين البلدين.	تم نشأة هذه المتطلبات لتوفير تدفق هجرةٍ مُنظمٍ بين البلدين	ت م | ن ش أ ة | ه ذ ه | ا ل م ت ط ل ب ا ت | ل ت و ف ي ر | ت د ف ق | ه ج ر ة ٍ | م ُ ن ظ م ٍ | ب ي ن | ا ل ب ل د ي ن |	98880	FEMALE
1267	16976187413198884428.wav	"لقد تأثرت في كل مرة كنا نجري فيها تدريبًا على هذا، من أعماق قلبي".	لقد تأثرت في كل مرة كنا نجري فيها تدريبًا على هذا من أعماق قلبي	ل ق د | ت أ ث ر ت | ف ي | ك ل | م ر ة | ك ن ا | ن ج ر ي | ف ي ه ا | ت د ر ي ب ً ا | ع ل ى | ه ذ ا | م ن | أ ع م ا ق | ق ل ب ي |	109440	FEMALE
831	14740252615333836491.wav	في بعض القطارات العابرة للحدود تحصل تفتيشات على القطار المتحرك ويجب أن يكون لديكم هوية شخصية صالحة حين صعودكم إحدى هذه القطارات.	في بعض القطارات العابرة للحدود تحصل تفتيشات على القطار المتحرك ويجب أن يكون لديكم هوية شخصية صالحة حين صعودكم إحدى هذه القطارات	ف ي | ب ع ض | ا ل ق ط ا ر ا ت | ا ل ع ا ب ر ة | ل ل ح د و د | ت ح ص ل | ت ف ت ي ش ا ت | ع ل ى | ا ل ق ط ا ر | ا ل م ت ح ر ك | و ي ج ب | أ ن | ي ك و ن | ل د ي ك م | ه و ي ة | ش خ ص ي ة | ص ا ل ح ة | ح ي ن | ص ع و د ك م | إ ح د ى | ه ذ ه | ا ل ق ط ا ر ا ت |	186240	FEMALE
