1408	14937804473151608532.wav	Δημιούργησε περισσότερα από 1.000 γραμματόσημα για τη Σουηδία, καθώς και για άλλες 28 χώρες.	δημιούργησε περισσότερα από 1.000 γραμματόσημα για τη σουηδία καθώς και για άλλες 28 χώρες	δ η μ ι ο ύ ρ γ η σ ε | π ε ρ ι σ σ ό τ ε ρ α | α π ό | 1 . 0 0 0 | γ ρ α μ μ α τ ό σ η μ α | γ ι α | τ η | σ ο υ η δ ί α | κ α θ ώ ς | κ α ι | γ ι α | ά λ λ ε ς | 2 8 | χ ώ ρ ε ς |	121920	MALE
1225	16346330517160243136.wav	Βοηθάει επίσης το να φοράτε κάποιο δαχτυλίδι (απλώς όχι κάποιο που μοιάζει πολύ ακριβό.	βοηθάει επίσης το να φοράτε κάποιο δαχτυλίδι απλώς όχι κάποιο που μοιάζει πολύ ακριβό	β ο η θ ά ε ι | ε π ί σ η ς | τ ο | ν α | φ ο ρ ά τ ε | κ ά π ο ι ο | δ α χ τ υ λ ί δ ι | α π λ ώ ς | ό χ ι | κ ά π ο ι ο | π ο υ | μ ο ι ά ζ ε ι | π ο λ ύ | α κ ρ ι β ό |	115200	MALE
769	3415215543677568176.wav	Άλλες εκδηλώσεις σκι θα διαδραματιστούν στον χιονοδρομικό σταθμό του Taizicheng στο Τσανγκζιακού, γύρω στα 220 χλμ (140 μίλια) από το Πεκίνο.	άλλες εκδηλώσεις σκι θα διαδραματιστούν στον χιονοδρομικό σταθμό του taizicheng στο τσανγκζιακού γύρω στα 220 χλμ 140 μίλια από το πεκίνο	ά λ λ ε ς | ε κ δ η λ ώ σ ε ι ς | σ κ ι | θ α | δ ι α δ ρ α μ α τ ι σ τ ο ύ ν | σ τ ο ν | χ ι ο ν ο δ ρ ο μ ι κ ό | σ τ α θ μ ό | τ ο υ | t a i z i c h e n g | σ τ ο | τ σ α ν γ κ ζ ι α κ ο ύ | γ ύ ρ ω | σ τ α | 2 2 0 | χ λ μ | 1 4 0 | μ ί λ ι α | α π ό | τ ο | π ε κ ί ν ο |	192960	MALE
177	18276328571382842631.wav	Το 2009 έλαβε τον τίτλο της Εθνικής Επόπτριας της Χρονιάς.	το 2009 έλαβε τον τίτλο της εθνικής επόπτριας της χρονιάς	τ ο | 2 0 0 9 | έ λ α β ε | τ ο ν | τ ί τ λ ο | τ η ς | ε θ ν ι κ ή ς | ε π ό π τ ρ ι α ς | τ η ς | χ ρ ο ν ι ά ς |	65280	FEMALE
766	10601105157594502029.wav	Σπάνια θα δείτε οικογένειες με παιδιά, όμως μερικά χόστελ του επιτρέπουν τη διαμονή σε ιδιωτικά δωμάτια.	σπάνια θα δείτε οικογένειες με παιδιά όμως μερικά χόστελ του επιτρέπουν τη διαμονή σε ιδιωτικά δωμάτια	σ π ά ν ι α | θ α | δ ε ί τ ε | ο ι κ ο γ έ ν ε ι ε ς | μ ε | π α ι δ ι ά | ό μ ω ς | μ ε ρ ι κ ά | χ ό σ τ ε λ | τ ο υ | ε π ι τ ρ έ π ο υ ν | τ η | δ ι α μ ο ν ή | σ ε | ι δ ι ω τ ι κ ά | δ ω μ ά τ ι α |	181440	MALE
551	18258412576429000797.wav	Λίγο τρέξιμο ανώμαλου δρόμου κατά τη διάρκεια του χειμώνα, σε συνδυασμό με την εκγύμναση του επάνω μέρους του σώματος σε γυμναστήριο, είναι η καλύτερη προετοιμασία για την περίοδο των αγώνων στίβου.	λίγο τρέξιμο ανώμαλου δρόμου κατά τη διάρκεια του χειμώνα σε συνδυασμό με την εκγύμναση του επάνω μέρους του σώματος σε γυμναστήριο είναι η καλύτερη προετοιμασία για την περίοδο των αγώνων στίβου	λ ί γ ο | τ ρ έ ξ ι μ ο | α ν ώ μ α λ ο υ | δ ρ ό μ ο υ | κ α τ ά | τ η | δ ι ά ρ κ ε ι α | τ ο υ | χ ε ι μ ώ ν α | σ ε | σ υ ν δ υ α σ μ ό | μ ε | τ η ν | ε κ γ ύ μ ν α σ η | τ ο υ | ε π ά ν ω | μ έ ρ ο υ ς | τ ο υ | σ ώ μ α τ ο ς | σ ε | γ υ μ ν α σ τ ή ρ ι ο | ε ί ν α ι | η | κ α λ ύ τ ε ρ η | π ρ ο ε τ ο ι μ α σ ί α | γ ι α | τ η ν | π ε ρ ί ο δ ο | τ ω ν | α γ ώ ν ω ν | σ τ ί β ο υ |	204480	FEMALE
575	11084562958310111600.wav	Η αποικία εισέρχεται σε μια φάση μετανάστευσης όταν λιγοστέψουν τα τρόφιμα. Όσο διαρκεί αυτή η φάση, η αποικία φτιάχνει ημιμόνιμο κατάλυμμα που αλλάζει την επόμενη μέρα.	η αποικία εισέρχεται σε μια φάση μετανάστευσης όταν λιγοστέψουν τα τρόφιμα όσο διαρκεί αυτή η φάση η αποικία φτιάχνει ημιμόνιμο κατάλυμμα που αλλάζει την επόμενη μέρα	η | α π ο ι κ ί α | ε ι σ έ ρ χ ε τ α ι | σ ε | μ ι α | φ ά σ η | μ ε τ α ν ά σ τ ε υ σ η ς | ό τ α ν | λ ι γ ο σ τ έ ψ ο υ ν | τ α | τ ρ ό φ ι μ α | ό σ ο | δ ι α ρ κ ε ί | α υ τ ή | η | φ ά σ η | η | α π ο ι κ ί α | φ τ ι ά χ ν ε ι | η μ ι μ ό ν ι μ ο | κ α τ ά λ υ μ μ α | π ο υ | α λ λ ά ζ ε ι | τ η ν | ε π ό μ ε ν η | μ έ ρ α |	174720	FEMALE
482	358173109886923270.wav	Μυστικισμός είναι η επιδίωξη της επικοινωνίας, της ταύτισης ή η ενσυνείδητη αντίληψη της απόλυτης πραγματικότητας, της θεϊκής ιδιότητας, της πνευματικής αλήθειας, ή με τον Θεό.	μυστικισμός είναι η επιδίωξη της επικοινωνίας της ταύτισης ή η ενσυνείδητη αντίληψη της απόλυτης πραγματικότητας της θεϊκής ιδιότητας της πνευματικής αλήθειας ή με τον θεό	μ υ σ τ ι κ ι σ μ ό ς | ε ί ν α ι | η | ε π ι δ ί ω ξ η | τ η ς | ε π ι κ ο ι ν ω ν ί α ς | τ η ς | τ α ύ τ ι σ η ς | ή | η | ε ν σ υ ν ε ί δ η τ η | α ν τ ί λ η ψ η | τ η ς | α π ό λ υ τ η ς | π ρ α γ μ α τ ι κ ό τ η τ α ς | τ η ς | θ ε ϊ κ ή ς | ι δ ι ό τ η τ α ς | τ η ς | π ν ε υ μ α τ ι κ ή ς | α λ ή θ ε ι α ς | ή | μ ε | τ ο ν | θ ε ό |	196800	MALE
465	18242303593706225706.wav	Το παραδοσιακό μεσαιωνικό κάστρο από παλιά ενέπνεε τη φαντασία, δημιουργώντας εικόνες κονταρομαχιών, συμποσίων και αρθουριανής ιπποσύνης.	το παραδοσιακό μεσαιωνικό κάστρο από παλιά ενέπνεε τη φαντασία δημιουργώντας εικόνες κονταρομαχιών συμποσίων και αρθουριανής ιπποσύνης	τ ο | π α ρ α δ ο σ ι α κ ό | μ ε σ α ι ω ν ι κ ό | κ ά σ τ ρ ο | α π ό | π α λ ι ά | ε ν έ π ν ε ε | τ η | φ α ν τ α σ ί α | δ η μ ι ο υ ρ γ ώ ν τ α ς | ε ι κ ό ν ε ς | κ ο ν τ α ρ ο μ α χ ι ώ ν | σ υ μ π ο σ ί ω ν | κ α ι | α ρ θ ο υ ρ ι α ν ή ς | ι π π ο σ ύ ν η ς |	185280	FEMALE
865	1377602994016862279.wav	Εξού και η μάστιγα του ντέλι μπέλι, της κατάρας του φαραώ, της εκδίκησης του Μοντεζούμα και των πολλών άλλων φίλων τους.	εξού και η μάστιγα του ντέλι μπέλι της κατάρας του φαραώ της εκδίκησης του μοντεζούμα και των πολλών άλλων φίλων τους	ε ξ ο ύ | κ α ι | η | μ ά σ τ ι γ α | τ ο υ | ν τ έ λ ι | μ π έ λ ι | τ η ς | κ α τ ά ρ α ς | τ ο υ | φ α ρ α ώ | τ η ς | ε κ δ ί κ η σ η ς | τ ο υ | μ ο ν τ ε ζ ο ύ μ α | κ α ι | τ ω ν | π ο λ λ ώ ν | ά λ λ ω ν | φ ί λ ω ν | τ ο υ ς |	157120	FEMALE
1275	18160985711805113282.wav	Αντιθέτως, οι ζωoτροφές (μυρμήγκια, τερμίτες, αυγά) όχι μόνο είναι εύπεπτα, αλλά είναι και σημαντικές πηγές πρωτεΐνης στην οποία περιέχονται όλα τα απαραίτητα αμινοξέα.	αντιθέτως οι ζωoτροφές μυρμήγκια τερμίτες αυγά όχι μόνο είναι εύπεπτα αλλά είναι και σημαντικές πηγές πρωτεΐνης στην οποία περιέχονται όλα τα απαραίτητα αμινοξέα	α ν τ ι θ έ τ ω ς | ο ι | ζ ω o τ ρ ο φ έ ς | μ υ ρ μ ή γ κ ι α | τ ε ρ μ ί τ ε ς | α υ γ ά | ό χ ι | μ ό ν ο | ε ί ν α ι | ε ύ π ε π τ α | α λ λ ά | ε ί ν α ι | κ α ι | σ η μ α ν τ ι κ έ ς | π η γ έ ς | π ρ ω τ ε ΐ ν η ς | σ τ η ν | ο π ο ί α | π ε ρ ι έ χ ο ν τ α ι | ό λ α | τ α | α π α ρ α ί τ η τ α | α μ ι ν ο ξ έ α |	219840	FEMALE
673	12729138120005800802.wav	Οι χώροι για τις πιο δημοφιλείς περιοχές, όπως η κατασκήνωση Μπράιτ Έιντζελ που βρίσκεται δίπλα στο Φάντομ Ραντς, γενικά γεμίζουν από τα αιτήματα που λαμβάνονται κατά τις πρώτες ημέρες που ανοίγουν οι κρατήσεις.	οι χώροι για τις πιο δημοφιλείς περιοχές όπως η κατασκήνωση μπράιτ έιντζελ που βρίσκεται δίπλα στο φάντομ ραντς γενικά γεμίζουν από τα αιτήματα που λαμβάνονται κατά τις πρώτες ημέρες που ανοίγουν οι κρατήσεις	ο ι | χ ώ ρ ο ι | γ ι α | τ ι ς | π ι ο | δ η μ ο φ ι λ ε ί ς | π ε ρ ι ο χ έ ς | ό π ω ς | η | κ α τ α σ κ ή ν ω σ η | μ π ρ ά ι τ | έ ι ν τ ζ ε λ | π ο υ | β ρ ί σ κ ε τ α ι | δ ί π λ α | σ τ ο | φ ά ν τ ο μ | ρ α ν τ ς | γ ε ν ι κ ά | γ ε μ ί ζ ο υ ν | α π ό | τ α | α ι τ ή μ α τ α | π ο υ | λ α μ β ά ν ο ν τ α ι | κ α τ ά | τ ι ς | π ρ ώ τ ε ς | η μ έ ρ ε ς | π ο υ | α ν ο ί γ ο υ ν | ο ι | κ ρ α τ ή σ ε ι ς |	213120	FEMALE
343	9143390262142716232.wav	Διανύουμε οικονομική κρίση ενός έτους, όπου κορυφώθηκε τους τελευταίους δύο μήνες, και πιστεύω πως τώρα αρχίζει η ανάκαμψη των χρηματοπιστωτικών αγορών».	διανύουμε οικονομική κρίση ενός έτους όπου κορυφώθηκε τους τελευταίους δύο μήνες και πιστεύω πως τώρα αρχίζει η ανάκαμψη των χρηματοπιστωτικών αγορών»	δ ι α ν ύ ο υ μ ε | ο ι κ ο ν ο μ ι κ ή | κ ρ ί σ η | ε ν ό ς | έ τ ο υ ς | ό π ο υ | κ ο ρ υ φ ώ θ η κ ε | τ ο υ ς | τ ε λ ε υ τ α ί ο υ ς | δ ύ ο | μ ή ν ε ς | κ α ι | π ι σ τ ε ύ ω | π ω ς | τ ώ ρ α | α ρ χ ί ζ ε ι | η | α ν ά κ α μ ψ η | τ ω ν | χ ρ η μ α τ ο π ι σ τ ω τ ι κ ώ ν | α γ ο ρ ώ ν » |	163200	MALE
804	5494977622478495076.wav	Τα παράνομα αλκοολούχα ποτά ενδέχεται να περιέχουν διάφορες επιβλαβείς επικίνδυνες προσμίξεις, όπως είναι η μεθανόλη, οι οποίες μπορούν να οδηγήσουν σε σταδιακκή τύφλωση ή ακόμα και θάνατο.	τα παράνομα αλκοολούχα ποτά ενδέχεται να περιέχουν διάφορες επιβλαβείς επικίνδυνες προσμίξεις όπως είναι η μεθανόλη οι οποίες μπορούν να οδηγήσουν σε σταδιακκή τύφλωση ή ακόμα και θάνατο	τ α | π α ρ ά ν ο μ α | α λ κ ο ο λ ο ύ χ α | π ο τ ά | ε ν δ έ χ ε τ α ι | ν α | π ε ρ ι έ χ ο υ ν | δ ι ά φ ο ρ ε ς | ε π ι β λ α β ε ί ς | ε π ι κ ί ν δ υ ν ε ς | π ρ ο σ μ ί ξ ε ι ς | ό π ω ς | ε ί ν α ι | η | μ ε θ α ν ό λ η | ο ι | ο π ο ί ε ς | μ π ο ρ ο ύ ν | ν α | ο δ η γ ή σ ο υ ν | σ ε | σ τ α δ ι α κ κ ή | τ ύ φ λ ω σ η | ή | α κ ό μ α | κ α ι | θ ά ν α τ ο |	266880	MALE
652	2200513971593830905.wav	Όπως προαναφέρθηκε, ενώ η λέξη «Εσκιμώος» εξακολουθεί να είναι αποδεκτή στις Ηνωμένες Πολιτείες, θεωρείται μειωτική από πολλούς λαούς της Αρκτικής που δεν ανήκουν στις ΗΠΑ, ειδικά στον Καναδά.	όπως προαναφέρθηκε ενώ η λέξη «εσκιμώος» εξακολουθεί να είναι αποδεκτή στις ηνωμένες πολιτείες θεωρείται μειωτική από πολλούς λαούς της αρκτικής που δεν ανήκουν στις ηπα ειδικά στον καναδά	ό π ω ς | π ρ ο α ν α φ έ ρ θ η κ ε | ε ν ώ | η | λ έ ξ η | « ε σ κ ι μ ώ ο ς » | ε ξ α κ ο λ ο υ θ ε ί | ν α | ε ί ν α ι | α π ο δ ε κ τ ή | σ τ ι ς | η ν ω μ έ ν ε ς | π ο λ ι τ ε ί ε ς | θ ε ω ρ ε ί τ α ι | μ ε ι ω τ ι κ ή | α π ό | π ο λ λ ο ύ ς | λ α ο ύ ς | τ η ς | α ρ κ τ ι κ ή ς | π ο υ | δ ε ν | α ν ή κ ο υ ν | σ τ ι ς | η π α | ε ι δ ι κ ά | σ τ ο ν | κ α ν α δ ά |	227520	FEMALE
573	8297061936429319420.wav	Επίσης, οι αποικίες εκστρατευτικών μυρμηγκιών βαδίζουν σε σειρά και χτίζουν τις φωλιές τους σε διαφορετικές φάσεις.	επίσης οι αποικίες εκστρατευτικών μυρμηγκιών βαδίζουν σε σειρά και χτίζουν τις φωλιές τους σε διαφορετικές φάσεις	ε π ί σ η ς | ο ι | α π ο ι κ ί ε ς | ε κ σ τ ρ α τ ε υ τ ι κ ώ ν | μ υ ρ μ η γ κ ι ώ ν | β α δ ί ζ ο υ ν | σ ε | σ ε ι ρ ά | κ α ι | χ τ ί ζ ο υ ν | τ ι ς | φ ω λ ι έ ς | τ ο υ ς | σ ε | δ ι α φ ο ρ ε τ ι κ έ ς | φ ά σ ε ι ς |	146880	FEMALE
1012	17791723980205038671.wav	Μέσω των υπέρυθρων εικόνων φαίνεται ότι οι διακυμάνσεις της θερμοκρασίας τη νύχτα και τη μέρα, δείχνουν ότι μάλλον πρόκειται για σπήλαια.	μέσω των υπέρυθρων εικόνων φαίνεται ότι οι διακυμάνσεις της θερμοκρασίας τη νύχτα και τη μέρα δείχνουν ότι μάλλον πρόκειται για σπήλαια	μ έ σ ω | τ ω ν | υ π έ ρ υ θ ρ ω ν | ε ι κ ό ν ω ν | φ α ί ν ε τ α ι | ό τ ι | ο ι | δ ι α κ υ μ ά ν σ ε ι ς | τ η ς | θ ε ρ μ ο κ ρ α σ ί α ς | τ η | ν ύ χ τ α | κ α ι | τ η | μ έ ρ α | δ ε ί χ ν ο υ ν | ό τ ι | μ ά λ λ ο ν | π ρ ό κ ε ι τ α ι | γ ι α | σ π ή λ α ι α |	136320	MALE
1034	3370205606893645204.wav	Δεν υπάρχουν ιδιαίτερα «βροχερές» και «ξηρές» εποχές: η ποσότητα βροχής παραμένει σχεδόν η ίδια καθ' όλη τη διάρκεια του έτους.	δεν υπάρχουν ιδιαίτερα «βροχερές» και «ξηρές» εποχές: η ποσότητα βροχής παραμένει σχεδόν η ίδια καθ' όλη τη διάρκεια του έτους	δ ε ν | υ π ά ρ χ ο υ ν | ι δ ι α ί τ ε ρ α | « β ρ ο χ ε ρ έ ς » | κ α ι | « ξ η ρ έ ς » | ε π ο χ έ ς : | η | π ο σ ό τ η τ α | β ρ ο χ ή ς | π α ρ α μ έ ν ε ι | σ χ ε δ ό ν | η | ί δ ι α | κ α θ ' | ό λ η | τ η | δ ι ά ρ κ ε ι α | τ ο υ | έ τ ο υ ς |	166400	FEMALE
1031	2743225167833842963.wav	Εξαιτίας του συμπλέγματος/ομάδας νησιών που διαθέτει η Ιαπωνία, η τελευταία αναφέρεται συχνά ως «αρχιπέλαγος», από γεωγραφικής άποψης.	εξαιτίας του συμπλέγματος/ομάδας νησιών που διαθέτει η ιαπωνία η τελευταία αναφέρεται συχνά ως «αρχιπέλαγος» από γεωγραφικής άποψης	ε ξ α ι τ ί α ς | τ ο υ | σ υ μ π λ έ γ μ α τ ο ς / ο μ ά δ α ς | ν η σ ι ώ ν | π ο υ | δ ι α θ έ τ ε ι | η | ι α π ω ν ί α | η | τ ε λ ε υ τ α ί α | α ν α φ έ ρ ε τ α ι | σ υ χ ν ά | ω ς | « α ρ χ ι π έ λ α γ ο ς » | α π ό | γ ε ω γ ρ α φ ι κ ή ς | ά π ο ψ η ς |	190080	MALE
96	3590398846916661137.wav	Έχει ξεκινήσει έρευνα για διερεύνηση του συμβάντος.	έχει ξεκινήσει έρευνα για διερεύνηση του συμβάντος	έ χ ε ι | ξ ε κ ι ν ή σ ε ι | έ ρ ε υ ν α | γ ι α | δ ι ε ρ ε ύ ν η σ η | τ ο υ | σ υ μ β ά ν τ ο ς |	61440	MALE
695	2403494360962584690.wav	Η αρχαία πόλη στα Judean Hills διαθέτει μια εντυπωσιακή ιστορία που καλύπτει χιλιετίες.	η αρχαία πόλη στα judean hills διαθέτει μια εντυπωσιακή ιστορία που καλύπτει χιλιετίες	η | α ρ χ α ί α | π ό λ η | σ τ α | j u d e a n | h i l l s | δ ι α θ έ τ ε ι | μ ι α | ε ν τ υ π ω σ ι α κ ή | ι σ τ ο ρ ί α | π ο υ | κ α λ ύ π τ ε ι | χ ι λ ι ε τ ί ε ς |	144000	MALE
1453	15659835409010116282.wav	Τα αναρτημένα όρια ταχύτητας είναι εμφανώς μικρότερα από ό,τι σε προηγούμενα και επόμενα τμήματα –συνήθως 35-40 μίλια/ώρα (56-64 χιλιόμετρα/ώρα) και είναι ακόμη σημαντικότερο να υπακούμε αυστηρά σε αυτά.	τα αναρτημένα όρια ταχύτητας είναι εμφανώς μικρότερα από ό,τι σε προηγούμενα και επόμενα τμήματα –συνήθως 35-40 μίλια/ώρα 56-64 χιλιόμετρα/ώρα και είναι ακόμη σημαντικότερο να υπακούμε αυστηρά σε αυτά	τ α | α ν α ρ τ η μ έ ν α | ό ρ ι α | τ α χ ύ τ η τ α ς | ε ί ν α ι | ε μ φ α ν ώ ς | μ ι κ ρ ό τ ε ρ α | α π ό | ό , τ ι | σ ε | π ρ ο η γ ο ύ μ ε ν α | κ α ι | ε π ό μ ε ν α | τ μ ή μ α τ α | – σ υ ν ή θ ω ς | 3 5 - 4 0 | μ ί λ ι α / ώ ρ α | 5 6 - 6 4 | χ ι λ ι ό μ ε τ ρ α / ώ ρ α | κ α ι | ε ί ν α ι | α κ ό μ η | σ η μ α ν τ ι κ ό τ ε ρ ο | ν α | υ π α κ ο ύ μ ε | α υ σ τ η ρ ά | σ ε | α υ τ ά |	282240	FEMALE
1296	18405488044596110805.wav	Η Oyapock River Bridge είναι μια καλωδιωτή γέφυρα. Εκτείνεται στο ποτάμι Oyapock συνδέοντας τις πόλεις Oiapoque της Βραζιλία και Saint-Georges de l'Oyapock της Γαλλικής Γουιάνας.	η oyapock river bridge είναι μια καλωδιωτή γέφυρα εκτείνεται στο ποτάμι oyapock συνδέοντας τις πόλεις oiapoque της βραζιλία και saint-georges de l'oyapock της γαλλικής γουιάνας	η | o y a p o c k | r i v e r | b r i d g e | ε ί ν α ι | μ ι α | κ α λ ω δ ι ω τ ή | γ έ φ υ ρ α | ε κ τ ε ί ν ε τ α ι | σ τ ο | π ο τ ά μ ι | o y a p o c k | σ υ ν δ έ ο ν τ α ς | τ ι ς | π ό λ ε ι ς | o i a p o q u e | τ η ς | β ρ α ζ ι λ ί α | κ α ι | s a i n t - g e o r g e s | d e | l ' o y a p o c k | τ η ς | γ α λ λ ι κ ή ς | γ ο υ ι ά ν α ς |	232320	MALE
1063	8723753833082129823.wav	Για παράδειγμα, κάποιος ενδεχομένως να ισχυριστεί ότι το αυτοκίνητο απαραίτητα οδηγεί στην ανάπτυξη δρόμων.	για παράδειγμα κάποιος ενδεχομένως να ισχυριστεί ότι το αυτοκίνητο απαραίτητα οδηγεί στην ανάπτυξη δρόμων	γ ι α | π α ρ ά δ ε ι γ μ α | κ ά π ο ι ο ς | ε ν δ ε χ ο μ έ ν ω ς | ν α | ι σ χ υ ρ ι σ τ ε ί | ό τ ι | τ ο | α υ τ ο κ ί ν η τ ο | α π α ρ α ί τ η τ α | ο δ η γ ε ί | σ τ η ν | α ν ά π τ υ ξ η | δ ρ ό μ ω ν |	128960	FEMALE
268	9542769517532121360.wav	Η δίωξη της υπόθεσης έγινε στη Βιρτζίνια, καθώς εκεί εδρεύει o κορυφαίος φορέας παροχής υπηρεσιών διαδικτύου AOL, η εταιρεία που υποκίνησε τις κατηγορίες.	η δίωξη της υπόθεσης έγινε στη βιρτζίνια καθώς εκεί εδρεύει o κορυφαίος φορέας παροχής υπηρεσιών διαδικτύου aol η εταιρεία που υποκίνησε τις κατηγορίες	η | δ ί ω ξ η | τ η ς | υ π ό θ ε σ η ς | έ γ ι ν ε | σ τ η | β ι ρ τ ζ ί ν ι α | κ α θ ώ ς | ε κ ε ί | ε δ ρ ε ύ ε ι | o | κ ο ρ υ φ α ί ο ς | φ ο ρ έ α ς | π α ρ ο χ ή ς | υ π η ρ ε σ ι ώ ν | δ ι α δ ι κ τ ύ ο υ | a o l | η | ε τ α ι ρ ε ί α | π ο υ | υ π ο κ ί ν η σ ε | τ ι ς | κ α τ η γ ο ρ ί ε ς |	180480	FEMALE
364	12466785651193401314.wav	Η λυχνία πρέπει ακολούθως να αλλάξει με μια νέα. Είναι καθοριστικό να προσέχετε όταν αλλάξετε της λυχνίας.	η λυχνία πρέπει ακολούθως να αλλάξει με μια νέα είναι καθοριστικό να προσέχετε όταν αλλάξετε της λυχνίας	η | λ υ χ ν ί α | π ρ έ π ε ι | α κ ο λ ο ύ θ ω ς | ν α | α λ λ ά ξ ε ι | μ ε | μ ι α | ν έ α | ε ί ν α ι | κ α θ ο ρ ι σ τ ι κ ό | ν α | π ρ ο σ έ χ ε τ ε | ό τ α ν | α λ λ ά ξ ε τ ε | τ η ς | λ υ χ ν ί α ς |	175360	FEMALE
517	16868373180478750635.wav	Σε αντίθεση με άλλα πρωτεύοντα, οι ανθρωπίδες δεν χρησιμοποιούν πια τα χέρια για να μετακινούνται ή να σηκώνουν βάρη ή να κρέμονται στα δέντρα.	σε αντίθεση με άλλα πρωτεύοντα οι ανθρωπίδες δεν χρησιμοποιούν πια τα χέρια για να μετακινούνται ή να σηκώνουν βάρη ή να κρέμονται στα δέντρα	σ ε | α ν τ ί θ ε σ η | μ ε | ά λ λ α | π ρ ω τ ε ύ ο ν τ α | ο ι | α ν θ ρ ω π ί δ ε ς | δ ε ν | χ ρ η σ ι μ ο π ο ι ο ύ ν | π ι α | τ α | χ έ ρ ι α | γ ι α | ν α | μ ε τ α κ ι ν ο ύ ν τ α ι | ή | ν α | σ η κ ώ ν ο υ ν | β ά ρ η | ή | ν α | κ ρ έ μ ο ν τ α ι | σ τ α | δ έ ν τ ρ α |	120960	MALE
987	16094107848212140723.wav	Στη Νορβηγία είναι τυπικό φαινόμενο τα απόκρημνα φιορδ και οι κοιλάδες που ξαφνικά δίνουν τη θέση τους σε ψηλά, κυρίως ομοιόμορφα οροπέδια.	στη νορβηγία είναι τυπικό φαινόμενο τα απόκρημνα φιορδ και οι κοιλάδες που ξαφνικά δίνουν τη θέση τους σε ψηλά κυρίως ομοιόμορφα οροπέδια	σ τ η | ν ο ρ β η γ ί α | ε ί ν α ι | τ υ π ι κ ό | φ α ι ν ό μ ε ν ο | τ α | α π ό κ ρ η μ ν α | φ ι ο ρ δ | κ α ι | ο ι | κ ο ι λ ά δ ε ς | π ο υ | ξ α φ ν ι κ ά | δ ί ν ο υ ν | τ η | θ έ σ η | τ ο υ ς | σ ε | ψ η λ ά | κ υ ρ ί ω ς | ο μ ο ι ό μ ο ρ φ α | ο ρ ο π έ δ ι α |	216000	FEMALE
1276	4356967283064731851.wav	Οι αρχές του Οχάιο δηλώνουν πώς ένας γιατρός που εργαζόταν στο Νοσοκομείο Παίδων του Πίτσμπουργκ της Πενσυλβάνια κατηγορείται για διακεκριμένο φόνο, αφού η μαμά της βρέθηκε νεκρή στο πορτμπαγκάζ του αυτοκινήτου της την Τετάρτη.	οι αρχές του οχάιο δηλώνουν πώς ένας γιατρός που εργαζόταν στο νοσοκομείο παίδων του πίτσμπουργκ της πενσυλβάνια κατηγορείται για διακεκριμένο φόνο αφού η μαμά της βρέθηκε νεκρή στο πορτμπαγκάζ του αυτοκινήτου της την τετάρτη	ο ι | α ρ χ έ ς | τ ο υ | ο χ ά ι ο | δ η λ ώ ν ο υ ν | π ώ ς | έ ν α ς | γ ι α τ ρ ό ς | π ο υ | ε ρ γ α ζ ό τ α ν | σ τ ο | ν ο σ ο κ ο μ ε ί ο | π α ί δ ω ν | τ ο υ | π ί τ σ μ π ο υ ρ γ κ | τ η ς | π ε ν σ υ λ β ά ν ι α | κ α τ η γ ο ρ ε ί τ α ι | γ ι α | δ ι α κ ε κ ρ ι μ έ ν ο | φ ό ν ο | α φ ο ύ | η | μ α μ ά | τ η ς | β ρ έ θ η κ ε | ν ε κ ρ ή | σ τ ο | π ο ρ τ μ π α γ κ ά ζ | τ ο υ | α υ τ ο κ ι ν ή τ ο υ | τ η ς | τ η ν | τ ε τ ά ρ τ η |	278400	FEMALE
85	16885266596401674783.wav	Πέραν του ισχυρού πάγου, οι ακραίες καιρικές συνθήκες παρακωλύουν τις προσπάθειες διάσωσης.	πέραν του ισχυρού πάγου οι ακραίες καιρικές συνθήκες παρακωλύουν τις προσπάθειες διάσωσης	π έ ρ α ν | τ ο υ | ι σ χ υ ρ ο ύ | π ά γ ο υ | ο ι | α κ ρ α ί ε ς | κ α ι ρ ι κ έ ς | σ υ ν θ ή κ ε ς | π α ρ α κ ω λ ύ ο υ ν | τ ι ς | π ρ ο σ π ά θ ε ι ε ς | δ ι ά σ ω σ η ς |	85440	FEMALE
