1039	303579745687635629.wav	Այն ինչ ես ասում եմ մարդկանց սա է՝ վերաբերվեք մեզ այնպես, ինչպես մենք ենք ձեզ վերաբերվում։	այն ինչ ես ասում եմ մարդկանց սա է վերաբերվեք մեզ այնպես ինչպես մենք ենք ձեզ վերաբերվում	ա յ ն | ի ն չ | ե ս | ա ս ո ւ մ | ե մ | մ ա ր դ կ ա ն ց | ս ա | է | վ ե ր ա բ ե ր վ ե ք | մ ե զ | ա յ ն պ ե ս | ի ն չ պ ե ս | մ ե ն ք | ե ն ք | ձ ե զ | վ ե ր ա բ ե ր վ ո ւ մ |	139200	MALE
298	15560550485642675275.wav	2011 թվականին առաջարկվող շտկումն արդեն ընդունվեց երկու պալատներում էլ:	2011 թվականին առաջարկվող շտկումն արդեն ընդունվեց երկու պալատներում էլ	2 0 1 1 | թ վ ա կ ա ն ի ն | ա ռ ա ջ ա ր կ վ ո ղ | շ տ կ ո ւ մ ն | ա ր դ ե ն | ը ն դ ո ւ ն վ ե ց | ե ր կ ո ւ | պ ա լ ա տ ն ե ր ո ւ մ | է լ |	113280	FEMALE
8	4666383417221822273.wav	Բողոքի ցույցը սկսվեց տեղական ժամանակով մոտավորապես 11։00-ին (UTC+1) Ուայթհոլում՝ ոստիկանների կողմից հսկվող Դաունինգ փողոցի՝ վարչապետի պաշտոնական նստավայրի, մուտքի դիմացից:	բողոքի ցույցը սկսվեց տեղական ժամանակով մոտավորապես 11։00-ին utc+1 ուայթհոլում՝ ոստիկանների կողմից հսկվող դաունինգ փողոցի՝ վարչապետի պաշտոնական նստավայրի մուտքի դիմացից:	բ ո ղ ո ք ի | ց ո ւ յ ց ը | ս կ ս վ ե ց | տ ե ղ ա կ ա ն | ժ ա մ ա ն ա կ ո վ | մ ո տ ա վ ո ր ա պ ե ս | 1 1 ։ 0 0 - ի ն | u t c + 1 | ո ւ ա յ թ հ ո լ ո ւ մ ՝ | ո ս տ ի կ ա ն ն ե ր ի | կ ո ղ մ ի ց | հ ս կ վ ո ղ | դ ա ո ւ ն ի ն գ | փ ո ղ ո ց ի ՝ | վ ա ր չ ա պ ե տ ի | պ ա շ տ ո ն ա կ ա ն | ն ս տ ա վ ա յ ր ի | մ ո ւ տ ք ի | դ ի մ ա ց ի ց : |	264960	FEMALE
992	9198876150880916655.wav	Սառցադաշտերի ծայրին հսկայական կույտերը ճեղքվել են, ընկել և թերևս ցատկել կամ գլորվել ծայրից այն կողմ:	սառցադաշտերի ծայրին հսկայական կույտերը ճեղքվել են ընկել և թերևս ցատկել կամ գլորվել ծայրից այն կողմ	ս ա ռ ց ա դ ա շ տ ե ր ի | ծ ա յ ր ի ն | հ ս կ ա յ ա կ ա ն | կ ո ւ յ տ ե ր ը | ճ ե ղ ք վ ե լ | ե ն | ը ն կ ե լ | և | թ ե ր և ս | ց ա տ կ ե լ | կ ա մ | գ լ ո ր վ ե լ | ծ ա յ ր ի ց | ա յ ն | կ ո ղ մ |	134400	FEMALE
170	6178921092298118771.wav	Փերրին հատկապես ասաց․«Այս դեպքում ի հայտ եկած մարտահրավերին դիմակայելու համար աշխարհում կան շատ քիչ լավ տեխնիկական հագեցվածություն ունեցող վայրեր»։	փերրին հատկապես ասաց․«այս դեպքում ի հայտ եկած մարտահրավերին դիմակայելու համար աշխարհում կան շատ քիչ լավ տեխնիկական հագեցվածություն ունեցող վայրեր»։	փ ե ր ր ի ն | հ ա տ կ ա պ ե ս | ա ս ա ց ․ « ա յ ս | դ ե պ ք ո ւ մ | ի | հ ա յ տ | ե կ ա ծ | մ ա ր տ ա հ ր ա վ ե ր ի ն | դ ի մ ա կ ա յ ե լ ո ւ | հ ա մ ա ր | ա շ խ ա ր հ ո ւ մ | կ ա ն | շ ա տ | ք ի չ | լ ա վ | տ ե խ ն ի կ ա կ ա ն | հ ա գ ե ց վ ա ծ ո ւ թ յ ո ւ ն | ո ւ ն ե ց ո ղ | վ ա յ ր ե ր » ։ |	209280	MALE
457	12624181287460634615.wav	Սա թույլ է տվել փոփոխական ֆոկուսային հեռավորությամբ օբյեկտիվով ստանալ այնպիսի որակի լուսանկարներ, որոնք համեմատելի են ֆիքսված ֆոկուսային լայնությամբ օբյեկտիվի լուսանկարների հետ:	սա թույլ է տվել փոփոխական ֆոկուսային հեռավորությամբ օբյեկտիվով ստանալ այնպիսի որակի լուսանկարներ որոնք համեմատելի են ֆիքսված ֆոկուսային լայնությամբ օբյեկտիվի լուսանկարների հետ	ս ա | թ ո ւ յ լ | է | տ վ ե լ | փ ո փ ո խ ա կ ա ն | ֆ ո կ ո ւ ս ա յ ի ն | հ ե ռ ա վ ո ր ո ւ թ յ ա մ բ | օ բ յ ե կ տ ի վ ո վ | ս տ ա ն ա լ | ա յ ն պ ի ս ի | ո ր ա կ ի | լ ո ւ ս ա ն կ ա ր ն ե ր | ո ր ո ն ք | հ ա մ ե մ ա տ ե լ ի | ե ն | ֆ ի ք ս վ ա ծ | ֆ ո կ ո ւ ս ա յ ի ն | լ ա յ ն ո ւ թ յ ա մ բ | օ բ յ ե կ տ ի վ ի | լ ո ւ ս ա ն կ ա ր ն ե ր ի | հ ե տ |	259200	MALE
1338	8117450388528864074.wav	Եթե երկիրը, որը այցելելու եք, ենթակա է ճանապարհորդական խորհրդատվության, ապա դա կարող է ազդել ձեր ճանապարհորդական առողջության ապահովագրության կամ ձեր ճանապարհորդությունը չեղյալ հայտարարելու ապահովագրության վրա:	եթե երկիրը որը այցելելու եք ենթակա է ճանապարհորդական խորհրդատվության ապա դա կարող է ազդել ձեր ճանապարհորդական առողջության ապահովագրության կամ ձեր ճանապարհորդությունը չեղյալ հայտարարելու ապահովագրության վրա	ե թ ե | ե ր կ ի ր ը | ո ր ը | ա յ ց ե լ ե լ ո ւ | ե ք | ե ն թ ա կ ա | է | ճ ա ն ա պ ա ր հ ո ր դ ա կ ա ն | խ ո ր հ ր դ ա տ վ ո ւ թ յ ա ն | ա պ ա | դ ա | կ ա ր ո ղ | է | ա զ դ ե լ | ձ ե ր | ճ ա ն ա պ ա ր հ ո ր դ ա կ ա ն | ա ռ ո ղ ջ ո ւ թ յ ա ն | ա պ ա հ ո վ ա գ ր ո ւ թ յ ա ն | կ ա մ | ձ ե ր | ճ ա ն ա պ ա ր հ ո ր դ ո ւ թ յ ո ւ ն ը | չ ե ղ յ ա լ | հ ա յ տ ա ր ա ր ե լ ո ւ | ա պ ա հ ո վ ա գ ր ո ւ թ յ ա ն | վ ր ա |	217920	MALE
1038	2746792398914663286.wav	Ասպանդակները, որոնք կախված են թամբի երկու կողմից, պաշտպանում են հեծյալի ոտքերը:	ասպանդակները որոնք կախված են թամբի երկու կողմից պաշտպանում են հեծյալի ոտքերը	ա ս պ ա ն դ ա կ ն ե ր ը | ո ր ո ն ք | կ ա խ վ ա ծ | ե ն | թ ա մ բ ի | ե ր կ ո ւ | կ ո ղ մ ի ց | պ ա շ տ պ ա ն ո ւ մ | ե ն | հ ե ծ յ ա լ ի | ո տ ք ե ր ը |	97920	FEMALE
1267	17210085254450281811.wav	«Ամեն անգամ, երբ սրա վերաբերյալ փորձ էինք անում, ես մինչև սրտիս խորքը հուզվում էի:»	ամեն անգամ երբ սրա վերաբերյալ փորձ էինք անում ես մինչև սրտիս խորքը հուզվում էի	ա մ ե ն | ա ն գ ա մ | ե ր բ | ս ր ա | վ ե ր ա բ ե ր յ ա լ | փ ո ր ձ | է ի ն ք | ա ն ո ւ մ | ե ս | մ ի ն չ և | ս ր տ ի ս | խ ո ր ք ը | հ ո ւ զ վ ո ւ մ | է ի |	140160	MALE
719	17432839227247068889.wav	Չնայած Չիլին իր անկախությունը հռչակեց 1810 թվականին (Նապոլեոնի պատերազմների ժամանակ, որը մի քանի տարի շարունակ Իսպանիան թողեց առանց կենտրոնական գործառնական կառավարության), Իսպանիայի նկատմամբ որոշիչ հաղթանակը ձեռք չբերվեց մինչև 1818 թվականը։	չնայած չիլին իր անկախությունը հռչակեց 1810 թվականին նապոլեոնի պատերազմների ժամանակ որը մի քանի տարի շարունակ իսպանիան թողեց առանց կենտրոնական գործառնական կառավարության իսպանիայի նկատմամբ որոշիչ հաղթանակը ձեռք չբերվեց մինչև 1818 թվականը։	չ ն ա յ ա ծ | չ ի լ ի ն | ի ր | ա ն կ ա խ ո ւ թ յ ո ւ ն ը | հ ռ չ ա կ ե ց | 1 8 1 0 | թ վ ա կ ա ն ի ն | ն ա պ ո լ ե ո ն ի | պ ա տ ե ր ա զ մ ն ե ր ի | ժ ա մ ա ն ա կ | ո ր ը | մ ի | ք ա ն ի | տ ա ր ի | շ ա ր ո ւ ն ա կ | ի ս պ ա ն ի ա ն | թ ո ղ ե ց | ա ռ ա ն ց | կ ե ն տ ր ո ն ա կ ա ն | գ ո ր ծ ա ռ ն ա կ ա ն | կ ա ռ ա վ ա ր ո ւ թ յ ա ն | ի ս պ ա ն ի ա յ ի | ն կ ա տ մ ա մ բ | ո ր ո շ ի չ | հ ա ղ թ ա ն ա կ ը | ձ ե ռ ք | չ բ ե ր վ ե ց | մ ի ն չ և | 1 8 1 8 | թ վ ա կ ա ն ը ։ |	271680	MALE
43	18282319191257414832.wav	Փոթորիկը, լինելով Կաբո Վերդեի կղզիներից 645 մղոն (1040 կմ) արևմուտք, ամենայն հավանականությամբ, կցրվի նախքան ցամաքային որևէ տարածքի սպառնալը,- ասում են եղանակը կանխատեսողները:	փոթորիկը լինելով կաբո վերդեի կղզիներից 645 մղոն 1040 կմ արևմուտք ամենայն հավանականությամբ կցրվի նախքան ցամաքային որևէ տարածքի սպառնալը,- ասում են եղանակը կանխատեսողները:	փ ո թ ո ր ի կ ը | լ ի ն ե լ ո վ | կ ա բ ո | վ ե ր դ ե ի | կ ղ զ ի ն ե ր ի ց | 6 4 5 | մ ղ ո ն | 1 0 4 0 | կ մ | ա ր և մ ո ւ տ ք | ա մ ե ն ա յ ն | հ ա վ ա ն ա կ ա ն ո ւ թ յ ա մ բ | կ ց ր վ ի | ն ա խ ք ա ն | ց ա մ ա ք ա յ ի ն | ո ր և է | տ ա ր ա ծ ք ի | ս պ ա ռ ն ա լ ը , - | ա ս ո ւ մ | ե ն | ե ղ ա ն ա կ ը | կ ա ն խ ա տ ե ս ո ղ ն ե ր ը : |	260160	MALE
270	7354817090514460983.wav	21 տարեկան Խեսուսը Մանչեստր Սիթիին միացավ անցած տարի՝ 2017 թվականի հունվարին, բրազիլական ակումբ Պալմեյրասից 27 միլիոն ֆունտ ստեռլինգ վճարի դիմաց:	21 տարեկան խեսուսը մանչեստր սիթիին միացավ անցած տարի 2017 թվականի հունվարին բրազիլական ակումբ պալմեյրասից 27 միլիոն ֆունտ ստեռլինգ վճարի դիմաց	2 1 | տ ա ր ե կ ա ն | խ ե ս ո ւ ս ը | մ ա ն չ ե ս տ ր | ս ի թ ի ի ն | մ ի ա ց ա վ | ա ն ց ա ծ | տ ա ր ի | 2 0 1 7 | թ վ ա կ ա ն ի | հ ո ւ ն վ ա ր ի ն | բ ր ա զ ի լ ա կ ա ն | ա կ ո ւ մ բ | պ ա լ մ ե յ ր ա ս ի ց | 2 7 | մ ի լ ի ո ն | ֆ ո ւ ն տ | ս տ ե ռ լ ի ն գ | վ ճ ա ր ի | դ ի մ ա ց |	247680	FEMALE
1094	16420179331984507545.wav	Շատ մահեր առաջանում են հոսանքին հակառակ լողալու ուժասպառ անող փորձերի արդյունքում, որը կարող է անհնար լինել։	շատ մահեր առաջանում են հոսանքին հակառակ լողալու ուժասպառ անող փորձերի արդյունքում որը կարող է անհնար լինել	շ ա տ | մ ա հ ե ր | ա ռ ա ջ ա ն ո ւ մ | ե ն | հ ո ս ա ն ք ի ն | հ ա կ ա ռ ա կ | լ ո ղ ա լ ո ւ | ո ւ ժ ա ս պ ա ռ | ա ն ո ղ | փ ո ր ձ ե ր ի | ա ր դ յ ո ւ ն ք ո ւ մ | ո ր ը | կ ա ր ո ղ | է | ա ն հ ն ա ր | լ ի ն ե լ |	191040	MALE
1333	6201759834931032447.wav	Այս ամենը և որոշ այլ բաներ ընդգծում են Օնտարիոն որպես այն, ինչ օտարների կողմից համարվում է օրինակելի կանադական քաղաք։	այս ամենը և որոշ այլ բաներ ընդգծում են օնտարիոն որպես այն ինչ օտարների կողմից համարվում է օրինակելի կանադական քաղաք	ա յ ս | ա մ ե ն ը | և | ո ր ո շ | ա յ լ | բ ա ն ե ր | ը ն դ գ ծ ո ւ մ | ե ն | օ ն տ ա ր ի ո ն | ո ր պ ե ս | ա յ ն | ի ն չ | օ տ ա ր ն ե ր ի | կ ո ղ մ ի ց | հ ա մ ա ր վ ո ւ մ | է | օ ր ի ն ա կ ե լ ի | կ ա ն ա դ ա կ ա ն | ք ա ղ ա ք |	215040	FEMALE
310	3192329775789731049.wav	Առնվազն 100 մարդ էր այցելել երեկույթին՝ տոնելու զույգի առաջին հոբելյանը, որի հարսանեկան արարողությունն անցկացվել էր անցյալ տարի։	առնվազն 100 մարդ էր այցելել երեկույթին տոնելու զույգի առաջին հոբելյանը որի հարսանեկան արարողությունն անցկացվել էր անցյալ տարի	ա ռ ն վ ա զ ն | 1 0 0 | մ ա ր դ | է ր | ա յ ց ե լ ե լ | ե ր ե կ ո ւ յ թ ի ն | տ ո ն ե լ ո ւ | զ ո ւ յ գ ի | ա ռ ա ջ ի ն | հ ո բ ե լ յ ա ն ը | ո ր ի | հ ա ր ս ա ն ե կ ա ն | ա ր ա ր ո ղ ո ւ թ յ ո ւ ն ն | ա ն ց կ ա ց վ ե լ | է ր | ա ն ց յ ա լ | տ ա ր ի |	172800	FEMALE
562	14814072735468709588.wav	Անհրաժեշտ է նկատել զոհի դիրքը, երբ մոտենում եք նրան և որևէ մեխանիզացված նախազգուշական նշան:	անհրաժեշտ է նկատել զոհի դիրքը երբ մոտենում եք նրան և որևէ մեխանիզացված նախազգուշական նշան	ա ն հ ր ա ժ ե շ տ | է | ն կ ա տ ե լ | զ ո հ ի | դ ի ր ք ը | ե ր բ | մ ո տ ե ն ո ւ մ | ե ք | ն ր ա ն | և | ո ր և է | մ ե խ ա ն ի զ ա ց վ ա ծ | ն ա խ ա զ գ ո ւ շ ա կ ա ն | ն շ ա ն |	130560	FEMALE
288	14221783378583783614.wav	Կենդանիների հանդեպ դաժանության դեմ պայքարի թագավորական կազմակերպության Հարավային Ուելսի նոր գլխավոր տեսուչ Դեյվիդ Օ'Շեննըսին պատմեց Էյ-Բի-Սի-ին, որ սպանդանոցների վերահսկողությունը և ստուգումները պետք է սովորական բնույթ կրեն Ավստրալիայում։	կենդանիների հանդեպ դաժանության դեմ պայքարի թագավորական կազմակերպության հարավային ուելսի նոր գլխավոր տեսուչ դեյվիդ օ'շեննըսին պատմեց էյ-բի-սի-ին որ սպանդանոցների վերահսկողությունը և ստուգումները պետք է սովորական բնույթ կրեն ավստրալիայում	կ ե ն դ ա ն ի ն ե ր ի | հ ա ն դ ե պ | դ ա ժ ա ն ո ւ թ յ ա ն | դ ե մ | պ ա յ ք ա ր ի | թ ա գ ա վ ո ր ա կ ա ն | կ ա զ մ ա կ ե ր պ ո ւ թ յ ա ն | հ ա ր ա վ ա յ ի ն | ո ւ ե լ ս ի | ն ո ր | գ լ խ ա վ ո ր | տ ե ս ո ւ չ | դ ե յ վ ի դ | օ ' շ ե ն ն ը ս ի ն | պ ա տ մ ե ց | է յ - բ ի - ս ի - ի ն | ո ր | ս պ ա ն դ ա ն ո ց ն ե ր ի | վ ե ր ա հ ս կ ո ղ ո ւ թ յ ո ւ ն ը | և | ս տ ո ւ գ ո ւ մ ն ե ր ը | պ ե տ ք | է | ս ո վ ո ր ա կ ա ն | բ ն ո ւ յ թ | կ ր ե ն | ա վ ս տ ր ա լ ի ա յ ո ւ մ |	307200	MALE
257	1317012476187764899.wav	Նա ասաց. «Չկա փաստ առ այն, որ հարձակում է սպասվում մոտ ապագայում»։	նա ասաց չկա փաստ առ այն որ հարձակում է սպասվում մոտ ապագայում	ն ա | ա ս ա ց | չ կ ա | փ ա ս տ | ա ռ | ա յ ն | ո ր | հ ա ր ձ ա կ ո ւ մ | է | ս պ ա ս վ ո ւ մ | մ ո տ | ա պ ա գ ա յ ո ւ մ |	72960	MALE
59	16488929134206261971.wav	Ոստիկանությունը հայտնեց, որ Լո Պիկոլոն ուներ արտոնյալ կարգավիճակ, քանի որ նա Պրովենցանոյի աջ ձեռքն էր Պալերմոյում, և իր հարուստ փորձը նրան տվել էր ավագ սերնդի ղեկավարների հարգանքը, քանի որ նրանք հետևում էին Պրովենցանոյի քաղաքականությանը՝ հնարավորինս քիչ աղմուկ բարձրացնելով՝ ուժեղացնել իրենց ուժային ցանցը:	ոստիկանությունը հայտնեց որ լո պիկոլոն ուներ արտոնյալ կարգավիճակ քանի որ նա պրովենցանոյի աջ ձեռքն էր պալերմոյում և իր հարուստ փորձը նրան տվել էր ավագ սերնդի ղեկավարների հարգանքը քանի որ նրանք հետևում էին պրովենցանոյի քաղաքականությանը հնարավորինս քիչ աղմուկ բարձրացնելով ուժեղացնել իրենց ուժային ցանցը	ո ս տ ի կ ա ն ո ւ թ յ ո ւ ն ը | հ ա յ տ ն ե ց | ո ր | լ ո | պ ի կ ո լ ո ն | ո ւ ն ե ր | ա ր տ ո ն յ ա լ | կ ա ր գ ա վ ի ճ ա կ | ք ա ն ի | ո ր | ն ա | պ ր ո վ ե ն ց ա ն ո յ ի | ա ջ | ձ ե ռ ք ն | է ր | պ ա լ ե ր մ ո յ ո ւ մ | և | ի ր | հ ա ր ո ւ ս տ | փ ո ր ձ ը | ն ր ա ն | տ վ ե լ | է ր | ա վ ա գ | ս ե ր ն դ ի | ղ ե կ ա վ ա ր ն ե ր ի | հ ա ր գ ա ն ք ը | ք ա ն ի | ո ր | ն ր ա ն ք | հ ե տ և ո ւ մ | է ի ն | պ ր ո վ ե ն ց ա ն ո յ ի | ք ա ղ ա ք ա կ ա ն ո ւ թ յ ա ն ը | հ ն ա ր ա վ ո ր ի ն ս | ք ի չ | ա ղ մ ո ւ կ | բ ա ր ձ ր ա ց ն ե լ ո վ | ո ւ ժ ե ղ ա ց ն ե լ | ի ր ե ն ց | ո ւ ժ ա յ ի ն | ց ա ն ց ը |	453120	MALE
829	11984998188803619571.wav	Այս խորհուրդը ենթադրում է, որ ճանապարհորդողները չպետք է գողություն անեն, օրինազանց լինեն, մասնակցություն ունենան անօրինական շուկաների առևտրում, մուրան և իրենց շահերից ելնելով՝ շահագործեն այլ մարդկանց:	այս խորհուրդը ենթադրում է որ ճանապարհորդողները չպետք է գողություն անեն օրինազանց լինեն մասնակցություն ունենան անօրինական շուկաների առևտրում մուրան և իրենց շահերից ելնելով շահագործեն այլ մարդկանց	ա յ ս | խ ո ր հ ո ւ ր դ ը | ե ն թ ա դ ր ո ւ մ | է | ո ր | ճ ա ն ա պ ա ր հ ո ր դ ո ղ ն ե ր ը | չ պ ե տ ք | է | գ ո ղ ո ւ թ յ ո ւ ն | ա ն ե ն | օ ր ի ն ա զ ա ն ց | լ ի ն ե ն | մ ա ս ն ա կ ց ո ւ թ յ ո ւ ն | ո ւ ն ե ն ա ն | ա ն օ ր ի ն ա կ ա ն | շ ո ւ կ ա ն ե ր ի | ա ռ և տ ր ո ւ մ | մ ո ւ ր ա ն | և | ի ր ե ն ց | շ ա հ ե ր ի ց | ե լ ն ե լ ո վ | շ ա հ ա գ ո ր ծ ե ն | ա յ լ | մ ա ր դ կ ա ն ց |	212160	FEMALE
123	9269363959961272302.wav	Քենիայի Նայրոբիում տեղակայված Միացյալ Նահանգների դեսպանությունը նախազգուշացրել է, որ․«Սոմալիից եկած ծայրահեղականները» Քենիայում ու Եթովպիայում ծրագրում են մահապարտների ռումբերով հարձակումներ իրականացնել։	քենիայի նայրոբիում տեղակայված միացյալ նահանգների դեսպանությունը նախազգուշացրել է որ․«սոմալիից եկած ծայրահեղականները» քենիայում ու եթովպիայում ծրագրում են մահապարտների ռումբերով հարձակումներ իրականացնել։	ք ե ն ի ա յ ի | ն ա յ ր ո բ ի ո ւ մ | տ ե ղ ա կ ա յ վ ա ծ | մ ի ա ց յ ա լ | ն ա հ ա ն գ ն ե ր ի | դ ե ս պ ա ն ո ւ թ յ ո ւ ն ը | ն ա խ ա զ գ ո ւ շ ա ց ր ե լ | է | ո ր ․ « ս ո մ ա լ ի ի ց | ե կ ա ծ | ծ ա յ ր ա հ ե ղ ա կ ա ն ն ե ր ը » | ք ե ն ի ա յ ո ւ մ | ո ւ | ե թ ո վ պ ի ա յ ո ւ մ | ծ ր ա գ ր ո ւ մ | ե ն | մ ա հ ա պ ա ր տ ն ե ր ի | ռ ո ւ մ բ ե ր ո վ | հ ա ր ձ ա կ ո ւ մ ն ե ր | ի ր ա կ ա ն ա ց ն ե լ ։ |	264000	MALE
799	1807968253642230272.wav	Նաև տվե՛ք քաղաքականության/կոնտակների պատճենները հայրենիքում գտնվող այն տուրիստական ընկերություններին և հարազատներին կամ ընկերներին, ովքեր պատրաստակամ են օգնել:	նաև տվե՛ք քաղաքականության/կոնտակների պատճենները հայրենիքում գտնվող այն տուրիստական ընկերություններին և հարազատներին կամ ընկերներին ովքեր պատրաստակամ են օգնել:	ն ա և | տ վ ե ՛ ք | ք ա ղ ա ք ա կ ա ն ո ւ թ յ ա ն / կ ո ն տ ա կ ն ե ր ի | պ ա տ ճ ե ն ն ե ր ը | հ ա յ ր ե ն ի ք ո ւ մ | գ տ ն վ ո ղ | ա յ ն | տ ո ւ ր ի ս տ ա կ ա ն | ը ն կ ե ր ո ւ թ յ ո ւ ն ն ե ր ի ն | և | հ ա ր ա զ ա տ ն ե ր ի ն | կ ա մ | ը ն կ ե ր ն ե ր ի ն | ո վ ք ե ր | պ ա տ ր ա ս տ ա կ ա մ | ե ն | օ գ ն ե լ : |	225600	MALE
702	12929013609463011630.wav	Կուբացի քաղաքացիները, ովքեր ունեն ԱՄՆ-ի գրինքարտեր, պետք է այցելեն Էկվադորի հյուպատոսարան, որպեսզի այս պահանջից ազատում ստանան:	կուբացի քաղաքացիները ովքեր ունեն ամն-ի գրինքարտեր պետք է այցելեն էկվադորի հյուպատոսարան որպեսզի այս պահանջից ազատում ստանան	կ ո ւ բ ա ց ի | ք ա ղ ա ք ա ց ի ն ե ր ը | ո վ ք ե ր | ո ւ ն ե ն | ա մ ն - ի | գ ր ի ն ք ա ր տ ե ր | պ ե տ ք | է | ա յ ց ե լ ե ն | է կ վ ա դ ո ր ի | հ յ ո ւ պ ա տ ո ս ա ր ա ն | ո ր պ ե ս զ ի | ա յ ս | պ ա հ ա ն ջ ի ց | ա զ ա տ ո ւ մ | ս տ ա ն ա ն |	192000	MALE
34	4575877070257325306.wav	2009 թվականի հունգարական «Գրանդ Պրի»-ից հետո Պիկե Կրտսերն աշխատանքից հեռացվեց:	2009 թվականի հունգարական «գրանդ պրի»-ից հետո պիկե կրտսերն աշխատանքից հեռացվեց:	2 0 0 9 | թ վ ա կ ա ն ի | հ ո ւ ն գ ա ր ա կ ա ն | « գ ր ա ն դ | պ ր ի » - ի ց | հ ե տ ո | պ ի կ ե | կ ր տ ս ե ր ն | ա շ խ ա տ ա ն ք ի ց | հ ե ռ ա ց վ ե ց : |	120960	FEMALE
1322	17905453598042395753.wav	Դանիուսն ասաց. «Ներկա պահին մենք ոչինչ չենք անում: Ես զանգել և ուղարկել եմ էլեկտրոնային նամակներ իր ամենամտերիմ համագործակցին և ստացել եմ շատ սիրալիր պատասխաններ: Ներկա պահի համար, դա միանշանակ բավական է»։	դանիուսն ասաց ներկա պահին մենք ոչինչ չենք անում ես զանգել և ուղարկել եմ էլեկտրոնային նամակներ իր ամենամտերիմ համագործակցին և ստացել եմ շատ սիրալիր պատասխաններ ներկա պահի համար դա միանշանակ բավական է	դ ա ն ի ո ւ ս ն | ա ս ա ց | ն ե ր կ ա | պ ա հ ի ն | մ ե ն ք | ո չ ի ն չ | չ ե ն ք | ա ն ո ւ մ | ե ս | զ ա ն գ ե լ | և | ո ւ ղ ա ր կ ե լ | ե մ | է լ ե կ տ ր ո ն ա յ ի ն | ն ա մ ա կ ն ե ր | ի ր | ա մ ե ն ա մ տ ե ր ի մ | հ ա մ ա գ ո ր ծ ա կ ց ի ն | և | ս տ ա ց ե լ | ե մ | շ ա տ | ս ի ր ա լ ի ր | պ ա տ ա ս խ ա ն ն ե ր | ն ե ր կ ա | պ ա հ ի | հ ա մ ա ր | դ ա | մ ի ա ն շ ա ն ա կ | բ ա վ ա կ ա ն | է |	276480	MALE
1408	2318513046398161397.wav	Նա 1 000 նամականիշից ավելի է ստեղծել Շվեդիայի և 28 այլ երկրի համար:	նա 1 000 նամականիշից ավելի է ստեղծել շվեդիայի և 28 այլ երկրի համար	ն ա | 1 | 0 0 0 | ն ա մ ա կ ա ն ի շ ի ց | ա վ ե լ ի | է | ս տ ե ղ ծ ե լ | շ վ ե դ ի ա յ ի | և | 2 8 | ա յ լ | ե ր կ ր ի | հ ա մ ա ր |	97920	FEMALE
429	771404522806190671.wav	Թուրքիայի տարածքն ավելի քան 1,600 կիլոմետր է (1,000 մղոն) և մոտավորապես ուղղանկյուն ձևով ունի 800 կմ (500 մղոն) լայնություն:	թուրքիայի տարածքն ավելի քան 1,600 կիլոմետր է 1,000 մղոն և մոտավորապես ուղղանկյուն ձևով ունի 800 կմ 500 մղոն լայնություն:	թ ո ւ ր ք ի ա յ ի | տ ա ր ա ծ ք ն | ա վ ե լ ի | ք ա ն | 1 , 6 0 0 | կ ի լ ո մ ե տ ր | է | 1 , 0 0 0 | մ ղ ո ն | և | մ ո տ ա վ ո ր ա պ ե ս | ո ւ ղ ղ ա ն կ յ ո ւ ն | ձ և ո վ | ո ւ ն ի | 8 0 0 | կ մ | 5 0 0 | մ ղ ո ն | լ ա յ ն ո ւ թ յ ո ւ ն : |	175680	MALE
685	10869931360634373543.wav	Թութանհամոնի գերեզմանը (KV62)։ KV62-ը գուցե Հովտի գերեզմաններից ամենահայտնին է՝ 1922 թ.-ին Հովարդ Քարթերի կողմից երիտասարդ թագավորի գրեթե անվնաս թագավորական թաղման հայտնաբերման վայրը։	թութանհամոնի գերեզմանը kv62։ kv62-ը գուցե հովտի գերեզմաններից ամենահայտնին է՝ 1922 թ.-ին հովարդ քարթերի կողմից երիտասարդ թագավորի գրեթե անվնաս թագավորական թաղման հայտնաբերման վայրը։	թ ո ւ թ ա ն հ ա մ ո ն ի | գ ե ր ե զ մ ա ն ը | k v 6 2 ։ | k v 6 2 - ը | գ ո ւ ց ե | հ ո վ տ ի | գ ե ր ե զ մ ա ն ն ե ր ի ց | ա մ ե ն ա հ ա յ տ ն ի ն | է ՝ | 1 9 2 2 | թ . - ի ն | հ ո վ ա ր դ | ք ա ր թ ե ր ի | կ ո ղ մ ի ց | ե ր ի տ ա ս ա ր դ | թ ա գ ա վ ո ր ի | գ ր ե թ ե | ա ն վ ն ա ս | թ ա գ ա վ ո ր ա կ ա ն | թ ա ղ մ ա ն | հ ա յ տ ն ա բ ե ր մ ա ն | վ ա յ ր ը ։ |	298560	FEMALE
