329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
1204	9920175882354804824.wav	Сокинони Вавилон барои ҳар як худои худ маъбади ибтидоӣ бунёд мекарданд, ки онро хонаи худо маҳсуб меёфт.	сокинони вавилон барои ҳар як худои худ маъбади ибтидоӣ бунёд мекарданд ки онро хонаи худо маҳсуб меёфт	с о к и н о н и | в а в и л о н | б а р о и | ҳ а р | я к | х у д о и | х у д | м а ъ б а д и | и б т и д о ӣ | б у н ё д | м е к а р д а н д | к и | о н р о | х о н а и | х у д о | м а ҳ с у б | м е ё ф т |	218880	FEMALE
934	12120571988664070081.wav	Барои аксари кишварҳо, аз муассисае, ки дар он майли таҳсил карданро доред, шумо бояд мактуби даъватӣ ва инчунин далели мавҷудияти маблағ барои дастгирии худ ҳадди аққал барои соли аввали таҳсил дошта бошед.	барои аксари кишварҳо аз муассисае ки дар он майли таҳсил карданро доред шумо бояд мактуби даъватӣ ва инчунин далели мавҷудияти маблағ барои дастгирии худ ҳадди аққал барои соли аввали таҳсил дошта бошед	б а р о и | а к с а р и | к и ш в а р ҳ о | а з | м у а с с и с а е | к и | д а р | о н | м а й л и | т а ҳ с и л | к а р д а н р о | д о р е д | ш у м о | б о я д | м а к т у б и | д а ъ в а т ӣ | в а | и н ч у н и н | д а л е л и | м а в ҷ у д и я т и | м а б л а ғ | б а р о и | д а с т г и р и и | х у д | ҳ а д д и | а қ қ а л | б а р о и | с о л и | а в в а л и | т а ҳ с и л | д о ш т а | б о ш е д |	207360	MALE
1017	20739206758398270.wav	Рок‑гурӯҳ то 16 сентябр бояд ба сафари ҳунарии Иёлоти Муттаҳида ва Канада мерафт.	рок-гурӯҳ то 16 сентябр бояд ба сафари ҳунарии иёлоти муттаҳида ва канада мерафт	р о к - г у р ӯ ҳ | т о | 1 6 | с е н т я б р | б о я д | б а | с а ф а р и | ҳ у н а р и и | и ё л о т и | м у т т а ҳ и д а | в а | к а н а д а | м е р а ф т |	112320	MALE
315	14275132219408222812.wav	Дар ёддоштҳояш ӯ аз калимаҳое истифода намуд, ки баъзеи волидон онҳоро суханони дағалона меҳисобиданд ва бино ба иттилоъ, дар дарс аз алфози қабеҳ истифода мекарданд.	дар ёддоштҳояш ӯ аз калимаҳое истифода намуд ки баъзеи волидон онҳоро суханони дағалона меҳисобиданд ва бино ба иттилоъ дар дарс аз алфози қабеҳ истифода мекарданд	д а р | ё д д о ш т ҳ о я ш | ӯ | а з | к а л и м а ҳ о е | и с т и ф о д а | н а м у д | к и | б а ъ з е и | в о л и д о н | о н ҳ о р о | с у х а н о н и | д а ғ а л о н а | м е ҳ и с о б и д а н д | в а | б и н о | б а | и т т и л о ъ | д а р | д а р с | а з | а л ф о з и | қ а б е ҳ | и с т и ф о д а | м е к а р д а н д |	244800	FEMALE
1159	13697368166704171463.wav	Ритмҳои даврӣ натанҳо вокуниш ба огоҳиҳои берунии даврӣ, балки мавҷуд будани онҳо дар аксари мавҷудоти зинда, аз ҷумла бактерияҳо, занбӯруғҳо, растаниҳо ва ҳайвонот бо ҳуҷҷат асоснок карда шудааст.	ритмҳои даврӣ натанҳо вокуниш ба огоҳиҳои берунии даврӣ балки мавҷуд будани онҳо дар аксари мавҷудоти зинда аз ҷумла бактерияҳо занбӯруғҳо растаниҳо ва ҳайвонот бо ҳуҷҷат асоснок карда шудааст	р и т м ҳ о и | д а в р ӣ | н а т а н ҳ о | в о к у н и ш | б а | о г о ҳ и ҳ о и | б е р у н и и | д а в р ӣ | б а л к и | м а в ҷ у д | б у д а н и | о н ҳ о | д а р | а к с а р и | м а в ҷ у д о т и | з и н д а | а з | ҷ у м л а | б а к т е р и я ҳ о | з а н б ӯ р у ғ ҳ о | р а с т а н и ҳ о | в а | ҳ а й в о н о т | б о | ҳ у ҷ ҷ а т | а с о с н о к | к а р д а | ш у д а а с т |	312000	FEMALE
1310	8371897064249707728.wav	Билохира, роҳбар барои муваффақият ва нокомии даста пурра масъул мебошад.	билохира роҳбар барои муваффақият ва нокомии даста пурра масъул мебошад	б и л о х и р а | р о ҳ б а р | б а р о и | м у в а ф ф а қ и я т | в а | н о к о м и и | д а с т а | п у р р а | м а с ъ у л | м е б о ш а д |	107520	MALE
481	7708866427199768493.wav	Дар асбоби мусиқии аккордеон, барои ба даст овардани ҳаҷми иловагӣ, шумо асбобро бо фишор ё суръати баландтар истифода мебаред.	дар асбоби мусиқии аккордеон барои ба даст овардани ҳаҷми иловагӣ шумо асбобро бо фишор ё суръати баландтар истифода мебаред	д а р | а с б о б и | м у с и қ и и | а к к о р д е о н | б а р о и | б а | д а с т | о в а р д а н и | ҳ а ҷ м и | и л о в а г ӣ | ш у м о | а с б о б р о | б о | ф и ш о р | ё | с у р ъ а т и | б а л а н д т а р | и с т и ф о д а | м е б а р е д |	213120	FEMALE
228	13325913942389472098.wav	Олимон кашф карданд, ки шаклҳои релеф дар тамоми сатҳи рӯи Моҳ, ки камарҳои ҷарӣ меноманд, партофта шудаанд, ки зоҳиран дар натиҷаи хеле оҳиста хурд шудани Моҳ ба вуҷуд омадаанд.	олимон кашф карданд ки шаклҳои релеф дар тамоми сатҳи рӯи моҳ ки камарҳои ҷарӣ меноманд партофта шудаанд ки зоҳиран дар натиҷаи хеле оҳиста хурд шудани моҳ ба вуҷуд омадаанд	о л и м о н | к а ш ф | к а р д а н д | к и | ш а к л ҳ о и | р е л е ф | д а р | т а м о м и | с а т ҳ и | р ӯ и | м о ҳ | к и | к а м а р ҳ о и | ҷ а р ӣ | м е н о м а н д | п а р т о ф т а | ш у д а а н д | к и | з о ҳ и р а н | д а р | н а т и ҷ а и | х е л е | о ҳ и с т а | х у р д | ш у д а н и | м о ҳ | б а | в у ҷ у д | о м а д а а н д |	188160	MALE
1321	4628215951436576556.wav	Шаҳри Апиа солҳои 1850 таъсис ёфтааст ва аз соли 1959 пойтахти расмии Самоа мебошад.	шаҳри апиа солҳои 1850 таъсис ёфтааст ва аз соли 1959 пойтахти расмии самоа мебошад	ш а ҳ р и | а п и а | с о л ҳ о и | 1 8 5 0 | т а ъ с и с | ё ф т а а с т | в а | а з | с о л и | 1 9 5 9 | п о й т а х т и | р а с м и и | с а м о а | м е б о ш а д |	171840	FEMALE
827	13011350392858907112.wav	Онҳо асосан ба ду гурӯҳ ҷудо мешаванд: ё ки ҳангоми саёҳат кор кардан ё ин ки хароҷоти худро маҳдуд сохтан. Ин мақола ба дуюмаш дахл дорад.	онҳо асосан ба ду гурӯҳ ҷудо мешаванд ё ки ҳангоми саёҳат кор кардан ё ин ки хароҷоти худро маҳдуд сохтан ин мақола ба дуюмаш дахл дорад	о н ҳ о | а с о с а н | б а | д у | г у р ӯ ҳ | ҷ у д о | м е ш а в а н д | ё | к и | ҳ а н г о м и | с а ё ҳ а т | к о р | к а р д а н | ё | и н | к и | х а р о ҷ о т и | х у д р о | м а ҳ д у д | с о х т а н | и н | м а қ о л а | б а | д у ю м а ш | д а х л | д о р а д |	192000	MALE
1252	15408891826017692691.wav	Дафтари прокурор, ки умуман масъули даъвоҳо мебошад, ба рӯзноманигорон нишон дод, ки ҳадди ақал то пешниҳоди айбнома ягон шарҳи иловагӣ дода намешавад.	дафтари прокурор ки умуман масъули даъвоҳо мебошад ба рӯзноманигорон нишон дод ки ҳадди ақал то пешниҳоди айбнома ягон шарҳи иловагӣ дода намешавад	д а ф т а р и | п р о к у р о р | к и | у м у м а н | м а с ъ у л и | д а ъ в о ҳ о | м е б о ш а д | б а | р ӯ з н о м а н и г о р о н | н и ш о н | д о д | к и | ҳ а д д и | а қ а л | т о | п е ш н и ҳ о д и | а й б н о м а | я г о н | ш а р ҳ и | и л о в а г ӣ | д о д а | н а м е ш а в а д |	201600	FEMALE
1044	8820220506575023768.wav	Инчунин намудҳои бениҳоят гуногуни ҳайвонот ва паррандаҳо муқими минтақаи мазкур ба ҳисоб мераванд.	инчунин намудҳои бениҳоят гуногуни ҳайвонот ва паррандаҳо муқими минтақаи мазкур ба ҳисоб мераванд	и н ч у н и н | н а м у д ҳ о и | б е н и ҳ о я т | г у н о г у н и | ҳ а й в о н о т | в а | п а р р а н д а ҳ о | м у қ и м и | м и н т а қ а и | м а з к у р | б а | ҳ и с о б | м е р а в а н д |	156480	FEMALE
64	9703116271082883399.wav	Конгресси миллии Бразилия дар муддати 10 сол қонуникуниро муҳокима менамояд, ва айни замон ин гуна издивоҷҳои шаҳрвандӣ танҳо дар Риу-Гранди-ду-Сул иҷозат дода шудаанд.	конгресси миллии бразилия дар муддати 10 сол қонуникуниро муҳокима менамояд ва айни замон ин гуна издивоҷҳои шаҳрвандӣ танҳо дар риу-гранди-ду-сул иҷозат дода шудаанд	к о н г р е с с и | м и л л и и | б р а з и л и я | д а р | м у д д а т и | 1 0 | с о л | қ о н у н и к у н и р о | м у ҳ о к и м а | м е н а м о я д | в а | а й н и | з а м о н | и н | г у н а | и з д и в о ҷ ҳ о и | ш а ҳ р в а н д ӣ | т а н ҳ о | д а р | р и у - г р а н д и - д у - с у л | и ҷ о з а т | д о д а | ш у д а а н д |	294720	FEMALE
1201	4179339922597839769.wav	Айбдоршавандагон бо номи Баба Канжар, Бҳутта Канжар, Рампро Канжар, Ғазза Канжар ва Вишну Канжар буданд.	айбдоршавандагон бо номи баба канжар бҳутта канжар рампро канжар ғазза канжар ва вишну канжар буданд	а й б д о р ш а в а н д а г о н | б о | н о м и | б а б а | к а н ж а р | б ҳ у т т а | к а н ж а р | р а м п р о | к а н ж а р | ғ а з з а | к а н ж а р | в а | в и ш н у | к а н ж а р | б у д а н д |	183360	FEMALE
322	10872108283231679642.wav	Соли гузашта Чин аввалин бор нисбат ба Олмон мошин бештар содир кард ва ҳамчун бузургтарин бозори ин соҳа аз Иёлоти Муттаҳида пеш гузашт.	соли гузашта чин аввалин бор нисбат ба олмон мошин бештар содир кард ва ҳамчун бузургтарин бозори ин соҳа аз иёлоти муттаҳида пеш гузашт	с о л и | г у з а ш т а | ч и н | а в в а л и н | б о р | н и с б а т | б а | о л м о н | м о ш и н | б е ш т а р | с о д и р | к а р д | в а | ҳ а м ч у н | б у з у р г т а р и н | б о з о р и | и н | с о ҳ а | а з | и ё л о т и | м у т т а ҳ и д а | п е ш | г у з а ш т |	219840	FEMALE
290	17808735259056204199.wav	Дар харитаи байналмилалии заминҷунбии хадамоти Заминшиносии ИМА заминларзаи Исландия як ҳафта пешакӣ қайд карда нашуда буд.	дар харитаи байналмилалии заминҷунбии хадамоти заминшиносии има заминларзаи исландия як ҳафта пешакӣ қайд карда нашуда буд	д а р | х а р и т а и | б а й н а л м и л а л и и | з а м и н ҷ у н б и и | х а д а м о т и | з а м и н ш и н о с и и | и м а | з а м и н л а р з а и | и с л а н д и я | я к | ҳ а ф т а | п е ш а к ӣ | қ а й д | к а р д а | н а ш у д а | б у д |	177600	FEMALE
1330	5119057383738197121.wav	Маъмури Commons, Адам Кюерден, дар сӯҳбати худ бо Wikinews, ки моҳи гузашта карда буд, оид ба несткуниҳо озурдагии худро изҳор кард.	маъмури commons адам кюерден дар сӯҳбати худ бо wikinews ки моҳи гузашта карда буд оид ба несткуниҳо озурдагии худро изҳор кард	м а ъ м у р и | c o m m o n s | а д а м | к ю е р д е н | д а р | с ӯ ҳ б а т и | х у д | б о | w i k i n e w s | к и | м о ҳ и | г у з а ш т а | к а р д а | б у д | о и д | б а | н е с т к у н и ҳ о | о з у р д а г и и | х у д р о | и з ҳ о р | к а р д |	243840	FEMALE
392	15663708492916020290.wav	Санскрит забони хеле мураккаб ва ғанӣ мебошад, ва барои бисёр забонҳои муосири ҳиндӣ ҳамчун манбаъ хидмат карда буд, ҳамон тавре ки лотинӣ манбаи забонҳои аврупоӣ, аз қабили забонҳои фаронсавӣ ва испанӣ маҳсуб меёбад.	санскрит забони хеле мураккаб ва ғанӣ мебошад ва барои бисёр забонҳои муосири ҳиндӣ ҳамчун манбаъ хидмат карда буд ҳамон тавре ки лотинӣ манбаи забонҳои аврупоӣ аз қабили забонҳои фаронсавӣ ва испанӣ маҳсуб меёбад	с а н с к р и т | з а б о н и | х е л е | м у р а к к а б | в а | ғ а н ӣ | м е б о ш а д | в а | б а р о и | б и с ё р | з а б о н ҳ о и | м у о с и р и | ҳ и н д ӣ | ҳ а м ч у н | м а н б а ъ | х и д м а т | к а р д а | б у д | ҳ а м о н | т а в р е | к и | л о т и н ӣ | м а н б а и | з а б о н ҳ о и | а в р у п о ӣ | а з | қ а б и л и | з а б о н ҳ о и | ф а р о н с а в ӣ | в а | и с п а н ӣ | м а ҳ с у б | м е ё б а д |	289920	FEMALE
1280	5883813783166124246.wav	Дар соли ҷорӣ нақшаҳои таҳвили ваксинаҳо ба минтақаҳои таърихии бештар осебдида аз сабаби нокофӣ будани маблағ ва афзалияти паст нисбат ба дигар бемориҳо ба таъхир гузошта шуданд.	дар соли ҷорӣ нақшаҳои таҳвили ваксинаҳо ба минтақаҳои таърихии бештар осебдида аз сабаби нокофӣ будани маблағ ва афзалияти паст нисбат ба дигар бемориҳо ба таъхир гузошта шуданд	д а р | с о л и | ҷ о р ӣ | н а қ ш а ҳ о и | т а ҳ в и л и | в а к с и н а ҳ о | б а | м и н т а қ а ҳ о и | т а ъ р и х и и | б е ш т а р | о с е б д и д а | а з | с а б а б и | н о к о ф ӣ | б у д а н и | м а б л а ғ | в а | а ф з а л и я т и | п а с т | н и с б а т | б а | д и г а р | б е м о р и ҳ о | б а | т а ъ х и р | г у з о ш т а | ш у д а н д |	251520	FEMALE
1276	5234401241359359969.wav	Духтуре, ки дар беморхонаи кӯдаконаи Питтсбурги Пенсилвания фаъолият мекард, баъди дар бағоҷи мошинаш пайдо кардани ҷасади модараш, ба куштори вазнин айбдор карда мешавад, иттилоъ доданд ҳокимияти штати Огайо.	духтуре ки дар беморхонаи кӯдаконаи питтсбурги пенсилвания фаъолият мекард баъди дар бағоҷи мошинаш пайдо кардани ҷасади модараш ба куштори вазнин айбдор карда мешавад иттилоъ доданд ҳокимияти штати огайо	д у х т у р е | к и | д а р | б е м о р х о н а и | к ӯ д а к о н а и | п и т т с б у р г и | п е н с и л в а н и я | ф а ъ о л и я т | м е к а р д | б а ъ д и | д а р | б а ғ о ҷ и | м о ш и н а ш | п а й д о | к а р д а н и | ҷ а с а д и | м о д а р а ш | б а | к у ш т о р и | в а з н и н | а й б д о р | к а р д а | м е ш а в а д | и т т и л о ъ | д о д а н д | ҳ о к и м и я т и | ш т а т и | о г а й о |	313920	FEMALE
487	4867939119378339993.wav	Гарчанде сикхҳо реша ва анъанаҳои ҳиндуҳоро эътироф кунанд ҳам, аммо имони худро ҳамчун дини алоҳида аз ҳиндуизм мешуморанд.	гарчанде сикхҳо реша ва анъанаҳои ҳиндуҳоро эътироф кунанд ҳам аммо имони худро ҳамчун дини алоҳида аз ҳиндуизм мешуморанд	г а р ч а н д е | с и к х ҳ о | р е ш а | в а | а н ъ а н а ҳ о и | ҳ и н д у ҳ о р о | э ъ т и р о ф | к у н а н д | ҳ а м | а м м о | и м о н и | х у д р о | ҳ а м ч у н | д и н и | а л о ҳ и д а | а з | ҳ и н д у и з м | м е ш у м о р а н д |	207360	FEMALE
280	7817136388640694009.wav	Ҳамун ғолиби штатҳо, Флорида ҳамаи панҷоҳ вакилонашро ба Ромни пешниҳод кард ва ин боис гардид, ки ӯ пешсафи Ҳизби ҷумҳурихоҳ гардид.	ҳамун ғолиби штатҳо флорида ҳамаи панҷоҳ вакилонашро ба ромни пешниҳод кард ва ин боис гардид ки ӯ пешсафи ҳизби ҷумҳурихоҳ гардид	ҳ а м у н | ғ о л и б и | ш т а т ҳ о | ф л о р и д а | ҳ а м а и | п а н ҷ о ҳ | в а к и л о н а ш р о | б а | р о м н и | п е ш н и ҳ о д | к а р д | в а | и н | б о и с | г а р д и д | к и | ӯ | п е ш с а ф и | ҳ и з б и | ҷ у м ҳ у р и х о ҳ | г а р д и д |	260160	FEMALE
335	18154979139114145922.wav	Сипас ба саҳна дарвешҳои даврзананда баромаданд.	сипас ба саҳна дарвешҳои даврзананда баромаданд	с и п а с | б а | с а ҳ н а | д а р в е ш ҳ о и | д а в р з а н а н д а | б а р о м а д а н д |	98880	FEMALE
681	835325197573195603.wav	Шаҳр дар наздикии шаршараҳо воқеъ буда, онҳо ҷойи асосии тамошобоб мебошанд, вале ин самти сайёҳӣ ҳам ба ҷӯяндагони ҳодисаҳо ва ҳам ба сайёҳон имкониятҳои зиёдро ҳангоми зиёдтар истодан дар он ҷо пешниҳод мекунад.	шаҳр дар наздикии шаршараҳо воқеъ буда онҳо ҷойи асосии тамошобоб мебошанд вале ин самти сайёҳӣ ҳам ба ҷӯяндагони ҳодисаҳо ва ҳам ба сайёҳон имкониятҳои зиёдро ҳангоми зиёдтар истодан дар он ҷо пешниҳод мекунад	ш а ҳ р | д а р | н а з д и к и и | ш а р ш а р а ҳ о | в о қ е ъ | б у д а | о н ҳ о | ҷ о й и | а с о с и и | т а м о ш о б о б | м е б о ш а н д | в а л е | и н | с а м т и | с а й ё ҳ ӣ | ҳ а м | б а | ҷ ӯ я н д а г о н и | ҳ о д и с а ҳ о | в а | ҳ а м | б а | с а й ё ҳ о н | и м к о н и я т ҳ о и | з и ё д р о | ҳ а н г о м и | з и ё д т а р | и с т о д а н | д а р | о н | ҷ о | п е ш н и ҳ о д | м е к у н а д |	303360	FEMALE
1096	12476477802977875701.wav	Аксари круизҳо дар баҳри Балтика дар шаҳри Санкт Петербурги Русия ба муддати дароз меистанд.	аксари круизҳо дар баҳри балтика дар шаҳри санкт петербурги русия ба муддати дароз меистанд	а к с а р и | к р у и з ҳ о | д а р | б а ҳ р и | б а л т и к а | д а р | ш а ҳ р и | с а н к т | п е т е р б у р г и | р у с и я | б а | м у д д а т и | д а р о з | м е и с т а н д |	137280	FEMALE
103	8671779238138595374.wav	Боз як минтақаи дуюмдараҷаи ҷойгиркунӣ дар зери зарфҳои дорои қобилияти нигоҳ доштани 104500 баррел ҳоло ҳам то ҳаҷми зарурӣ пур карда нашудааст.	боз як минтақаи дуюмдараҷаи ҷойгиркунӣ дар зери зарфҳои дорои қобилияти нигоҳ доштани 104500 баррел ҳоло ҳам то ҳаҷми зарурӣ пур карда нашудааст	б о з | я к | м и н т а қ а и | д у ю м д а р а ҷ а и | ҷ о й г и р к у н ӣ | д а р | з е р и | з а р ф ҳ о и | д о р о и | қ о б и л и я т и | н и г о ҳ | д о ш т а н и | 1 0 4 5 0 0 | б а р р е л | ҳ о л о | ҳ а м | т о | ҳ а ҷ м и | з а р у р ӣ | п у р | к а р д а | н а ш у д а а с т |	189120	MALE
789	6971303943370123388.wav	Бисёре аз миллатҳо забони англисиро комилан медонанд ва аз ин ҳам зиёдтар шумо метавонед маҳдудияти дониш, алалхусус дар байни ҷавонон рӯ ба рӯ шавед.	бисёре аз миллатҳо забони англисиро комилан медонанд ва аз ин ҳам зиёдтар шумо метавонед маҳдудияти дониш алалхусус дар байни ҷавонон рӯ ба рӯ шавед	б и с ё р е | а з | м и л л а т ҳ о | з а б о н и | а н г л и с и р о | к о м и л а н | м е д о н а н д | в а | а з | и н | ҳ а м | з и ё д т а р | ш у м о | м е т а в о н е д | м а ҳ д у д и я т и | д о н и ш | а л а л х у с у с | д а р | б а й н и | ҷ а в о н о н | р ӯ | б а | р ӯ | ш а в е д |	241920	FEMALE
259	17889312500086929481.wav	Гарчанде ки мақомот ба эътимоднокии таҳдид боварӣ надоранд, Раёсати нақлиёти Мэриленд бо исрори FBI (Бюрои федералии тафтишот) минтақаи мазкурро бастааст.	гарчанде ки мақомот ба эътимоднокии таҳдид боварӣ надоранд раёсати нақлиёти мэриленд бо исрори fbi бюрои федералии тафтишот минтақаи мазкурро бастааст	г а р ч а н д е | к и | м а қ о м о т | б а | э ъ т и м о д н о к и и | т а ҳ д и д | б о в а р ӣ | н а д о р а н д | р а ё с а т и | н а қ л и ё т и | м э р и л е н д | б о | и с р о р и | f b i | б ю р о и | ф е д е р а л и и | т а ф т и ш о т | м и н т а қ а и | м а з к у р р о | б а с т а а с т |	320640	FEMALE
1411	8552194180093445444.wav	Аксари дайрҳо барои заноне, ки омодагӣ надоранд, рӯймол медиҳанд, аммо агар шумо рӯймоли худро биёред, алахусус бо рангҳои дурахшон, дар даромадгоҳ соҳиби табассуме аз роҳиб ё роҳиба хоҳед шуд.	аксари дайрҳо барои заноне ки омодагӣ надоранд рӯймол медиҳанд аммо агар шумо рӯймоли худро биёред алахусус бо рангҳои дурахшон дар даромадгоҳ соҳиби табассуме аз роҳиб ё роҳиба хоҳед шуд	а к с а р и | д а й р ҳ о | б а р о и | з а н о н е | к и | о м о д а г ӣ | н а д о р а н д | р ӯ й м о л | м е д и ҳ а н д | а м м о | а г а р | ш у м о | р ӯ й м о л и | х у д р о | б и ё р е д | а л а х у с у с | б о | р а н г ҳ о и | д у р а х ш о н | д а р | д а р о м а д г о ҳ | с о ҳ и б и | т а б а с с у м е | а з | р о ҳ и б | ё | р о ҳ и б а | х о ҳ е д | ш у д |	320640	FEMALE
248	9609509186522965665.wav	Агентҳои мазкур мутобиқи қисми 247 Конститутсияи Покистон барои пешниҳоди хизматрасонии хадамоти давлатӣ ва судӣ масъуланд.	агентҳои мазкур мутобиқи қисми 247 конститутсияи покистон барои пешниҳоди хизматрасонии хадамоти давлатӣ ва судӣ масъуланд	а г е н т ҳ о и | м а з к у р | м у т о б и қ и | қ и с м и | 2 4 7 | к о н с т и т у т с и я и | п о к и с т о н | б а р о и | п е ш н и ҳ о д и | х и з м а т р а с о н и и | х а д а м о т и | д а в л а т ӣ | в а | с у д ӣ | м а с ъ у л а н д |	222720	FEMALE
1400	1553556985182385402.wav	Як замоне шаҳри бостонии Смирна, имрӯз ба як маркази савдои муосир, рушдёфта ва пуҷӯшу хурӯш, ки дар атрофи халиҷи азим ва дар иҳотаи кӯҳҳо ҷойгир аст, табдил ёфтааст.	як замоне шаҳри бостонии смирна имрӯз ба як маркази савдои муосир рушдёфта ва пуҷӯшу хурӯш ки дар атрофи халиҷи азим ва дар иҳотаи кӯҳҳо ҷойгир аст табдил ёфтааст	я к | з а м о н е | ш а ҳ р и | б о с т о н и и | с м и р н а | и м р ӯ з | б а | я к | м а р к а з и | с а в д о и | м у о с и р | р у ш д ё ф т а | в а | п у ҷ ӯ ш у | х у р ӯ ш | к и | д а р | а т р о ф и | х а л и ҷ и | а з и м | в а | д а р | и ҳ о т а и | к ӯ ҳ ҳ о | ҷ о й г и р | а с т | т а б д и л | ё ф т а а с т |	285120	FEMALE
131	2628789585749002354.wav	Эълони имрӯза инчунин ӯҳдадориҳои ҳукуматро, ки моҳи марти соли равон барои маблағгузории вагонҳои иловагӣ ба зимма гирифта буд, тамдид намуд.	эълони имрӯза инчунин ӯҳдадориҳои ҳукуматро ки моҳи марти соли равон барои маблағгузории вагонҳои иловагӣ ба зимма гирифта буд тамдид намуд	э ъ л о н и | и м р ӯ з а | и н ч у н и н | ӯ ҳ д а д о р и ҳ о и | ҳ у к у м а т р о | к и | м о ҳ и | м а р т и | с о л и | р а в о н | б а р о и | м а б л а ғ г у з о р и и | в а г о н ҳ о и | и л о в а г ӣ | б а | з и м м а | г и р и ф т а | б у д | т а м д и д | н а м у д |	219840	FEMALE
1243	2237350749335811431.wav	Сарфи назар аз он, ки ягон таҳдиди сунамӣ набуд, сокинон ба вохима афтоданд ва корхонаҳо ва хонаҳои худро тарк кардан.	сарфи назар аз он ки ягон таҳдиди сунамӣ набуд сокинон ба вохима афтоданд ва корхонаҳо ва хонаҳои худро тарк кардан	с а р ф и | н а з а р | а з | о н | к и | я г о н | т а ҳ д и д и | с у н а м ӣ | н а б у д | с о к и н о н | б а | в о х и м а | а ф т о д а н д | в а | к о р х о н а ҳ о | в а | х о н а ҳ о и | х у д р о | т а р к | к а р д а н |	193920	FEMALE
426	14176571768372562092.wav	Бо вуҷуди ин, Чарлз ба Донишгоҳи Коллеҷи Тринити Кембриҷ дохил шуда, дар он ҷо антропология ва бостоншиносӣ, лекин дертар таърихро омӯхта, дараҷаи 2:2 (дараҷаи пасти синфи дуюм) гирифт.	бо вуҷуди ин чарлз ба донишгоҳи коллеҷи тринити кембриҷ дохил шуда дар он ҷо антропология ва бостоншиносӣ лекин дертар таърихро омӯхта дараҷаи 2:2 дараҷаи пасти синфи дуюм гирифт	б о | в у ҷ у д и | и н | ч а р л з | б а | д о н и ш г о ҳ и | к о л л е ҷ и | т р и н и т и | к е м б р и ҷ | д о х и л | ш у д а | д а р | о н | ҷ о | а н т р о п о л о г и я | в а | б о с т о н ш и н о с ӣ | л е к и н | д е р т а р | т а ъ р и х р о | о м ӯ х т а | д а р а ҷ а и | 2 : 2 | д а р а ҷ а и | п а с т и | с и н ф и | д у ю м | г и р и ф т |	282240	FEMALE
958	4887317113128696701.wav	Агар шумо саросари ҷаҳонро дар нимкураи ҷанубӣ гирдогирд паридан хоҳед, интихоби парвозҳо ва самтҳо аз сабаби набудани хатсайрҳои ҳавзаи трансуқёнусӣ маҳдуданд.	агар шумо саросари ҷаҳонро дар нимкураи ҷанубӣ гирдогирд паридан хоҳед интихоби парвозҳо ва самтҳо аз сабаби набудани хатсайрҳои ҳавзаи трансуқёнусӣ маҳдуданд	а г а р | ш у м о | с а р о с а р и | ҷ а ҳ о н р о | д а р | н и м к у р а и | ҷ а н у б ӣ | г и р д о г и р д | п а р и д а н | х о ҳ е д | и н т и х о б и | п а р в о з ҳ о | в а | с а м т ҳ о | а з | с а б а б и | н а б у д а н и | х а т с а й р ҳ о и | ҳ а в з а и | т р а н с у қ ё н у с ӣ | м а ҳ д у д а н д |	281280	FEMALE
9	3517754317620766009.wav	Дарҳол пас аз соати 11:00, тазоҳургарон пеши роҳи вагони шимолиро дар Уайтҳолл бастанд.	дарҳол пас аз соати 11:00 тазоҳургарон пеши роҳи вагони шимолиро дар уайтҳолл бастанд	д а р ҳ о л | п а с | а з | с о а т и | 1 1 : 0 0 | т а з о ҳ у р г а р о н | п е ш и | р о ҳ и | в а г о н и | ш и м о л и р о | д а р | у а й т ҳ о л л | б а с т а н д |	159360	FEMALE
94	9571986529522416051.wav	Ин ба ҳисоботҳои пештар мухолиф аст, ки дар онҳо гуфта мешуд, ки бекор кардани марҳилаи дуюм ин вайрон кардани сарқонун мебошад.	ин ба ҳисоботҳои пештар мухолиф аст ки дар онҳо гуфта мешуд ки бекор кардани марҳилаи дуюм ин вайрон кардани сарқонун мебошад	и н | б а | ҳ и с о б о т ҳ о и | п е ш т а р | м у х о л и ф | а с т | к и | д а р | о н ҳ о | г у ф т а | м е ш у д | к и | б е к о р | к а р д а н и | м а р ҳ и л а и | д у ю м | и н | в а й р о н | к а р д а н и | с а р қ о н у н | м е б о ш а д |	183360	FEMALE
456	3776394284644788343.wav	Агар истеҳсолкунандагони линзаҳо дар истеҳсоли линзаҳо ба стандартҳои баландтар ноил шаванд, ин мушкилот камтар мешавад.	агар истеҳсолкунандагони линзаҳо дар истеҳсоли линзаҳо ба стандартҳои баландтар ноил шаванд ин мушкилот камтар мешавад	а г а р | и с т е ҳ с о л к у н а н д а г о н и | л и н з а ҳ о | д а р | и с т е ҳ с о л и | л и н з а ҳ о | б а | с т а н д а р т ҳ о и | б а л а н д т а р | н о и л | ш а в а н д | и н | м у ш к и л о т | к а м т а р | м е ш а в а д |	146880	MALE
