456	4136832718535352191.wav	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا.	اهو مسئلو گهٽ ٿيندو پيو وڃي ڇو تہ لينس ٺاهيندڙ لينس جي پئداوار ۾ اعليٰ معيار حاصل ڪن ٿا	ا ه و | م س ئ ل و | گ ه ٽ | ٿ ي ن د و | پ ي و | و ڃ ي | ڇ و | ت ہ | ل ي ن س | ٺ ا ه ي ن د ڙ | ل ي ن س | ج ي | پ ئ د ا و ا ر | ۾ | ا ع ل ي ٰ | م ع ي ا ر | ح ا ص ل | ڪ ن | ٿ ا |	109440	FEMALE
1500	2902869456549721216.wav	حياتياتي گھڙيون پاڻ کي برقرار رکيندڙ اوسيليٽرز آھن جيڪي خارجي اشارن جي غير موجودگي ۾ به مفت-هلندڙ سائيڪلنگ جي مدت کي جاري رکندا.	حياتياتي گھڙيون پاڻ کي برقرار رکيندڙ اوسيليٽرز آھن جيڪي خارجي اشارن جي غير موجودگي ۾ به مفت-هلندڙ سائيڪلنگ جي مدت کي جاري رکندا	ح ي ا ت ي ا ت ي | گ ھ ڙ ي و ن | پ ا ڻ | ک ي | ب ر ق ر ا ر | ر ک ي ن د ڙ | ا و س ي ل ي ٽ ر ز | آ ھ ن | ج ي ڪ ي | خ ا ر ج ي | ا ش ا ر ن | ج ي | غ ي ر | م و ج و د گ ي | ۾ | ب ه | م ف ت - ه ل ن د ڙ | س ا ئ ي ڪ ل ن گ | ج ي | م د ت | ک ي | ج ا ر ي | ر ک ن د ا |	233280	MALE
248	9173650485294494813.wav	پاڪستاني آئين جي آرٽيڪل 247 موجب اهي ايجنٽ سرڪاري ۽ عدالتي خدمتون مهيا ڪرڻ جا ذميوار آهن.	پاڪستاني آئين جي آرٽيڪل 247 موجب اهي ايجنٽ سرڪاري ۽ عدالتي خدمتون مهيا ڪرڻ جا ذميوار آهن	پ ا ڪ س ت ا ن ي | آ ئ ي ن | ج ي | آ ر ٽ ي ڪ ل | 2 4 7 | م و ج ب | ا ه ي | ا ي ج ن ٽ | س ر ڪ ا ر ي | ۽ | ع د ا ل ت ي | خ د م ت و ن | م ه ي ا | ڪ ر ڻ | ج ا | ذ م ي و ا ر | آ ه ن |	180480	MALE
72	8157208684624236978.wav	مشهور يوناني وڪيل، ساڪس ڪيچاگيوگلو ۽ جارج نڪولاڪوپولوس کي ايٿنز جي جيل ۾ قيد ڪيو ويو آهي، ڇو تہ انهن تي رشوت خوري ۽ بدعنواني جو ڏوه ثابت ٿيو هو.	مشهور يوناني وڪيل ساڪس ڪيچاگيوگلو ۽ جارج نڪولاڪوپولوس کي ايٿنز جي جيل ۾ قيد ڪيو ويو آهي ڇو تہ انهن تي رشوت خوري ۽ بدعنواني جو ڏوه ثابت ٿيو هو	م ش ه و ر | ي و ن ا ن ي | و ڪ ي ل | س ا ڪ س | ڪ ي چ ا گ ي و گ ل و | ۽ | ج ا ر ج | ن ڪ و ل ا ڪ و پ و ل و س | ک ي | ا ي ٿ ن ز | ج ي | ج ي ل | ۾ | ق ي د | ڪ ي و | و ي و | آ ه ي | ڇ و | ت ہ | ا ن ه ن | ت ي | ر ش و ت | خ و ر ي | ۽ | ب د ع ن و ا ن ي | ج و | ڏ و ه | ث ا ب ت | ٿ ي و | ه و |	337920	MALE
56	6805614806979244338.wav	مسٽر ڪوسٽيلو چيو تہ جڏهن جوهري بجلي گهر معاشي طور تي لاڀائتو ٿي ٿو تہ، آسٽريليا کي ان جو استعمال جاري رکڻ گهرجي.	مسٽر ڪوسٽيلو چيو تہ جڏهن جوهري بجلي گهر معاشي طور تي لاڀائتو ٿي ٿو تہ آسٽريليا کي ان جو استعمال جاري رکڻ گهرجي	م س ٽ ر | ڪ و س ٽ ي ل و | چ ي و | ت ہ | ج ڏ ه ن | ج و ه ر ي | ب ج ل ي | گ ه ر | م ع ا ش ي | ط و ر | ت ي | ل ا ڀ ا ئ ت و | ٿ ي | ٿ و | ت ہ | آ س ٽ ر ي ل ي ا | ک ي | ا ن | ج و | ا س ت ع م ا ل | ج ا ر ي | ر ک ڻ | گ ه ر ج ي |	218880	MALE
1364	4854395962852158685.wav	هانگ ڪانگ ٻيٽ جي شهري ترقی جی گھڻي آبادي اترهين سامونڊي ڪناري سان گڏ واپس ورتل زمين تي ڀريل آهي.	هانگ ڪانگ ٻيٽ جي شهري ترقی جی گھڻي آبادي اترهين سامونڊي ڪناري سان گڏ واپس ورتل زمين تي ڀريل آهي	ه ا ن گ | ڪ ا ن گ | ٻ ي ٽ | ج ي | ش ه ر ي | ت ر ق ی | ج ی | گ ھ ڻ ي | آ ب ا د ي | ا ت ر ه ي ن | س ا م و ن ڊ ي | ڪ ن ا ر ي | س ا ن | گ ڏ | و ا پ س | و ر ت ل | ز م ي ن | ت ي | ڀ ر ي ل | آ ه ي |	214080	FEMALE
936	14965386853905668742.wav	جيستائين توهان سياستدان نہ آهيو، پرڏيهي ملڪ ۾ ڪم ڪرڻ جو مطلب تہ جنهن ملڪ ۾ توهان رهو ٿا اتي توهان کي انڪم ٽيڪس ڀرڻو پوندو.	جيستائين توهان سياستدان نہ آهيو پرڏيهي ملڪ ۾ ڪم ڪرڻ جو مطلب تہ جنهن ملڪ ۾ توهان رهو ٿا اتي توهان کي انڪم ٽيڪس ڀرڻو پوندو	ج ي س ت ا ئ ي ن | ت و ه ا ن | س ي ا س ت د ا ن | ن ہ | آ ه ي و | پ ر ڏ ي ه ي | م ل ڪ | ۾ | ڪ م | ڪ ر ڻ | ج و | م ط ل ب | ت ہ | ج ن ه ن | م ل ڪ | ۾ | ت و ه ا ن | ر ه و | ٿ ا | ا ت ي | ت و ه ا ن | ک ي | ا ن ڪ م | ٽ ي ڪ س | ڀ ر ڻ و | پ و ن د و |	240960	MALE
1271	2670904207922923053.wav	قدرت جي بنياد تي سياحت ٻوٽن ۽ جانورن جي جهنگلي زندگين سميت، منظرن کان لطف وٺڻ جي مقصد لاءِ قدرتي علائقا گهمڻ وارن دلچسپي وٺندڙ ماڻهن کي موهي ٿو.	قدرت جي بنياد تي سياحت ٻوٽن ۽ جانورن جي جهنگلي زندگين سميت منظرن کان لطف وٺڻ جي مقصد لاءِ قدرتي علائقا گهمڻ وارن دلچسپي وٺندڙ ماڻهن کي موهي ٿو	ق د ر ت | ج ي | ب ن ي ا د | ت ي | س ي ا ح ت | ٻ و ٽ ن | ۽ | ج ا ن و ر ن | ج ي | ج ه ن گ ل ي | ز ن د گ ي ن | س م ي ت | م ن ظ ر ن | ک ا ن | ل ط ف | و ٺ ڻ | ج ي | م ق ص د | ل ا ء ِ | ق د ر ت ي | ع ل ا ئ ق ا | گ ه م ڻ | و ا ر ن | د ل چ س پ ي | و ٺ ن د ڙ | م ا ڻ ه ن | ک ي | م و ه ي | ٿ و |	245760	MALE
666	9811678446366569113.wav	هڪ "عام راوجي" دوري ۾ اورلينڊو بين الاقوامي هوائي اڏي تائين پروازي، ڊزني هوٽل تائين بس ۾ وڃڻ، ڊزني پراپرٽي کي ڇڏڻ بغير هڪ هفتو گذارڻ، ۽ گهر واپس اچڻ شامل آهي.	هڪ عام راوجي دوري ۾ اورلينڊو بين الاقوامي هوائي اڏي تائين پروازي ڊزني هوٽل تائين بس ۾ وڃڻ ڊزني پراپرٽي کي ڇڏڻ بغير هڪ هفتو گذارڻ ۽ گهر واپس اچڻ شامل آهي	ه ڪ | ع ا م | ر ا و ج ي | د و ر ي | ۾ | ا و ر ل ي ن ڊ و | ب ي ن | ا ل ا ق و ا م ي | ه و ا ئ ي | ا ڏ ي | ت ا ئ ي ن | پ ر و ا ز ي | ڊ ز ن ي | ه و ٽ ل | ت ا ئ ي ن | ب س | ۾ | و ڃ ڻ | ڊ ز ن ي | پ ر ا پ ر ٽ ي | ک ي | ڇ ڏ ڻ | ب غ ي ر | ه ڪ | ه ف ت و | گ ذ ا ر ڻ | ۽ | گ ه ر | و ا پ س | ا چ ڻ | ش ا م ل | آ ه ي |	316800	MALE
655	3862965225407729129.wav	جرم، ۽ غيرقانوني رويو پرڏيهي ماڻهن ڏانهن عام آهي، بعيد طور تي گرينلينڊ ۾ نامعلوم آهي. توڙي جو شهرن ۾، اتي ڪي به "رف علائقا" آهن.	جرم ۽ غيرقانوني رويو پرڏيهي ماڻهن ڏانهن عام آهي بعيد طور تي گرينلينڊ ۾ نامعلوم آهي توڙي جو شهرن ۾ اتي ڪي به رف علائقا آهن	ج ر م | ۽ | غ ي ر ق ا ن و ن ي | ر و ي و | پ ر ڏ ي ه ي | م ا ڻ ه ن | ڏ ا ن ه ن | ع ا م | آ ه ي | ب ع ي د | ط و ر | ت ي | گ ر ي ن ل ي ن ڊ | ۾ | ن ا م ع ل و م | آ ه ي | ت و ڙ ي | ج و | ش ه ر ن | ۾ | ا ت ي | ڪ ي | ب ه | ر ف | ع ل ا ئ ق ا | آ ه ن |	291840	MALE
813	12834785312526306641.wav	ڊي هائيڪنگ ۾ هڪ ميل کان به گھٽ مفاصلو يا وڌ ۾ وڌ مفاصلو شامل آهي جيڪو هڪ ڏينهن ۾ پورو ڪري سگهجي ٿو.	ڊي هائيڪنگ ۾ هڪ ميل کان به گھٽ مفاصلو يا وڌ ۾ وڌ مفاصلو شامل آهي جيڪو هڪ ڏينهن ۾ پورو ڪري سگهجي ٿو	ڊ ي | ه ا ئ ي ڪ ن گ | ۾ | ه ڪ | م ي ل | ک ا ن | ب ه | گ ھ ٽ | م ف ا ص ل و | ي ا | و ڌ | ۾ | و ڌ | م ف ا ص ل و | ش ا م ل | آ ه ي | ج ي ڪ و | ه ڪ | ڏ ي ن ه ن | ۾ | پ و ر و | ڪ ر ي | س گ ه ج ي | ٿ و |	212160	FEMALE
1083	6063280510666993654.wav	پنهنجي ٽرپ دوران، اواساڪي ڪيترن ئي موقعن تي مشڪل ۾ پئجي ويو.	پنهنجي ٽرپ دوران اواساڪي ڪيترن ئي موقعن تي مشڪل ۾ پئجي ويو	پ ن ه ن ج ي | ٽ ر پ | د و ر ا ن | ا و ا س ا ڪ ي | ڪ ي ت ر ن | ئ ي | م و ق ع ن | ت ي | م ش ڪ ل | ۾ | پ ئ ج ي | و ي و |	123840	MALE
273	10737556011747247861.wav	هن ٻڌايو تہ ڪجهہ مطالعن کان معلوم ٿئي ٿو تہ ان کان پهرين تہ اهو بيماري عالمي وبا جو سبب بڻجي بيماري کي گهٽ موتمار بڻائڻ گهرجي.	هن ٻڌايو تہ ڪجهہ مطالعن کان معلوم ٿئي ٿو تہ ان کان پهرين تہ اهو بيماري عالمي وبا جو سبب بڻجي بيماري کي گهٽ موتمار بڻائڻ گهرجي	ه ن | ٻ ڌ ا ي و | ت ہ | ڪ ج ه ہ | م ط ا ل ع ن | ک ا ن | م ع ل و م | ٿ ئ ي | ٿ و | ت ہ | ا ن | ک ا ن | پ ه ر ي ن | ت ہ | ا ه و | ب ي م ا ر ي | ع ا ل م ي | و ب ا | ج و | س ب ب | ب ڻ ج ي | ب ي م ا ر ي | ک ي | گ ه ٽ | م و ت م ا ر | ب ڻ ا ئ ڻ | گ ه ر ج ي |	9600	MALE
853	12050612814988943495.wav	روٽورو ۾ ڪيترن ئي جاين تي جيو ٿرمل هنگي پيش ڪيو وڃي ٿو، جڏهن ته ٻيا هينگي گرجا گهر، ويلنگٽن ۽ ٻين جاين تي چيڪ ڪري سگهجن ٿا.	روٽورو ۾ ڪيترن ئي جاين تي جيو ٿرمل هنگي پيش ڪيو وڃي ٿو جڏهن ته ٻيا هينگي گرجا گهر ويلنگٽن ۽ ٻين جاين تي چيڪ ڪري سگهجن ٿا	ر و ٽ و ر و | ۾ | ڪ ي ت ر ن | ئ ي | ج ا ي ن | ت ي | ج ي و | ٿ ر م ل | ه ن گ ي | پ ي ش | ڪ ي و | و ڃ ي | ٿ و | ج ڏ ه ن | ت ه | ٻ ي ا | ه ي ن گ ي | گ ر ج ا | گ ه ر | و ي ل ن گ ٽ ن | ۽ | ٻ ي ن | ج ا ي ن | ت ي | چ ي ڪ | ڪ ر ي | س گ ه ج ن | ٿ ا |	239040	MALE
1313	5180200458202620678.wav	هُو آمريڪا ۾ پنهنجي نالي تي 4 سينٽ، شاعري جو هڪ ڪتاب، ۽ ٿامس ايڊيسن ڏانهن چارلس بيٽچلر (هن جي پوئين نوڪري ۾ هن جي مئنيجر) جو سفارشي خط کڻي پهتو.	هُو آمريڪا ۾ پنهنجي نالي تي 4 سينٽ، شاعري جو هڪ ڪتاب، ۽ ٿامس ايڊيسن ڏانهن چارلس بيٽچلر هن جي پوئين نوڪري ۾ هن جي مئنيجر جو سفارشي خط کڻي پهتو	ه ُ و | آ م ر ي ڪ ا | ۾ | پ ن ه ن ج ي | ن ا ل ي | ت ي | 4 | س ي ن ٽ ، | ش ا ع ر ي | ج و | ه ڪ | ڪ ت ا ب ، | ۽ | ٿ ا م س | ا ي ڊ ي س ن | ڏ ا ن ه ن | چ ا ر ل س | ب ي ٽ چ ل ر | ه ن | ج ي | پ و ئ ي ن | ن و ڪ ر ي | ۾ | ه ن | ج ي | م ئ ن ي ج ر | ج و | س ف ا ر ش ي | خ ط | ک ڻ ي | پ ه ت و |	316800	FEMALE
662	16004929377917026727.wav	موسيقي، فلمن، ادب ۽ مشهور ثقافت جي ان جي اڪثر نقاشي شهر ۽ ان جي سرزمين کي سڄي دنيا ۾ مشهور ڪرڻ ۾ مدد ڪئي آهي.	موسيقي فلمن ادب ۽ مشهور ثقافت جي ان جي اڪثر نقاشي شهر ۽ ان جي سرزمين کي سڄي دنيا ۾ مشهور ڪرڻ ۾ مدد ڪئي آهي	م و س ي ق ي | ف ل م ن | ا د ب | ۽ | م ش ه و ر | ث ق ا ف ت | ج ي | ا ن | ج ي | ا ڪ ث ر | ن ق ا ش ي | ش ه ر | ۽ | ا ن | ج ي | س ر ز م ي ن | ک ي | س ڄ ي | د ن ي ا | ۾ | م ش ه و ر | ڪ ر ڻ | ۾ | م د د | ڪ ئ ي | آ ه ي |	223680	MALE
865	1180720703564764725.wav	اهڙيءَ طرح دهلي بيلي جا ڦٽڪا، فرعون جي لعنت، مونٽيزوما جو بدلو، ۽ انهن جا ڪيترائي دوست.	اهڙيءَ طرح دهلي بيلي جا ڦٽڪا فرعون جي لعنت مونٽيزوما جو بدلو ۽ انهن جا ڪيترائي دوست	ا ه ڙ ي ء َ | ط ر ح | د ه ل ي | ب ي ل ي | ج ا | ڦ ٽ ڪ ا | ف ر ع و ن | ج ي | ل ع ن ت | م و ن ٽ ي ز و م ا | ج و | ب د ل و | ۽ | ا ن ه ن | ج ا | ڪ ي ت ر ا ئ ي | د و س ت |	251520	MALE
811	8352275210070575759.wav	ڪینیوننگ ترڻ، چڙهڻ ۽ ٽپ ڏيڻ کان عنصرن کي گڏ ڪري ٿي--پر شروعات ڪرڻ لاءِ نسبتاً گهٽ تربيت يا جسماني شڪل جي ضرورت آهي (مثال طور ٽڪري تي چڙهڻ، اسڪوبا ڊائيونگ يا الپائن اسڪائينگ جي ڀيٽ ۾).	ڪینیوننگ ترڻ، چڙهڻ ۽ ٽپ ڏيڻ کان عنصرن کي گڏ ڪري ٿي--پر شروعات ڪرڻ لاءِ نسبتاً گهٽ تربيت يا جسماني شڪل جي ضرورت آهي مثال طور ٽڪري تي چڙهڻ، اسڪوبا ڊائيونگ يا الپائن اسڪائينگ جي ڀيٽ ۾	ڪ ی ن ی و ن ن گ | ت ر ڻ ، | چ ڙ ه ڻ | ۽ | ٽ پ | ڏ ي ڻ | ک ا ن | ع ن ص ر ن | ک ي | گ ڏ | ڪ ر ي | ٿ ي - - پ ر | ش ر و ع ا ت | ڪ ر ڻ | ل ا ء ِ | ن س ب ت ا ً | گ ه ٽ | ت ر ب ي ت | ي ا | ج س م ا ن ي | ش ڪ ل | ج ي | ض ر و ر ت | آ ه ي | م ث ا ل | ط و ر | ٽ ڪ ر ي | ت ي | چ ڙ ه ڻ ، | ا س ڪ و ب ا | ڊ ا ئ ي و ن گ | ي ا | ا ل پ ا ئ ن | ا س ڪ ا ئ ي ن گ | ج ي | ڀ ي ٽ | ۾ |	320640	MALE
1159	9973217738847544876.wav	سلسليوار تبديليون، جيڪو صرف ٻاهرين سلسليوار اشارن جا جواب ناهن، ڪيترن ئي جاندارن جي لاءِ دستاويزڪيون ويون آهن،جنهن ۾ بيڪٽيريا، فنجي، ٻوٽا، ۽ جانور شامل آهن.	سلسليوار تبديليون، جيڪو صرف ٻاهرين سلسليوار اشارن جا جواب ناهن، ڪيترن ئي جاندارن جي لاءِ دستاويزڪيون ويون آهن،جنهن ۾ بيڪٽيريا، فنجي، ٻوٽا، ۽ جانور شامل آهن	س ل س ل ي و ا ر | ت ب د ي ل ي و ن ، | ج ي ڪ و | ص ر ف | ٻ ا ه ر ي ن | س ل س ل ي و ا ر | ا ش ا ر ن | ج ا | ج و ا ب | ن ا ه ن ، | ڪ ي ت ر ن | ئ ي | ج ا ن د ا ر ن | ج ي | ل ا ء ِ | د س ت ا و ي ز ڪ ي و ن | و ي و ن | آ ه ن ، ج ن ه ن | ۾ | ب ي ڪ ٽ ي ر ي ا ، | ف ن ج ي ، | ٻ و ٽ ا ، | ۽ | ج ا ن و ر | ش ا م ل | آ ه ن |	251520	MALE
1173	15348676961513408670.wav	ٻاهرين ملڪ ۾ جنسي حوالگي سرجري جي منصوبا بندي ڪرڻ وارن بحري مسافر کي اهو يقيني بڻائڻ گهرجي تہ انهن وٽ واپسي جي سفر لاءِ درست دستاويز آهن.	ٻاهرين ملڪ ۾ جنسي حوالگي سرجري جي منصوبا بندي ڪرڻ وارن بحري مسافر کي اهو يقيني بڻائڻ گهرجي تہ انهن وٽ واپسي جي سفر لاءِ درست دستاويز آهن	ٻ ا ه ر ي ن | م ل ڪ | ۾ | ج ن س ي | ح و ا ل گ ي | س ر ج ر ي | ج ي | م ن ص و ب ا | ب ن د ي | ڪ ر ڻ | و ا ر ن | ب ح ر ي | م س ا ف ر | ک ي | ا ه و | ي ق ي ن ي | ب ڻ ا ئ ڻ | گ ه ر ج ي | ت ہ | ا ن ه ن | و ٽ | و ا پ س ي | ج ي | س ف ر | ل ا ء ِ | د ر س ت | د س ت ا و ي ز | آ ه ن |	222720	FEMALE
214	2880793217313045944.wav	ان وقت تي، تقريبن 100 رهاڪن کي علائقي مان نيڪالي ڏني وئي هئي.	ان وقت تي تقريبن 100 رهاڪن کي علائقي مان نيڪالي ڏني وئي هئي	ا ن | و ق ت | ت ي | ت ق ر ي ب ن | 1 0 0 | ر ه ا ڪ ن | ک ي | ع ل ا ئ ق ي | م ا ن | ن ي ڪ ا ل ي | ڏ ن ي | و ئ ي | ه ئ ي |	92160	FEMALE
59	6443470378330933348.wav	پوليس چيو لو پڪولو مٿيئن عهدي تي هو ڇاڪاڻ تہ هي پلرمو ۾ پرووينزانو جو خاص ماڻهو هو ۽ هن جي گهڻي تجربي هن کي پراڻن مالڪن کان عزت ڏيرائي جيئن تہ انهن پنهنجي طاقت جو نيٽورڪ مضبوط ڪرڻ دوران پرووينزانو جي پاليسي جيترو ٿي سگهي پنهنجي پاڻ کي هيٺ رکو تي عمل ڪيو.	پوليس چيو لو پڪولو مٿيئن عهدي تي هو ڇاڪاڻ تہ هي پلرمو ۾ پرووينزانو جو خاص ماڻهو هو ۽ هن جي گهڻي تجربي هن کي پراڻن مالڪن کان عزت ڏيرائي جيئن تہ انهن پنهنجي طاقت جو نيٽورڪ مضبوط ڪرڻ دوران پرووينزانو جي پاليسي جيترو ٿي سگهي پنهنجي پاڻ کي هيٺ رکو تي عمل ڪيو	پ و ل ي س | چ ي و | ل و | پ ڪ و ل و | م ٿ ي ئ ن | ع ه د ي | ت ي | ه و | ڇ ا ڪ ا ڻ | ت ہ | ه ي | پ ل ر م و | ۾ | پ ر و و ي ن ز ا ن و | ج و | خ ا ص | م ا ڻ ه و | ه و | ۽ | ه ن | ج ي | گ ه ڻ ي | ت ج ر ب ي | ه ن | ک ي | پ ر ا ڻ ن | م ا ل ڪ ن | ک ا ن | ع ز ت | ڏ ي ر ا ئ ي | ج ي ئ ن | ت ہ | ا ن ه ن | پ ن ه ن ج ي | ط ا ق ت | ج و | ن ي ٽ و ر ڪ | م ض ب و ط | ڪ ر ڻ | د و ر ا ن | پ ر و و ي ن ز ا ن و | ج ي | پ ا ل ي س ي | ج ي ت ر و | ٿ ي | س گ ه ي | پ ن ه ن ج ي | پ ا ڻ | ک ي | ه ي ٺ | ر ک و | ت ي | ع م ل | ڪ ي و |	401280	MALE
998	8950637505298776300.wav	ماچو پچو ٽن اهم ڍانچن تي مشتمل آهي، جنهن ۾ انتي هويتنا، سج جو مندر ۽ ٽن درين وارو ڪمرو شامل آهي.	ماچو پچو ٽن اهم ڍانچن تي مشتمل آهي جنهن ۾ انتي هويتنا سج جو مندر ۽ ٽن درين وارو ڪمرو شامل آهي	م ا چ و | پ چ و | ٽ ن | ا ه م | ڍ ا ن چ ن | ت ي | م ش ت م ل | آ ه ي | ج ن ه ن | ۾ | ا ن ت ي | ه و ي ت ن ا | س ج | ج و | م ن د ر | ۽ | ٽ ن | د ر ي ن | و ا ر و | ڪ م ر و | ش ا م ل | آ ه ي |	168960	FEMALE
1440	12229391218829344229.wav	جنسي تبديلي نئي جينياتي تبديلين کي شامل ڪري ٿي، ۽ چونڊ هن کي ظاهر ٿيل تبديلي جي پول کان هٽائي ٿي.	جنسي تبديلي نئي جينياتي تبديلين کي شامل ڪري ٿي ۽ چونڊ هن کي ظاهر ٿيل تبديلي جي پول کان هٽائي ٿي	ج ن س ي | ت ب د ي ل ي | ن ئ ي | ج ي ن ي ا ت ي | ت ب د ي ل ي ن | ک ي | ش ا م ل | ڪ ر ي | ٿ ي | ۽ | چ و ن ڊ | ه ن | ک ي | ظ ا ه ر | ٿ ي ل | ت ب د ي ل ي | ج ي | پ و ل | ک ا ن | ه ٽ ا ئ ي | ٿ ي |	209280	MALE
991	5894928067300142416.wav	برف جي غفائن جون ڀتيون ۽ ڇتون ڪري سگهن ٿيون ۽ درار بند ٿي سگهي ٿي.	برف جي غفائن جون ڀتيون ۽ ڇتون ڪري سگهن ٿيون ۽ درار بند ٿي سگهي ٿي	ب ر ف | ج ي | غ ف ا ئ ن | ج و ن | ڀ ت ي و ن | ۽ | ڇ ت و ن | ڪ ر ي | س گ ه ن | ٿ ي و ن | ۽ | د ر ا ر | ب ن د | ٿ ي | س گ ه ي | ٿ ي |	170880	MALE
1345	5318475466237284819.wav	جيتوڻڪ هر ملڪ اسڪينڊينيوين هو، پر ڊينمارڪ، سوئيڊن، ناروي ۽ آئيس لينڊ جا ماڻهو، بادشاه، رواج ۽ تاريخ ۾ ڪيترائي فرق ھئا.	جيتوڻڪ هر ملڪ اسڪينڊينيوين هو پر ڊينمارڪ سوئيڊن ناروي ۽ آئيس لينڊ جا ماڻهو بادشاه رواج ۽ تاريخ ۾ ڪيترائي فرق ھئا	ج ي ت و ڻ ڪ | ه ر | م ل ڪ | ا س ڪ ي ن ڊ ي ن ي و ي ن | ه و | پ ر | ڊ ي ن م ا ر ڪ | س و ئ ي ڊ ن | ن ا ر و ي | ۽ | آ ئ ي س | ل ي ن ڊ | ج ا | م ا ڻ ه و | ب ا د ش ا ه | ر و ا ج | ۽ | ت ا ر ي خ | ۾ | ڪ ي ت ر ا ئ ي | ف ر ق | ھ ئ ا |	220800	MALE
825	3038605461500640108.wav	هڪ نظر هڻو تہ ايجنٽ ويب سائيٽ يا دڪان تي ڪهڙي تفريحي سفر کي فروغ ڏيئي رهيو آهي.	هڪ نظر هڻو تہ ايجنٽ ويب سائيٽ يا دڪان تي ڪهڙي تفريحي سفر کي فروغ ڏيئي رهيو آهي	ه ڪ | ن ظ ر | ه ڻ و | ت ہ | ا ي ج ن ٽ | و ي ب | س ا ئ ي ٽ | ي ا | د ڪ ا ن | ت ي | ڪ ه ڙ ي | ت ف ر ي ح ي | س ف ر | ک ي | ف ر و غ | ڏ ي ئ ي | ر ه ي و | آ ه ي |	147840	FEMALE
686	12973519240671189033.wav	اڪثر ٻين شاهي مقبرن جي ڀيٽ ۾ تمام ننڍڙو ۽ گهٽ سجاوٽ وارو هجڻ ڪري ٽوٽان خامون جو مقبرو مشڪل سان ئي گهمڻ لائق آهي.	اڪثر ٻين شاهي مقبرن جي ڀيٽ ۾ تمام ننڍڙو ۽ گهٽ سجاوٽ وارو هجڻ ڪري ٽوٽان خامون جو مقبرو مشڪل سان ئي گهمڻ لائق آهي	ا ڪ ث ر | ٻ ي ن | ش ا ه ي | م ق ب ر ن | ج ي | ڀ ي ٽ | ۾ | ت م ا م | ن ن ڍ ڙ و | ۽ | گ ه ٽ | س ج ا و ٽ | و ا ر و | ه ج ڻ | ڪ ر ي | ٽ و ٽ ا ن | خ ا م و ن | ج و | م ق ب ر و | م ش ڪ ل | س ا ن | ئ ي | گ ه م ڻ | ل ا ئ ق | آ ه ي |	182400	MALE
388	1117494086621145475.wav	هن اصل ۾ هانگيول الفابيٽ جو نالو هُنمن جيونگيم رکيو هو، جنهن جو مطلب آهي "ماڻهن جي هدايت لاءِ صحيح آوازون."	هن اصل ۾ هانگيول الفابيٽ جو نالو هُنمن جيونگيم رکيو هو جنهن جو مطلب آهي ماڻهن جي هدايت لاءِ صحيح آوازون	ه ن | ا ص ل | ۾ | ه ا ن گ ي و ل | ا ل ف ا ب ي ٽ | ج و | ن ا ل و | ه ُ ن م ن | ج ي و ن گ ي م | ر ک ي و | ه و | ج ن ه ن | ج و | م ط ل ب | آ ه ي | م ا ڻ ه ن | ج ي | ه د ا ي ت | ل ا ء ِ | ص ح ي ح | آ و ا ز و ن |	156480	MALE
309	1704152083093403884.wav	انهي سان گڏو گڏ هڪ اڳوڻي اولمپڪ ۽ عالمي چيمپيئن، سيٽو پنهنجي موت جي وقت آل جاپان جوڈو فيڊريشن ٽريننگ ڪميٽي جو چيئرمين هو.	انهي سان گڏو گڏ هڪ اڳوڻي اولمپڪ ۽ عالمي چيمپيئن، سيٽو پنهنجي موت جي وقت آل جاپان جوڈو فيڊريشن ٽريننگ ڪميٽي جو چيئرمين هو	ا ن ه ي | س ا ن | گ ڏ و | گ ڏ | ه ڪ | ا ڳ و ڻ ي | ا و ل م پ ڪ | ۽ | ع ا ل م ي | چ ي م پ ي ئ ن ، | س ي ٽ و | پ ن ه ن ج ي | م و ت | ج ي | و ق ت | آ ل | ج ا پ ا ن | ج و ڈ و | ف ي ڊ ر ي ش ن | ٽ ر ي ن ن گ | ڪ م ي ٽ ي | ج و | چ ي ئ ر م ي ن | ه و |	204480	MALE
1304	10400808325253767982.wav	هڪ هزار سالن کان مٿي کان وٺي عيسائي مذهب ٻولي ۽ رسمن ۾ فرق جي باوجود يُورپي رياستن کي ڳنڍي ڇڏيو. I	هڪ هزار سالن کان مٿي کان وٺي عيسائي مذهب ٻولي ۽ رسمن ۾ فرق جي باوجود يُورپي رياستن کي ڳنڍي ڇڏيو i	ه ڪ | ه ز ا ر | س ا ل ن | ک ا ن | م ٿ ي | ک ا ن | و ٺ ي | ع ي س ا ئ ي | م ذ ه ب | ٻ و ل ي | ۽ | ر س م ن | ۾ | ف ر ق | ج ي | ب ا و ج و د | ي ُ و ر پ ي | ر ي ا س ت ن | ک ي | ڳ ن ڍ ي | ڇ ڏ ي و | i |	176640	MALE
