701	6523110200644756091.wav	دا غوښتنی د دواړه هیوادونو تر منځ د هجرت د منظم بهیر منځ ته راوړلو په خاطر طرحه شوي	دا غوښتنی د دواړه هیوادونو تر منځ د هجرت د منظم بهیر منځ ته راوړلو په خاطر طرحه شوي	د ا | غ و ښ ت ن ی | د | د و ا ړ ه | ه ی و ا د و ن و | ت ر | م ن ځ | د | ه ج ر ت | د | م ن ظ م | ب ه ی ر | م ن ځ | ت ه | ر ا و ړ ل و | پ ه | خ ا ط ر | ط ر ح ه | ش و ي |	178560	MALE
1380	16949204396953481915.wav	کله کله ځانګړي هرم ټاور شکله چې زیګورات یې بولي د معبدونو د یوې برخې لپاره جوړول.	کله کله ځانګړي هرم ټاور شکله چې زیګورات یې بولي د معبدونو د یوې برخې لپاره جوړول	ک ل ه | ک ل ه | ځ ا ن ګ ړ ي | ه ر م | ټ ا و ر | ش ک ل ه | چ ې | ز ی ګ و ر ا ت | ی ې | ب و ل ي | د | م ع ب د و ن و | د | ی و ې | ب ر خ ې | ل پ ا ر ه | ج و ړ و ل |	168000	MALE
1243	3805811308849216943.wav	سره له دې چې د تسونامي هیڅ خطر نه و، بیا هم اوسیدونکي وارخطا شول او د خپلو تجارتونو او کورونو په پریښودو یې شروع وکړه	سره له دې چې د تسونامي هیڅ خطر نه و بیا هم اوسیدونکي وارخطا شول او د خپلو تجارتونو او کورونو په پریښودو یې شروع وکړه	س ر ه | ل ه | د ې | چ ې | د | ت س و ن ا م ي | ه ی څ | خ ط ر | ن ه | و | ب ی ا | ه م | ا و س ی د و ن ک ي | و ا ر خ ط ا | ش و ل | ا و | د | خ پ ل و | ت ج ا ر ت و ن و | ا و | ک و ر و ن و | پ ه | پ ر ی ښ و د و | ی ې | ش ر و ع | و ک ړ ه |	215040	FEMALE
507	17860693193625166533.wav	دي انټرنیټی پاڼو ته د یو انټرنیټی ادرس په ورکولو سره لاس رسی ډیر اسانه دي چې په یادولو او ټایپ کولو کې اسانی منځ ته راوړی د هغه زده کوونکولپاره چې شاید د کې پورډ keyboardپه کارولو او یا هم په حجا spellingکې ستونزی ولري	دي انټرنیټی پاڼو ته د یو انټرنیټی ادرس په ورکولو سره لاس رسی ډیر اسانه دي چې په یادولو او ټایپ کولو کې اسانی منځ ته راوړی د هغه زده کوونکولپاره چې شاید د کې پورډ keyboardپه کارولو او یا هم په حجا spellingکې ستونزی ولري	د ي | ا ن ټ ر ن ی ټ ی | پ ا ڼ و | ت ه | د | ی و | ا ن ټ ر ن ی ټ ی | ا د ر س | پ ه | و ر ک و ل و | س ر ه | ل ا س | ر س ی | ډ ی ر | ا س ا ن ه | د ي | چ ې | پ ه | ی ا د و ل و | ا و | ټ ا ی پ | ک و ل و | ک ې | ا س ا ن ی | م ن ځ | ت ه | ر ا و ړ ی | د | ه غ ه | ز د ه | ک و و ن ک و ل پ ا ر ه | چ ې | ش ا ی د | د | ک ې | پ و ر ډ | k e y b o a r d پ ه | ک ا ر و ل و | ا و | ی ا | ه م | پ ه | ح ج ا | s p e l l i n g ک ې | س ت و ن ز ی | و ل ر ي |	415680	MALE
839	3868009580115212527.wav	ارکېټیکچر د نورو مسلکونو سره مغالطه کېږی لکه د ښاری پلان جوړونی،سیول انچېنیری، تزیېنی هنر،داخلی ډیزاین،او د لینډ سکېټ ډیزاین سره .	ارکېټیکچر د نورو مسلکونو سره مغالطه کېږی لکه د ښاری پلان جوړونی،سیول انچېنیری، تزیېنی هنر،داخلی ډیزاین،او د لینډ سکېټ ډیزاین سره 	ا ر ک ې ټ ی ک چ ر | د | ن و ر و | م س ل ک و ن و | س ر ه | م غ ا ل ط ه | ک ې ږ ی | ل ک ه | د | ښ ا ر ی | پ ل ا ن | ج و ړ و ن ی ، س ی و ل | ا ن چ ې ن ی ر ی ، | ت ز ی ې ن ی | ه ن ر ، د ا خ ل ی | ډ ی ز ا ی ن ، ا و | د | ل ی ن ډ | س ک ې ټ | ډ ی ز ا ی ن | س ر ه |	282240	MALE
94	2693168781879129767.wav	دا د مخکېنی راپورونو سره په تناقض کې دي چې ويلی یې وي د رن افrunoff لغو کول به د اساسی قانون څخه خلاف وي	دا د مخکېنی راپورونو سره په تناقض کې دي چې ويلی یې وي د رن افrunoff لغو کول به د اساسی قانون څخه خلاف وي	د ا | د | م خ ک ې ن ی | ر ا پ و ر و ن و | س ر ه | پ ه | ت ن ا ق ض | ک ې | د ي | چ ې | و ي ل ی | ی ې | و ي | د | ر ن | ا ف r u n o f f | ل غ و | ک و ل | ب ه | د | ا س ا س ی | ق ا ن و ن | څ خ ه | خ ل ا ف | و ي |	151680	FEMALE
8	12460540520340804205.wav	مظاهره په محلي وخت په 11:00 بجو پیل شوه (1+UTC) په وایټ هال Whitehallباندي، مقابل وری ته پولیس د ډاوننګ سټریټ دداخلی لارې ځوکی داری کوي کوم ځای کې چې د وزیر اعظم رسمی استوګن ځای دي	مظاهره په محلي وخت په 11:00 بجو پیل شوه 1+utc په وایټ هال whitehallباندي، مقابل وری ته پولیس د ډاوننګ سټریټ دداخلی لارې ځوکی داری کوي کوم ځای کې چې د وزیر اعظم رسمی استوګن ځای دي	م ظ ا ه ر ه | پ ه | م ح ل ي | و خ ت | پ ه | 1 1 : 0 0 | ب ج و | پ ی ل | ش و ه | 1 + u t c | پ ه | و ا ی ټ | ه ا ل | w h i t e h a l l ب ا ن د ي ، | م ق ا ب ل | و ر ی | ت ه | پ و ل ی س | د | ډ ا و ن ن ګ | س ټ ر ی ټ | د د ا خ ل ی | ل ا ر ې | ځ و ک ی | د ا ر ی | ک و ي | ک و م | ځ ا ی | ک ې | چ ې | د | و ز ی ر | ا ع ظ م | ر س م ی | ا س ت و ګ ن | ځ ا ی | د ي |	312960	MALE
33	10286993254603241488.wav	کله چې د الونسو alonso څخه مخکې موټر د حفاظتی موټر لاندې د تیلو اجولولپاره لاړ . هغه د ډلې سر ته ځان ورسوه چې بریا تر لاسه کړي	کله چې د الونسو alonso څخه مخکې موټر د حفاظتی موټر لاندې د تیلو اجولولپاره لاړ هغه د ډلې سر ته ځان ورسوه چې بریا تر لاسه کړي	ک ل ه | چ ې | د | ا ل و ن س و | a l o n s o | څ خ ه | م خ ک ې | م و ټ ر | د | ح ف ا ظ ت ی | م و ټ ر | ل ا ن د ې | د | ت ی ل و | ا ج و ل و ل پ ا ر ه | ل ا ړ | ه غ ه | د | ډ ل ې | س ر | ت ه | ځ ا ن | و ر س و ه | چ ې | ب ر ی ا | ت ر | ل ا س ه | ک ړ ي |	203520	MALE
244	17075027709155773133.wav	"د ټولو هغو خلکو څخه مننه چې زما په شان مجرم یې حمایت کړي"، سیریپورنsiriporn دا خبره نقل شوه ، کله چې هغه د رسنیو په کانفرانس کې خبری کولی.	"د ټولو هغو خلکو څخه مننه چې زما په شان مجرم یې حمایت کړي"، سیریپورنsiriporn دا خبره نقل شوه ، کله چې هغه د رسنیو په کانفرانس کې خبری کولی	" د | ټ و ل و | ه غ و | خ ل ک و | څ خ ه | م ن ن ه | چ ې | ز م ا | پ ه | ش ا ن | م ج ر م | ی ې | ح م ا ی ت | ک ړ ي " ، | س ی ر ی پ و ر ن s i r i p o r n | د ا | خ ب ر ه | ن ق ل | ش و ه | ، | ک ل ه | چ ې | ه غ ه | د | ر س ن ی و | پ ه | ک ا ن ف ر ا ن س | ک ې | خ ب ر ی | ک و ل ی |	222720	MALE
626	8369879930541302971.wav	ددې ذهنیت تمرکز په سرعت باندي دي . منطق او په دقت ،او د حقایقو په پیژندنه ، د شته تکنیکونو بیا کارولو او د معلوماتو را ټولولو باندي	ددې ذهنیت تمرکز په سرعت باندي دي . منطق او په دقت ،او د حقایقو په پیژندنه ، د شته تکنیکونو بیا کارولو او د معلوماتو را ټولولو باندي	د د ې | ذ ه ن ی ت | ت م ر ک ز | پ ه | س ر ع ت | ب ا ن د ي | د ي | . | م ن ط ق | ا و | پ ه | د ق ت | ، ا و | د | ح ق ا ی ق و | پ ه | پ ی ژ ن د ن ه | ، | د | ش ت ه | ت ک ن ی ک و ن و | ب ی ا | ک ا ر و ل و | ا و | د | م ع ل و م ا ت و | ر ا | ټ و ل و ل و | ب ا ن د ي |	233280	MALE
1252	14126368898703487772.wav	د شهزاده دفتر، چې په ټوله کې د څارنوالو په ولقه کې دی ژورنالیستانو ته په ګوته شول چې تر هغې چې حداقل څه ښکاره شوي نه وي باید نور هیڅ ډول تبصره ونکړي.	د شهزاده دفتر چې په ټوله کې د څارنوالو په ولقه کې دی ژورنالیستانو ته په ګوته شول چې تر هغې چې حداقل څه ښکاره شوي نه وي باید نور هیڅ ډول تبصره ونکړي	د | ش ه ز ا د ه | د ف ت ر | چ ې | پ ه | ټ و ل ه | ک ې | د | څ ا ر ن و ا ل و | پ ه | و ل ق ه | ک ې | د ی | ژ و ر ن ا ل ی س ت ا ن و | ت ه | پ ه | ګ و ت ه | ش و ل | چ ې | ت ر | ه غ ې | چ ې | ح د ا ق ل | څ ه | ښ ک ا ر ه | ش و ي | ن ه | و ي | ب ا ی د | ن و ر | ه ی څ | ډ و ل | ت ب ص ر ه | و ن ک ړ ي |	241920	MALE
477	4899961407120798286.wav	یوناني تاریخپوه Strabo وروسته دا نوم ثبت کړو کوم چې موږ یې نن ورځ پیژنو. په هاغه شپه چې سکندر مقدوني وزیږید معبد په هماغه شپه ونړید.	یوناني تاریخپوه strabo وروسته دا نوم ثبت کړو کوم چې موږ یې نن ورځ پیژنو په هاغه شپه چې سکندر مقدوني وزیږید معبد په هماغه شپه ونړید	ی و ن ا ن ي | ت ا ر ی خ پ و ه | s t r a b o | و ر و س ت ه | د ا | ن و م | ث ب ت | ک ړ و | ک و م | چ ې | م و ږ | ی ې | ن ن | و ر ځ | پ ی ژ ن و | پ ه | ه ا غ ه | ش پ ه | چ ې | س ک ن د ر | م ق د و ن ي | و ز ی ږ ی د | م ع ب د | پ ه | ه م ا غ ه | ش پ ه | و ن ړ ی د |	182400	MALE
300	5862141316448995682.wav	د دوهمی جملی ناکامی چې د هم جنس ملکې اتحاديو باندي د بنديز وړانديز پکې و ممکن په راتلونکې کې ملکې اتحاديو ته لاره خلاصه کړي	د دوهمی جملی ناکامی چې د هم جنس ملکې اتحاديو باندي د بنديز وړانديز پکې و ممکن په راتلونکې کې ملکې اتحاديو ته لاره خلاصه کړي	د | د و ه م ی | ج م ل ی | ن ا ک ا م ی | چ ې | د | ه م | ج ن س | م ل ک ې | ا ت ح ا د ي و | ب ا ن د ي | د | ب ن د ي ز | و ړ ا ن د ي ز | پ ک ې | و | م م ک ن | پ ه | ر ا ت ل و ن ک ې | ک ې | م ل ک ې | ا ت ح ا د ي و | ت ه | ل ا ر ه | خ ل ا ص ه | ک ړ ي |	174720	MALE
454	16732843240055286411.wav	د دوه ادخیزو خبرو اترو ډیزاین لپاره پکار دي چې د پروژی ټولی برخی سره وصل وي ، مګر د ځانته موجوديت یې هم معنی ورکوي	د دوه ادخیزو خبرو اترو ډیزاین لپاره پکار دي چې د پروژی ټولی برخی سره وصل وي مګر د ځانته موجوديت یې هم معنی ورکوي	د | د و ه | ا د خ ی ز و | خ ب ر و | ا ت ر و | ډ ی ز ا ی ن | ل پ ا ر ه | پ ک ا ر | د ي | چ ې | د | پ ر و ژ ی | ټ و ل ی | ب ر خ ی | س ر ه | و ص ل | و ي | م ګ ر | د | ځ ا ن ت ه | م و ج و د ي ت | ی ې | ه م | م ع ن ی | و ر ک و ي |	249600	FEMALE
789	16912670882429872375.wav	ډیر هیوادونه په بشپړ ډول په انګلیسي کې روان دي، او حتی په ډیرو کې تاسي د محدود پوهه تمه کولی شئ - د ځوانانو ترمنيځ په ځانګړي توګه باندي.	ډیر هیوادونه په بشپړ ډول په انګلیسي کې روان دي او حتی په ډیرو کې تاسي د محدود پوهه تمه کولی شئ د ځوانانو ترمنيځ په ځانګړي توګه باندي	ډ ی ر | ه ی و ا د و ن ه | پ ه | ب ش پ ړ | ډ و ل | پ ه | ا ن ګ ل ی س ي | ک ې | ر و ا ن | د ي | ا و | ح ت ی | پ ه | ډ ی ر و | ک ې | ت ا س ي | د | م ح د و د | پ و ه ه | ت م ه | ک و ل ی | ش ئ | د | ځ و ا ن ا ن و | ت ر م ن ي ځ | پ ه | ځ ا ن ګ ړ ي | ت و ګ ه | ب ا ن د ي |	183360	MALE
252	834476363738477515.wav	د مړینو اندازه کم نه کم 15 ده . یوه داسې شمیره چې ګمان کېږی چې لوړه شي	د مړینو اندازه کم نه کم 15 ده یوه داسې شمیره چې ګمان کېږی چې لوړه شي	د | م ړ ی ن و | ا ن د ا ز ه | ک م | ن ه | ک م | 1 5 | د ه | ی و ه | د ا س ې | ش م ی ر ه | چ ې | ګ م ا ن | ک ې ږ ی | چ ې | ل و ړ ه | ش ي |	144000	MALE
557	17359245462167462646.wav	اټوم د ټولې مادې د اساسي ودانۍ د بلاکو په نوم پيژندل کيږي۔	اټوم د ټولې مادې د اساسي ودانۍ د بلاکو په نوم پيژندل کيږي	ا ټ و م | د | ټ و ل ې | م ا د ې | د | ا س ا س ي | و د ا ن ۍ | د | ب ل ا ک و | پ ه | ن و م | پ ي ژ ن د ل | ک ي ږ ي |	74880	FEMALE
1133	15573748019369650783.wav	د Medecines Sans Frontiere ویاند Richard Veerman وایی" انګولا په خپل تاریخ کې د مرض د خپریدنې بدترین حالت طرف ته روان دی او په انګولا کې وضعیت ډیر خراب دی" هغه وویل.	د medecines sans frontiere ویاند richard veerman وایی انګولا په خپل تاریخ کې د مرض د خپریدنې بدترین حالت طرف ته روان دی او په انګولا کې وضعیت ډیر خراب دی هغه وویل	د | m e d e c i n e s | s a n s | f r o n t i e r e | و ی ا ن د | r i c h a r d | v e e r m a n | و ا ی ی | ا ن ګ و ل ا | پ ه | خ پ ل | ت ا ر ی خ | ک ې | د | م ر ض | د | خ پ ر ی د ن ې | ب د ت ر ی ن | ح ا ل ت | ط ر ف | ت ه | ر و ا ن | د ی | ا و | پ ه | ا ن ګ و ل ا | ک ې | و ض ع ی ت | ډ ی ر | خ ر ا ب | د ی | ه غ ه | و و ی ل |	261120	MALE
1403	7339355780777839550.wav	دا سوار ته زیات ټینګښت ورکوي خو له دې امکان چې د سوار پښې پکې ښخېدلای شي د خوندیتیا اندېښنې لرلای شي.	دا سوار ته زیات ټینګښت ورکوي خو له دې امکان چې د سوار پښې پکې ښخېدلای شي د خوندیتیا اندېښنې لرلای شي	د ا | س و ا ر | ت ه | ز ی ا ت | ټ ی ن ګ ښ ت | و ر ک و ي | خ و | ل ه | د ې | ا م ک ا ن | چ ې | د | س و ا ر | پ ښ ې | پ ک ې | ښ خ ې د ل ا ی | ش ي | د | خ و ن د ی ت ی ا | ا ن د ې ښ ن ې | ل ر ل ا ی | ش ي |	163200	FEMALE
1286	8209019584036314180.wav	یو کمان معمولا یو نرم غږ تولیدوي، پداسې حال کې چې ښکته قوي او ډیر ټینګار لري۔	یو کمان معمولا یو نرم غږ تولیدوي پداسې حال کې چې ښکته قوي او ډیر ټینګار لري	ی و | ک م ا ن | م ع م و ل ا | ی و | ن ر م | غ ږ | ت و ل ی د و ي | پ د ا س ې | ح ا ل | ک ې | چ ې | ښ ک ت ه | ق و ي | ا و | ډ ی ر | ټ ی ن ګ ا ر | ل ر ي |	106560	FEMALE
765	3524256322885472157.wav	لیلیې په عام ډول د ځوانانو د اړتیاو د پوره کولو لپاره وي ،د هغوي یو عام میلمه شل کلن وي- مګر تاسی کولای شي ډیری وخت مشران مسافرین هم هلته پیدا کړي	لیلیې په عام ډول د ځوانانو د اړتیاو د پوره کولو لپاره وي ،د هغوي یو عام میلمه شل کلن وي- مګر تاسی کولای شي ډیری وخت مشران مسافرین هم هلته پیدا کړي	ل ی ل ی ې | پ ه | ع ا م | ډ و ل | د | ځ و ا ن ا ن و | د | ا ړ ت ی ا و | د | پ و ر ه | ک و ل و | ل پ ا ر ه | و ي | ، د | ه غ و ي | ی و | ع ا م | م ی ل م ه | ش ل | ک ل ن | و ي - | م ګ ر | ت ا س ی | ک و ل ا ی | ش ي | ډ ی ر ی | و خ ت | م ش ر ا ن | م س ا ف ر ی ن | ه م | ه ل ت ه | پ ی د ا | ک ړ ي |	209280	MALE
184	1212373596409911025.wav	د صحت وزیر د هغو خلکود ښیرازۍ لپاره کوم چې د لنډمهال لپاره د ځینو توکو قانونيت څخه ګټه اخلي او همدارنګه د مخدره توکو اړوند سزاګانو په حوالې دواړو په اړه اندیښنه څرګنده کړه چې د قانون خلاف ځینې تغییرات پکې راغلي دي.	د صحت وزیر د هغو خلکود ښیرازۍ لپاره کوم چې د لنډمهال لپاره د ځینو توکو قانونيت څخه ګټه اخلي او همدارنګه د مخدره توکو اړوند سزاګانو په حوالې دواړو په اړه اندیښنه څرګنده کړه چې د قانون خلاف ځینې تغییرات پکې راغلي دي	د | ص ح ت | و ز ی ر | د | ه غ و | خ ل ک و د | ښ ی ر ا ز ۍ | ل پ ا ر ه | ک و م | چ ې | د | ل ن ډ م ه ا ل | ل پ ا ر ه | د | ځ ی ن و | ت و ک و | ق ا ن و ن ي ت | څ خ ه | ګ ټ ه | ا خ ل ي | ا و | ه م د ا ر ن ګ ه | د | م خ د ر ه | ت و ک و | ا ړ و ن د | س ز ا ګ ا ن و | پ ه | ح و ا ل ې | د و ا ړ و | پ ه | ا ړ ه | ا ن د ی ښ ن ه | څ ر ګ ن د ه | ک ړ ه | چ ې | د | ق ا ن و ن | خ ل ا ف | ځ ی ن ې | ت غ ی ی ر ا ت | پ ک ې | ر ا غ ل ي | د ي |	276480	MALE
609	5926303124788897540.wav	وخت همدارنګه د پیښو د جریان (اوږدوالی) مقایسه ده چې څرنګه یې موږ ترسره کوو.	وخت همدارنګه د پیښو د جریان اوږدوالی مقایسه ده چې څرنګه یې موږ ترسره کوو	و خ ت | ه م د ا ر ن ګ ه | د | پ ی ښ و | د | ج ر ی ا ن | ا و ږ د و ا ل ی | م ق ا ی س ه | د ه | چ ې | څ ر ن ګ ه | ی ې | م و ږ | ت ر س ر ه | ک و و |	132480	MALE
156	225258941327614503.wav	د تیر جولای میاشت د اسمانی ډبرو د ورښتmeteorite shower څخه پنځلس ډبری منسوب شوي دي	د تیر جولای میاشت د اسمانی ډبرو د ورښتmeteorite shower څخه پنځلس ډبری منسوب شوي دي	د | ت ی ر | ج و ل ا ی | م ی ا ش ت | د | ا س م ا ن ی | ډ ب ر و | د | و ر ښ ت m e t e o r i t e | s h o w e r | څ خ ه | پ ن ځ ل س | ډ ب ر ی | م ن س و ب | ش و ي | د ي |	212160	FEMALE
1437	16622493597960302673.wav	دا ډول چلند اکثره وخت د مشرانو او د پاتې ډلې ترمنځ درزونه رابیايي.	دا ډول چلند اکثره وخت د مشرانو او د پاتې ډلې ترمنځ درزونه رابیايي	د ا | ډ و ل | چ ل ن د | ا ک ث ر ه | و خ ت | د | م ش ر ا ن و | ا و | د | پ ا ت ې | ډ ل ې | ت ر م ن ځ | د ر ز و ن ه | ر ا ب ی ا ي ي |	141120	MALE
1248	3051731600398344253.wav	دا په احتمالي توګه لوست هم اسانتروي، خو لیکل یو څه دا موندلو د اړتیا له امله ګرانیږي چې آیا یو فعل یا صفت د یو اسم په شکل کې استعمال شوی.	دا په احتمالي توګه لوست هم اسانتروي خو لیکل یو څه دا موندلو د اړتیا له امله ګرانیږي چې آیا یو فعل یا صفت د یو اسم په شکل کې استعمال شوی	د ا | پ ه | ا ح ت م ا ل ي | ت و ګ ه | ل و س ت | ه م | ا س ا ن ت ر و ي | خ و | ل ی ک ل | ی و | څ ه | د ا | م و ن د ل و | د | ا ړ ت ی ا | ل ه | ا م ل ه | ګ ر ا ن ی ږ ي | چ ې | آ ی ا | ی و | ف ع ل | ی ا | ص ف ت | د | ی و | ا س م | پ ه | ش ک ل | ک ې | ا س ت ع م ا ل | ش و ی |	259200	FEMALE
672	17869382644663517678.wav	په دي توګه د شاته پاتی ځای اجازت نامه د مۍ د میاشتی د هر یوې د پیل نیټی لپاره د جنوری د اولی نیټی څخه شتون لري	په دي توګه د شاته پاتی ځای اجازت نامه د مۍ د میاشتی د هر یوې د پیل نیټی لپاره د جنوری د اولی نیټی څخه شتون لري	پ ه | د ي | ت و ګ ه | د | ش ا ت ه | پ ا ت ی | ځ ا ی | ا ج ا ز ت | ن ا م ه | د | م ۍ | د | م ی ا ش ت ی | د | ه ر | ی و ې | د | پ ی ل | ن ی ټ ی | ل پ ا ر ه | د | ج ن و ر ی | د | ا و ل ی | ن ی ټ ی | څ خ ه | ش ت و ن | ل ر ي |	165120	MALE
202	9758123450074840707.wav	ددې پاتی شونی په ټولو جزایرو کې د بارانونو سبب شوي دي ، بیا هم تر اوسه د زیان او سیلابونو په اړه کوم راپور نه دي ور کړل شوي	ددې پاتی شونی په ټولو جزایرو کې د بارانونو سبب شوي دي بیا هم تر اوسه د زیان او سیلابونو په اړه کوم راپور نه دي ور کړل شوي	د د ې | پ ا ت ی | ش و ن ی | پ ه | ټ و ل و | ج ز ا ی ر و | ک ې | د | ب ا ر ا ن و ن و | س ب ب | ش و ي | د ي | ب ی ا | ه م | ت ر | ا و س ه | د | ز ی ا ن | ا و | س ی ل ا ب و ن و | پ ه | ا ړ ه | ک و م | ر ا پ و ر | ن ه | د ي | و ر | ک ړ ل | ش و ي |	164160	MALE
677	14487935530806423512.wav	کله چې تصمیم نیسې په ذهن کې ولره چې سره لدې چې سویلي افریقا باثباته ده نور ټول ګاونډي هیوادونه نه دي.	کله چې تصمیم نیسې په ذهن کې ولره چې سره لدې چې سویلي افریقا باثباته ده نور ټول ګاونډي هیوادونه نه دي	ک ل ه | چ ې | ت ص م ی م | ن ی س ې | پ ه | ذ ه ن | ک ې | و ل ر ه | چ ې | س ر ه | ل د ې | چ ې | س و ی ل ي | ا ف ر ی ق ا | ب ا ث ب ا ت ه | د ه | ن و ر | ټ و ل | ګ ا و ن ډ ي | ه ی و ا د و ن ه | ن ه | د ي |	186240	FEMALE
73	1443848929492213605.wav	ددې په نتیجه کې د یونان په قانونی ټولنه کې یو لوي قانونی سرغړونه رابرسیره شوه چې دغه چې قاضیانو ، وکېلانو، کمیشن کارانو ، څارنوالانو د غیر قانونی کړنو نه یې پرده پورته کړه چې يه تیرو کلونو کې دوي کړي دي	ددې په نتیجه کې د یونان په قانونی ټولنه کې یو لوي قانونی سرغړونه رابرسیره شوه چې دغه چې قاضیانو وکېلانو کمیشن کارانو څارنوالانو د غیر قانونی کړنو نه یې پرده پورته کړه چې يه تیرو کلونو کې دوي کړي دي	د د ې | پ ه | ن ت ی ج ه | ک ې | د | ی و ن ا ن | پ ه | ق ا ن و ن ی | ټ و ل ن ه | ک ې | ی و | ل و ي | ق ا ن و ن ی | س ر غ ړ و ن ه | ر ا ب ر س ی ر ه | ش و ه | چ ې | د غ ه | چ ې | ق ا ض ی ا ن و | و ک ې ل ا ن و | ک م ی ش ن | ک ا ر ا ن و | څ ا ر ن و ا ل ا ن و | د | غ ی ر | ق ا ن و ن ی | ک ړ ن و | ن ه | ی ې | پ ر د ه | پ و ر ت ه | ک ړ ه | چ ې | ي ه | ت ی ر و | ک ل و ن و | ک ې | د و ي | ک ړ ي | د ي |	310080	MALE
1058	16120418084680999851.wav	د پارک چارواکو په وینا، لږترلږه ۱۰۰ ګزه/میټره د یږ، او لیوه څخه او 25 ګزه/متره د نورو وحشي ځناورو څخه لرې اوسئ!	د پارک چارواکو په وینا، لږترلږه ۱۰۰ ګزه/میټره د یږ، او لیوه څخه او 25 ګزه/متره د نورو وحشي ځناورو څخه لرې اوسئ!	د | پ ا ر ک | چ ا ر و ا ک و | پ ه | و ی ن ا ، | ل ږ ت ر ل ږ ه | ۱ ۰ ۰ | ګ ز ه / م ی ټ ر ه | د | ی ږ ، | ا و | ل ی و ه | څ خ ه | ا و | 2 5 | ګ ز ه / م ت ر ه | د | ن و ر و | و ح ش ي | ځ ن ا و ر و | څ خ ه | ل ر ې | ا و س ئ ! |	192960	MALE
413	14138608176600590724.wav	کېولري cavalry هغه پوځ دي چې د اس په شا باندي جنګیږی . تر دي دمه زینsaddle نه وه اختراع شوي . نو اسیرین کېولري assyrian cavalry د خپلو اسونو په لوسو شاګانو باندي جنګیدل	کېولري cavalry هغه پوځ دي چې د اس په شا باندي جنګیږی . تر دي دمه زینsaddle نه وه اختراع شوي . نو اسیرین کېولري assyrian cavalry د خپلو اسونو په لوسو شاګانو باندي جنګیدل	ک ې و ل ر ي | c a v a l r y | ه غ ه | پ و ځ | د ي | چ ې | د | ا س | پ ه | ش ا | ب ا ن د ي | ج ن ګ ی ږ ی | . | ت ر | د ي | د م ه | ز ی ن s a d d l e | ن ه | و ه | ا خ ت ر ا ع | ش و ي | . | ن و | ا س ی ر ی ن | ک ې و ل ر ي | a s s y r i a n | c a v a l r y | د | خ پ ل و | ا س و ن و | پ ه | ل و س و | ش ا ګ ا ن و | ب ا ن د ي | ج ن ګ ی د ل |	247680	MALE
819	4616140393732875656.wav	دلته ډیر شیان دي چې تاسي یې باید مخکې په پام کې ونیسئ او کله چې تاسي چیرې سفر کوئ.	دلته ډیر شیان دي چې تاسي یې باید مخکې په پام کې ونیسئ او کله چې تاسي چیرې سفر کوئ	د ل ت ه | ډ ی ر | ش ی ا ن | د ي | چ ې | ت ا س ي | ی ې | ب ا ی د | م خ ک ې | پ ه | پ ا م | ک ې | و ن ی س ئ | ا و | ک ل ه | چ ې | ت ا س ي | چ ی ر ې | س ف ر | ک و ئ |	101760	FEMALE
480	703052300780390666.wav	ددې لارې، به ته ځان د ستړیا څخه تر ډیره بریده وساتي ، په یاد ولره چې د کېلی ګانو په ډیر زور سره وهلو ته هیڅ اړتیا نه شته . د ډیر اواز لپاره لکه د پیانو په څیر	ددې لارې به ته ځان د ستړیا څخه تر ډیره بریده وساتي په یاد ولره چې د کېلی ګانو په ډیر زور سره وهلو ته هیڅ اړتیا نه شته د ډیر اواز لپاره لکه د پیانو په څیر	د د ې | ل ا ر ې | ب ه | ت ه | ځ ا ن | د | س ت ړ ی ا | څ خ ه | ت ر | ډ ی ر ه | ب ر ی د ه | و س ا ت ي | پ ه | ی ا د | و ل ر ه | چ ې | د | ک ې ل ی | ګ ا ن و | پ ه | ډ ی ر | ز و ر | س ر ه | و ه ل و | ت ه | ه ی څ | ا ړ ت ی ا | ن ه | ش ت ه | د | ډ ی ر | ا و ا ز | ل پ ا ر ه | ل ک ه | د | پ ی ا ن و | پ ه | څ ی ر |	263040	MALE
1084	2066816939024161611.wav	دا یواځې دا تائیدوي چې حد اقل ځینو داینوسورانو بڼکې لرلې، یوه نظریه چې له وړاندې ډیره خپره ده بلکې داسې جزئیات ورکوي چې فوسیلونه یې په عمومي ډول نه ورکوي لکه رنګ او درې بعدي ترتیب.	دا یواځې دا تائیدوي چې حد اقل ځینو داینوسورانو بڼکې لرلې یوه نظریه چې له وړاندې ډیره خپره ده بلکې داسې جزئیات ورکوي چې فوسیلونه یې په عمومي ډول نه ورکوي لکه رنګ او درې بعدي ترتیب	د ا | ی و ا ځ ې | د ا | ت ا ئ ی د و ي | چ ې | ح د | ا ق ل | ځ ی ن و | د ا ی ن و س و ر ا ن و | ب ڼ ک ې | ل ر ل ې | ی و ه | ن ظ ر ی ه | چ ې | ل ه | و ړ ا ن د ې | ډ ی ر ه | خ پ ر ه | د ه | ب ل ک ې | د ا س ې | ج ز ئ ی ا ت | و ر ک و ي | چ ې | ف و س ی ل و ن ه | ی ې | پ ه | ع م و م ي | ډ و ل | ن ه | و ر ک و ي | ل ک ه | ر ن ګ | ا و | د ر ې | ب ع د ي | ت ر ت ی ب |	318720	FEMALE
