362	3727732812750922633.wav	Фотоните са по-малки дори от материята, която изгражда атомите!	фотоните са по-малки дори от материята която изгражда атомите!	ф о т о н и т е | с а | п о - м а л к и | д о р и | о т | м а т е р и я т а | к о я т о | и з г р а ж д а | а т о м и т е ! |	114240	MALE
135	5634414160703232282.wav	Червеният прилив се дължи на концентрация на Karenia brevis, естествено срещащ се едноклетъчен морски организъм, по - висока от нормалната.	червеният прилив се дължи на концентрация на karenia brevis естествено срещащ се едноклетъчен морски организъм по - висока от нормалната	ч е р в е н и я т | п р и л и в | с е | д ъ л ж и | н а | к о н ц е н т р а ц и я | н а | k a r e n i a | b r e v i s | е с т е с т в е н о | с р е щ а щ | с е | е д н о к л е т ъ ч е н | м о р с к и | о р г а н и з ъ м | п о | - | в и с о к а | о т | н о р м а л н а т а |	144000	MALE
398	17617407635463226287.wav	Имаше по - слаба армия и по - слаб флот, въпреки че бяха построили четири нови кораба точно преди началото на войната.	имаше по - слаба армия и по - слаб флот въпреки че бяха построили четири нови кораба точно преди началото на войната	и м а ш е | п о | - | с л а б а | а р м и я | и | п о | - | с л а б | ф л о т | в ъ п р е к и | ч е | б я х а | п о с т р о и л и | ч е т и р и | н о в и | к о р а б а | т о ч н о | п р е д и | н а ч а л о т о | н а | в о й н а т а |	119040	MALE
559	17815790822403124544.wav	Ядрото се състои от два вида частици – протони и неутрони.	ядрото се състои от два вида частици – протони и неутрони	я д р о т о | с е | с ъ с т о и | о т | д в а | в и д а | ч а с т и ц и | – | п р о т о н и | и | н е у т р о н и |	109440	MALE
469	13759805264729214933.wav	Големите стъклени прозорци и тънките стени нямаше да могат да издържат дълго на решителна атака.	големите стъклени прозорци и тънките стени нямаше да могат да издържат дълго на решителна атака	г о л е м и т е | с т ъ к л е н и | п р о з о р ц и | и | т ъ н к и т е | с т е н и | н я м а ш е | д а | м о г а т | д а | и з д ъ р ж а т | д ъ л г о | н а | р е ш и т е л н а | а т а к а |	94080	MALE
114	10103263853898174180.wav	Бившето консервативно правителство на Австралия отказа да ратифицира Киото, като заяви, че това ще навреди на икономиката със силната й зависимост от износа на въглища, докато страни като Индия и Китай не бяха обвързани от цели, свързани с намаляването на емисиите.	бившето консервативно правителство на австралия отказа да ратифицира киото като заяви че това ще навреди на икономиката със силната й зависимост от износа на въглища докато страни като индия и китай не бяха обвързани от цели свързани с намаляването на емисиите	б и в ш е т о | к о н с е р в а т и в н о | п р а в и т е л с т в о | н а | а в с т р а л и я | о т к а з а | д а | р а т и ф и ц и р а | к и о т о | к а т о | з а я в и | ч е | т о в а | щ е | н а в р е д и | н а | и к о н о м и к а т а | с ъ с | с и л н а т а | й | з а в и с и м о с т | о т | и з н о с а | н а | в ъ г л и щ а | д о к а т о | с т р а н и | к а т о | и н д и я | и | к и т а й | н е | б я х а | о б в ъ р з а н и | о т | ц е л и | с в ъ р з а н и | с | н а м а л я в а н е т о | н а | е м и с и и т е |	331200	MALE
1131	2864436230357586402.wav	Мариана беше разтърсена от земетресение в 07:19 сутринта местно време (09:19 GMT в петък).	мариана беше разтърсена от земетресение в 07:19 сутринта местно време 09:19 gmt в петък	м а р и а н а | б е ш е | р а з т ъ р с е н а | о т | з е м е т р е с е н и е | в | 0 7 : 1 9 | с у т р и н т а | м е с т н о | в р е м е | 0 9 : 1 9 | g m t | в | п е т ъ к |	192000	FEMALE
511	8867255950533953793.wav	На децата със синдром на дефицит на вниманието (ADD) им е трудно да се фокусират върху училищната работа, но могат да се концентрират върху неща, които обичат да правят, да играят игри или да пишат изречения без пунктуация, или да гледат любимите си анимации.	на децата със синдром на дефицит на вниманието add им е трудно да се фокусират върху училищната работа но могат да се концентрират върху неща които обичат да правят да играят игри или да пишат изречения без пунктуация или да гледат любимите си анимации	н а | д е ц а т а | с ъ с | с и н д р о м | н а | д е ф и ц и т | н а | в н и м а н и е т о | a d d | и м | е | т р у д н о | д а | с е | ф о к у с и р а т | в ъ р х у | у ч и л и щ н а т а | р а б о т а | н о | м о г а т | д а | с е | к о н ц е н т р и р а т | в ъ р х у | н е щ а | к о и т о | о б и ч а т | д а | п р а в я т | д а | и г р а я т | и г р и | и л и | д а | п и ш а т | и з р е ч е н и я | б е з | п у н к т у а ц и я | и л и | д а | г л е д а т | л ю б и м и т е | с и | а н и м а ц и и |	284160	FEMALE
136	2337088989268117015.wav	Природните фактори могат да се пресекат и да се създадат идеални условия за драстичното увеличение на тези водорасли.	природните фактори могат да се пресекат и да се създадат идеални условия за драстичното увеличение на тези водорасли	п р и р о д н и т е | ф а к т о р и | м о г а т | д а | с е | п р е с е к а т | и | д а | с е | с ъ з д а д а т | и д е а л н и | у с л о в и я | з а | д р а с т и ч н о т о | у в е л и ч е н и е | н а | т е з и | в о д о р а с л и |	122880	MALE
18	8231977205362565228.wav	Британският вестник „Гардиън“ предположи, че „Дойче банк“ са контролирали близо една трета от 1200-те „кухи“ компании, използвани за тази цел.	британският вестник гардиън  предположи че дойче банк  са контролирали близо една трета от 1200-те кухи  компании използвани за тази цел	б р и т а н с к и я т | в е с т н и к | г а р д и ъ н | п р е д п о л о ж и | ч е | д о й ч е | б а н к | с а | к о н т р о л и р а л и | б л и з о | е д н а | т р е т а | о т | 1 2 0 0 - т е | к у х и | к о м п а н и и | и з п о л з в а н и | з а | т а з и | ц е л |	192960	MALE
181	12608926686874667744.wav	Доказателствата, предоставени впоследствие сочат, че тестовете са били фалшифицирани от Хол, който, заедно с 34 други служители в сферата на образованието, получи обвинение през 2013 година.	доказателствата предоставени впоследствие сочат че тестовете са били фалшифицирани от хол който заедно с 34 други служители в сферата на образованието получи обвинение през 2013 година	д о к а з а т е л с т в а т а | п р е д о с т а в е н и | в п о с л е д с т в и е | с о ч а т | ч е | т е с т о в е т е | с а | б и л и | ф а л ш и ф и ц и р а н и | о т | х о л | к о й т о | з а е д н о | с | 3 4 | д р у г и | с л у ж и т е л и | в | с ф е р а т а | н а | о б р а з о в а н и е т о | п о л у ч и | о б в и н е н и е | п р е з | 2 0 1 3 | г о д и н а |	203520	MALE
246	15462923744813920707.wav	Радва ме, че има хора, които имат желание да ме подкрепят.	радва ме че има хора които имат желание да ме подкрепят	р а д в а | м е | ч е | и м а | х о р а | к о и т о | и м а т | ж е л а н и е | д а | м е | п о д к р е п я т |	64320	FEMALE
295	6709955273948025847.wav	Луно имал 120 – 160 м3 гориво на борда, когато се счупил и силните ветрове и вълни го изблъскали във вълнолома.	луно имал 120 – 160 м3 гориво на борда когато се счупил и силните ветрове и вълни го изблъскали във вълнолома	л у н о | и м а л | 1 2 0 | – | 1 6 0 | м 3 | г о р и в о | н а | б о р д а | к о г а т о | с е | с ч у п и л | и | с и л н и т е | в е т р о в е | и | в ъ л н и | г о | и з б л ъ с к а л и | в ъ в | в ъ л н о л о м а |	250560	MALE
348	871422003126740726.wav	Оцелелият Франсизек Ковал каза, че едно от стъклата най - накрая се счупило и те започнали да излизат през прозореца."	оцелелият франсизек ковал каза че едно от стъклата най - накрая се счупило и те започнали да излизат през прозореца.	о ц е л е л и я т | ф р а н с и з е к | к о в а л | к а з а | ч е | е д н о | о т | с т ъ к л а т а | н а й | - | н а к р а я | с е | с ч у п и л о | и | т е | з а п о ч н а л и | д а | и з л и з а т | п р е з | п р о з о р е ц а . |	192960	FEMALE
245	16896936612699937082.wav	„Може някои хора да не са съгласни, но за мен няма значение.	може някои хора да не са съгласни но за мен няма значение	м о ж е | н я к о и | х о р а | д а | н е | с а | с ъ г л а с н и | н о | з а | м е н | н я м а | з н а ч е н и е |	142080	MALE
758	3622560612575601891.wav	Докато те обикновено са частна собственост, те понякога настаняват държавни и други официални лица на посещение.	докато те обикновено са частна собственост те понякога настаняват държавни и други официални лица на посещение	д о к а т о | т е | о б и к н о в е н о | с а | ч а с т н а | с о б с т в е н о с т | т е | п о н я к о г а | н а с т а н я в а т | д ъ р ж а в н и | и | д р у г и | о ф и ц и а л н и | л и ц а | н а | п о с е щ е н и е |	142080	FEMALE
215	16487863457250419866.wav	И голф, и ръгби са на път да се върнат на Олимпийските игри.	и голф и ръгби са на път да се върнат на олимпийските игри	и | г о л ф | и | р ъ г б и | с а | н а | п ъ т | д а | с е | в ъ р н а т | н а | о л и м п и й с к и т е | и г р и |	74880	MALE
1	16809015715562714104.wav	Учените от медицинското училище в университета в Станфод обявиха в понеделник изобретяването на нов диагностичен инструмент, който може да сортира клетките по тип: малък печатен чип, който може да бъде произведен с помощта на стандартни мастилено-струйни принтери за вероятно около един американски цент всеки.	учените от медицинското училище в университета в станфод обявиха в понеделник изобретяването на нов диагностичен инструмент който може да сортира клетките по тип: малък печатен чип който може да бъде произведен с помощта на стандартни мастилено-струйни принтери за вероятно около един американски цент всеки	у ч е н и т е | о т | м е д и ц и н с к о т о | у ч и л и щ е | в | у н и в е р с и т е т а | в | с т а н ф о д | о б я в и х а | в | п о н е д е л н и к | и з о б р е т я в а н е т о | н а | н о в | д и а г н о с т и ч е н | и н с т р у м е н т | к о й т о | м о ж е | д а | с о р т и р а | к л е т к и т е | п о | т и п : | м а л ъ к | п е ч а т е н | ч и п | к о й т о | м о ж е | д а | б ъ д е | п р о и з в е д е н | с | п о м о щ т а | н а | с т а н д а р т н и | м а с т и л е н о - с т р у й н и | п р и н т е р и | з а | в е р о я т н о | о к о л о | е д и н | а м е р и к а н с к и | ц е н т | в с е к и |	291840	MALE
142	5500771512248111876.wav	Поради опасения относно COVID-19 Националната баскетболна асоциация (НБА) на САЩ прекрати професионалния си баскетболен сезон в сряда.	поради опасения относно covid-19 националната баскетболна асоциация нба на сащ прекрати професионалния си баскетболен сезон в сряда	п о р а д и | о п а с е н и я | о т н о с н о | c o v i d - 1 9 | н а ц и о н а л н а т а | б а с к е т б о л н а | а с о ц и а ц и я | н б а | н а | с а щ | п р е к р а т и | п р о ф е с и о н а л н и я | с и | б а с к е т б о л е н | с е з о н | в | с р я д а |	218880	MALE
210	9098228200987387662.wav	Служител от газовата компания докладваше от мястото на събитието, след като съсед е позвънил за изтичане на газ.	служител от газовата компания докладваше от мястото на събитието след като съсед е позвънил за изтичане на газ	с л у ж и т е л | о т | г а з о в а т а | к о м п а н и я | д о к л а д в а ш е | о т | м я с т о т о | н а | с ъ б и т и е т о | с л е д | к а т о | с ъ с е д | е | п о з в ъ н и л | з а | и з т и ч а н е | н а | г а з |	124800	MALE
360	14677644276597607094.wav	Този процес се нарича от учените „стимулирано излъчване на радиация“, защото атомите се стимулират от ярката светлина, причинявайки излъчването на фотони, а светлината е вид радиация.	този процес се нарича от учените стимулирано излъчване на радиация  защото атомите се стимулират от ярката светлина причинявайки излъчването на фотони а светлината е вид радиация	т о з и | п р о ц е с | с е | н а р и ч а | о т | у ч е н и т е | с т и м у л и р а н о | и з л ъ ч в а н е | н а | р а д и а ц и я | з а щ о т о | а т о м и т е | с е | с т и м у л и р а т | о т | я р к а т а | с в е т л и н а | п р и ч и н я в а й к и | и з л ъ ч в а н е т о | н а | ф о т о н и | а | с в е т л и н а т а | е | в и д | р а д и а ц и я |	284160	FEMALE
150	10656477149927467787.wav	Northern Rock се нуждаеше от подкрепа поради фактическата си задлъжнялост по време на ипотечната криза с високорисковите ипотечни кредити през 2007 г.	northern rock се нуждаеше от подкрепа поради фактическата си задлъжнялост по време на ипотечната криза с високорисковите ипотечни кредити през 2007 г	n o r t h e r n | r o c k | с е | н у ж д а е ш е | о т | п о д к р е п а | п о р а д и | ф а к т и ч е с к а т а | с и | з а д л ъ ж н я л о с т | п о | в р е м е | н а | и п о т е ч н а т а | к р и з а | с | в и с о к о р и с к о в и т е | и п о т е ч н и | к р е д и т и | п р е з | 2 0 0 7 | г |	162240	FEMALE
603	14761235142961554691.wav	Друг пример е водата. Съставната вода се състои от два атома водород и един атом кислород.	друг пример е водата. съставната вода се състои от два атома водород и един атом кислород	д р у г | п р и м е р | е | в о д а т а . | с ъ с т а в н а т а | в о д а | с е | с ъ с т о и | о т | д в а | а т о м а | в о д о р о д | и | е д и н | а т о м | к и с л о р о д |	140160	MALE
211	15352269863887557442.wav	Когато служителят е пристигнал, апартаментът е експлодирал.	когато служителят е пристигнал апартаментът е експлодирал	к о г а т о | с л у ж и т е л я т | е | п р и с т и г н а л | а п а р т а м е н т ъ т | е | е к с п л о д и р а л |	78720	MALE
612	9759856105188037172.wav	Сложните анимации могат да бъдат създадени на компютри, а този вид анимация се използва все повече в телевизията и филмите.	сложните анимации могат да бъдат създадени на компютри а този вид анимация се използва все повече в телевизията и филмите	с л о ж н и т е | а н и м а ц и и | м о г а т | д а | б ъ д а т | с ъ з д а д е н и | н а | к о м п ю т р и | а | т о з и | в и д | а н и м а ц и я | с е | и з п о л з в а | в с е | п о в е ч е | в | т е л е в и з и я т а | и | ф и л м и т е |	172800	MALE
1246	13832290166475787138.wav	В края на 2015 г. TogiNet създава AstroNet Radio като спомагателна станция.	в края на 2015 г. toginet създава astronet radio като спомагателна станция	в | к р а я | н а | 2 0 1 5 | г . | t o g i n e t | с ъ з д а в а | a s t r o n e t | r a d i o | к а т о | с п о м а г а т е л н а | с т а н ц и я |	173760	MALE
695	5137191544853107756.wav	Древният град в Юдейските хълмове има очарователна история, обхващаща хиляди години.	древният град в юдейските хълмове има очарователна история обхващаща хиляди години	д р е в н и я т | г р а д | в | ю д е й с к и т е | х ъ л м о в е | и м а | о ч а р о в а т е л н а | и с т о р и я | о б х в а щ а щ а | х и л я д и | г о д и н и |	139200	MALE
190	8712405800399981113.wav	Тайфунът се движи със скорост 11 км/ч към Китай.	тайфунът се движи със скорост 11 км/ч към китай	т а й ф у н ъ т | с е | д в и ж и | с ъ с | с к о р о с т | 1 1 | к м / ч | к ъ м | к и т а й |	85440	FEMALE
79	18394797152816216689.wav	Марухидор финишира на върха на таблицата, на 6 точки пред втория Нуса.	марухидор финишира на върха на таблицата на 6 точки пред втория нуса	м а р у х и д о р | ф и н и ш и р а | н а | в ъ р х а | н а | т а б л и ц а т а | н а | 6 | т о ч к и | п р е д | в т о р и я | н у с а |	121920	MALE
62	3690690314598794085.wav	По време на двучасовата си реч той заяви, „Днес Apple ще пресъздаде телефона, днес ние ще напишем историята“.	по време на двучасовата си реч той заяви днес apple ще пресъздаде телефона днес ние ще напишем историята	п о | в р е м е | н а | д в у ч а с о в а т а | с и | р е ч | т о й | з а я в и | д н е с | a p p l e | щ е | п р е с ъ з д а д е | т е л е ф о н а | д н е с | н и е | щ е | н а п и ш е м | и с т о р и я т а |	124800	FEMALE
919	10257568856940460825.wav	Използването на GPS приложения за навигация на смартфона ви може да бъде най-лесният и удобен начин за навигация, когато сте извън страната си.	използването на gps приложения за навигация на смартфона ви може да бъде най-лесният и удобен начин за навигация когато сте извън страната си	и з п о л з в а н е т о | н а | g p s | п р и л о ж е н и я | з а | н а в и г а ц и я | н а | с м а р т ф о н а | в и | м о ж е | д а | б ъ д е | н а й - л е с н и я т | и | у д о б е н | н а ч и н | з а | н а в и г а ц и я | к о г а т о | с т е | и з в ъ н | с т р а н а т а | с и |	133440	MALE
30	4275996680727629483.wav	По време на бунт иракският затвор Абу Граиб беше подпален.	по време на бунт иракският затвор абу граиб беше подпален	п о | в р е м е | н а | б у н т | и р а к с к и я т | з а т в о р | а б у | г р а и б | б е ш е | п о д п а л е н |	97920	MALE
1309	7693290061382666087.wav	Те включват Холандия, като вчера Ана Йохимисен завърши девета в категорията седящи за жени в Super-G, и Финландия с Катя Сааринен, финиширала десета в същото състезание.	те включват холандия като вчера ана йохимисен завърши девета в категорията седящи за жени в super-g и финландия с катя сааринен финиширала десета в същото състезание	т е | в к л ю ч в а т | х о л а н д и я | к а т о | в ч е р а | а н а | й о х и м и с е н | з а в ъ р ш и | д е в е т а | в | к а т е г о р и я т а | с е д я щ и | з а | ж е н и | в | s u p e r - g | и | ф и н л а н д и я | с | к а т я | с а а р и н е н | ф и н и ш и р а л а | д е с е т а | в | с ъ щ о т о | с ъ с т е з а н и е |	292800	FEMALE
324	2430733424802190018.wav	Тропическата буря Даниел, четвъртата известна по име буря от сезона на ураганите през 2010 година в Атлантическия океан, се е образувала в източния Атлантически океан.	тропическата буря даниел четвъртата известна по име буря от сезона на ураганите през 2010 година в атлантическия океан се е образувала в източния атлантически океан	т р о п и ч е с к а т а | б у р я | д а н и е л | ч е т в ъ р т а т а | и з в е с т н а | п о | и м е | б у р я | о т | с е з о н а | н а | у р а г а н и т е | п р е з | 2 0 1 0 | г о д и н а | в | а т л а н т и ч е с к и я | о к е а н | с е | е | о б р а з у в а л а | в | и з т о ч н и я | а т л а н т и ч е с к и | о к е а н |	193920	MALE
1221	4108815948498467357.wav	Параолимпийските игри ще се проведат между 24 август и 5 септември 2021 г. Някои от събитията ще се състоят на други места в Япония.	параолимпийските игри ще се проведат между 24 август и 5 септември 2021 г. някои от събитията ще се състоят на други места в япония	п а р а о л и м п и й с к и т е | и г р и | щ е | с е | п р о в е д а т | м е ж д у | 2 4 | а в г у с т | и | 5 | с е п т е м в р и | 2 0 2 1 | г . | н я к о и | о т | с ъ б и т и я т а | щ е | с е | с ъ с т о я т | н а | д р у г и | м е с т а | в | я п о н и я |	233280	MALE
452	1828275733358282210.wav	Научаването да се създава интерактивна медия изисква обичайни и традиционни умения, както и инструменти, научени в интерактивни класове (сториборд, редакция на аудио и видео, разказване на истории и др.)	научаването да се създава интерактивна медия изисква обичайни и традиционни умения както и инструменти научени в интерактивни класове сториборд редакция на аудио и видео разказване на истории и др.	н а у ч а в а н е т о | д а | с е | с ъ з д а в а | и н т е р а к т и в н а | м е д и я | и з и с к в а | о б и ч а й н и | и | т р а д и ц и о н н и | у м е н и я | к а к т о | и | и н с т р у м е н т и | н а у ч е н и | в | и н т е р а к т и в н и | к л а с о в е | с т о р и б о р д | р е д а к ц и я | н а | а у д и о | и | в и д е о | р а з к а з в а н е | н а | и с т о р и и | и | д р . |	263040	FEMALE
140	6716153425562268792.wav	Тропическият циклон Гону, кръстен на торба с палмови листа на езика на Малдивите, в пика си достига сила на вятъра от 240 км/ч (149 мили в час).	тропическият циклон гону кръстен на торба с палмови листа на езика на малдивите в пика си достига сила на вятъра от 240 км/ч 149 мили в час	т р о п и ч е с к и я т | ц и к л о н | г о н у | к р ъ с т е н | н а | т о р б а | с | п а л м о в и | л и с т а | н а | е з и к а | н а | м а л д и в и т е | в | п и к а | с и | д о с т и г а | с и л а | н а | в я т ъ р а | о т | 2 4 0 | к м / ч | 1 4 9 | м и л и | в | ч а с |	253440	MALE
609	17065171818569768998.wav	Времето също е как сравняваме продължителността (дължината) на събитията.	времето също е как сравняваме продължителността дължината на събитията	в р е м е т о | с ъ щ о | е | к а к | с р а в н я в а м е | п р о д ъ л ж и т е л н о с т т а | д ъ л ж и н а т а | н а | с ъ б и т и я т а |	99840	MALE
1346	13008342445446468514.wav	На основното представяне на Токио Гейм Шоу в четвъртък, президентът на Нинтендо Сатору Ивата разкри дизайна на контролера за новата конзола на компанията „Нинтендо Революшън“.	на основното представяне на токио гейм шоу в четвъртък президентът на нинтендо сатору ивата разкри дизайна на контролера за новата конзола на компанията нинтендо революшън	н а | о с н о в н о т о | п р е д с т а в я н е | н а | т о к и о | г е й м | ш о у | в | ч е т в ъ р т ъ к | п р е з и д е н т ъ т | н а | н и н т е н д о | с а т о р у | и в а т а | р а з к р и | д и з а й н а | н а | к о н т р о л е р а | з а | н о в а т а | к о н з о л а | н а | к о м п а н и я т а | н и н т е н д о | р е в о л ю ш ъ н |	216000	FEMALE
1374	67501011288051986.wav	През 1994 г. този конфликт води до отделянето на самопровъзгласилата се Приднестровска молдовска република, която, макар със собствено правителство и собствена валута, не е призната от никоя държава-членка на ООН.	през 1994 г. този конфликт води до отделянето на самопровъзгласилата се приднестровска молдовска република която макар със собствено правителство и собствена валута не е призната от никоя държава-членка на оон	п р е з | 1 9 9 4 | г . | т о з и | к о н ф л и к т | в о д и | д о | о т д е л я н е т о | н а | с а м о п р о в ъ з г л а с и л а т а | с е | п р и д н е с т р о в с к а | м о л д о в с к а | р е п у б л и к а | к о я т о | м а к а р | с ъ с | с о б с т в е н о | п р а в и т е л с т в о | и | с о б с т в е н а | в а л у т а | н е | е | п р и з н а т а | о т | н и к о я | д ъ р ж а в а - ч л е н к а | н а | о о н |	313920	FEMALE
1201	4356657688579241093.wav	Баба Канжар, Бута Канжар, Рампро Канжар, Газа Канжар и Вишну Канжар са имената на обвиняемите.	баба канжар бута канжар рампро канжар газа канжар и вишну канжар са имената на обвиняемите	б а б а | к а н ж а р | б у т а | к а н ж а р | р а м п р о | к а н ж а р | г а з а | к а н ж а р | и | в и ш н у | к а н ж а р | с а | и м е н а т а | н а | о б в и н я е м и т е |	146880	MALE
732	3673471062562350988.wav	За тези, които обичат дейности на открито, походът до коридора „Море–небе“ е от съществено значение.	за тези които обичат дейности на открито походът до коридора море–небе  е от съществено значение	з а | т е з и | к о и т о | о б и ч а т | д е й н о с т и | н а | о т к р и т о | п о х о д ъ т | д о | к о р и д о р а | м о р е – н е б е | е | о т | с ъ щ е с т в е н о | з н а ч е н и е |	211200	FEMALE
1104	5976062534384186318.wav	Домашните кози обикновено се отглеждали на стада, които се скитали по хълмове или други пасища, често придружавани от козари, които обикновено били деца или юноши, подобно на по-широко известния овчар. Тези методи на пастирство все още се използват.	домашните кози обикновено се отглеждали на стада които се скитали по хълмове или други пасища често придружавани от козари които обикновено били деца или юноши подобно на по-широко известния овчар. тези методи на пастирство все още се използват	д о м а ш н и т е | к о з и | о б и к н о в е н о | с е | о т г л е ж д а л и | н а | с т а д а | к о и т о | с е | с к и т а л и | п о | х ъ л м о в е | и л и | д р у г и | п а с и щ а | ч е с т о | п р и д р у ж а в а н и | о т | к о з а р и | к о и т о | о б и к н о в е н о | б и л и | д е ц а | и л и | ю н о ш и | п о д о б н о | н а | п о - ш и р о к о | и з в е с т н и я | о в ч а р . | т е з и | м е т о д и | н а | п а с т и р с т в о | в с е | о щ е | с е | и з п о л з в а т |	342720	FEMALE
1037	9160840690256911744.wav	Според най-новия бюлетин отчетеното морско ниво посочва, че се е генерирало цунами. Определено има записана активност на цунами близо до Паго Паго и Ниуе.	според най-новия бюлетин отчетеното морско ниво посочва че се е генерирало цунами. определено има записана активност на цунами близо до паго паго и ниуе	с п о р е д | н а й - н о в и я | б ю л е т и н | о т ч е т е н о т о | м о р с к о | н и в о | п о с о ч в а | ч е | с е | е | г е н е р и р а л о | ц у н а м и . | о п р е д е л е н о | и м а | з а п и с а н а | а к т и в н о с т | н а | ц у н а м и | б л и з о | д о | п а г о | п а г о | и | н и у е |	200640	FEMALE
473	12261786974064928277.wav	Първата война, чийто основен въпрос беше балансът на силите, бе войната за испанското наследство.	първата война чийто основен въпрос беше балансът на силите бе войната за испанското наследство	п ъ р в а т а | в о й н а | ч и й т о | о с н о в е н | в ъ п р о с | б е ш е | б а л а н с ъ т | н а | с и л и т е | б е | в о й н а т а | з а | и с п а н с к о т о | н а с л е д с т в о |	142080	MALE
26	10373129766202260654.wav	Първото включване на Овечкин за вечерта беше за гол на Никлас Бекстром, с който спечелиха мача;	първото включване на овечкин за вечерта беше за гол на никлас бекстром с който спечелиха мача;	п ъ р в о т о | в к л ю ч в а н е | н а | о в е ч к и н | з а | в е ч е р т а | б е ш е | з а | г о л | н а | н и к л а с | б е к с т р о м | с | к о й т о | с п е ч е л и х а | м а ч а ; |	174720	FEMALE
437	13780765909845238013.wav	Друкгиал Дзонг е будистки манастир и разрушена крепост в горната част на област Паро (с. Понди).	друкгиал дзонг е будистки манастир и разрушена крепост в горната част на област паро с. понди	д р у к г и а л | д з о н г | е | б у д и с т к и | м а н а с т и р | и | р а з р у ш е н а | к р е п о с т | в | г о р н а т а | ч а с т | н а | о б л а с т | п а р о | с . | п о н д и |	169920	FEMALE
137	3137286136648969530.wav	Невротоксинът, произведен от водораслите, може да увреди нервите както на хората, така и на рибите.	невротоксинът произведен от водораслите може да увреди нервите както на хората така и на рибите	н е в р о т о к с и н ъ т | п р о и з в е д е н | о т | в о д о р а с л и т е | м о ж е | д а | у в р е д и | н е р в и т е | к а к т о | н а | х о р а т а | т а к а | и | н а | р и б и т е |	144960	MALE
741	14124146733543903893.wav	Това е архипелаг с 15 острова, разпръснати върху площ от 2,2 милиона км2 от океана.	това е архипелаг с 15 острова разпръснати върху площ от 2,2 милиона км2 от океана	т о в а | е | а р х и п е л а г | с | 1 5 | о с т р о в а | р а з п р ъ с н а т и | в ъ р х у | п л о щ | о т | 2 , 2 | м и л и о н а | к м 2 | о т | о к е а н а |	176640	MALE
1046	6175201242168869071.wav	Костюмите са стандартно бизнес облекло, а колегите се обръщат едни към други с фамилни имена или длъжности.	костюмите са стандартно бизнес облекло а колегите се обръщат едни към други с фамилни имена или длъжности	к о с т ю м и т е | с а | с т а н д а р т н о | б и з н е с | о б л е к л о | а | к о л е г и т е | с е | о б р ъ щ а т | е д н и | к ъ м | д р у г и | с | ф а м и л н и | и м е н а | и л и | д л ъ ж н о с т и |	159360	MALE
265	16057159800572569133.wav	Станцията запази позицията си до края на космическата разходка, въпреки загубата на жироскоп по-рано по време на мисията.	станцията запази позицията си до края на космическата разходка въпреки загубата на жироскоп по-рано по време на мисията	с т а н ц и я т а | з а п а з и | п о з и ц и я т а | с и | д о | к р а я | н а | к о с м и ч е с к а т а | р а з х о д к а | в ъ п р е к и | з а г у б а т а | н а | ж и р о с к о п | п о - р а н о | п о | в р е м е | н а | м и с и я т а |	144960	FEMALE
1201	7744230475547327248.wav	Баба Канжар, Бута Канжар, Рампро Канжар, Газа Канжар и Вишну Канжар са имената на обвиняемите.	баба канжар бута канжар рампро канжар газа канжар и вишну канжар са имената на обвиняемите	б а б а | к а н ж а р | б у т а | к а н ж а р | р а м п р о | к а н ж а р | г а з а | к а н ж а р | и | в и ш н у | к а н ж а р | с а | и м е н а т а | н а | о б в и н я е м и т е |	132480	MALE
76	5699850714832349459.wav	Като заяви, че би било неетично да се коментират спецификите на вероятните случаи, Робъртс категорично отказа да каже кога смята, че животът започва, един важен въпрос при обмислянето на етиката на абортите.	като заяви че би било неетично да се коментират спецификите на вероятните случаи робъртс категорично отказа да каже кога смята че животът започва един важен въпрос при обмислянето на етиката на абортите	к а т о | з а я в и | ч е | б и | б и л о | н е е т и ч н о | д а | с е | к о м е н т и р а т | с п е ц и ф и к и т е | н а | в е р о я т н и т е | с л у ч а и | р о б ъ р т с | к а т е г о р и ч н о | о т к а з а | д а | к а ж е | к о г а | с м я т а | ч е | ж и в о т ъ т | з а п о ч в а | е д и н | в а ж е н | в ъ п р о с | п р и | о б м и с л я н е т о | н а | е т и к а т а | н а | а б о р т и т е |	378240	MALE
878	9724839733184716495.wav	Инфекциозно заболяване е причиненото от патогени като вируси, бактерии, гъбички или други паразити.	инфекциозно заболяване е причиненото от патогени като вируси бактерии гъбички или други паразити	и н ф е к ц и о з н о | з а б о л я в а н е | е | п р и ч и н е н о т о | о т | п а т о г е н и | к а т о | в и р у с и | б а к т е р и и | г ъ б и ч к и | и л и | д р у г и | п а р а з и т и |	119040	FEMALE
100	11840835264252181834.wav	Прекъсване на електрозахранването след рутинен тест на противопожарната система доведе до отваряне на предпазните вентили и разлив на суров нефт близо до помпена станция 9 във Форт Грийли.	прекъсване на електрозахранването след рутинен тест на противопожарната система доведе до отваряне на предпазните вентили и разлив на суров нефт близо до помпена станция 9 във форт грийли	п р е к ъ с в а н е | н а | е л е к т р о з а х р а н в а н е т о | с л е д | р у т и н е н | т е с т | н а | п р о т и в о п о ж а р н а т а | с и с т е м а | д о в е д е | д о | о т в а р я н е | н а | п р е д п а з н и т е | в е н т и л и | и | р а з л и в | н а | с у р о в | н е ф т | б л и з о | д о | п о м п е н а | с т а н ц и я | 9 | в ъ в | ф о р т | г р и й л и |	242880	FEMALE
