1090	17489440875552726329.wav	Кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды.	кейде күш қолданылған наразылықтарға сайлаудың 2011 жылдан бері өткізілмеуі себеп болды	к е й д е | к ү ш | қ о л д а н ы л ғ а н | н а р а з ы л ы қ т а р ғ а | с а й л а у д ы ң | 2 0 1 1 | ж ы л д а н | б е р і | ө т к і з і л м е у і | с е б е п | б о л д ы |	120960	MALE
820	148289743214948291.wav	Саяхаттағанда, барлығы «үйдегідей» болмайтынын күтіңіз. Әдептілік, заңдар, тамақ, жол қозғалысы, тұрғын жай, стандарттар, тіл және т.с.с. сіз тұратын жерден белгілі бір дәрежеде ерекшеленеді.	саяхаттағанда барлығы «үйдегідей» болмайтынын күтіңіз. әдептілік заңдар тамақ жол қозғалысы тұрғын жай стандарттар тіл және т.с.с. сіз тұратын жерден белгілі бір дәрежеде ерекшеленеді	с а я х а т т а ғ а н д а | б а р л ы ғ ы | « ү й д е г і д е й » | б о л м а й т ы н ы н | к ү т і ң і з . | ә д е п т і л і к | з а ң д а р | т а м а қ | ж о л | қ о з ғ а л ы с ы | т ұ р ғ ы н | ж а й | с т а н д а р т т а р | т і л | ж ә н е | т . с . с . | с і з | т ұ р а т ы н | ж е р д е н | б е л г і л і | б і р | д ә р е ж е д е | е р е к ш е л е н е д і |	374400	FEMALE
1186	2432849549886893760.wav	Парсы тілінің грамматикасы салыстырмалы түрде оңай және көбінесе жүйелі болып келеді.	парсы тілінің грамматикасы салыстырмалы түрде оңай және көбінесе жүйелі болып келеді	п а р с ы | т і л і н і ң | г р а м м а т и к а с ы | с а л ы с т ы р м а л ы | т ү р д е | о ң а й | ж ә н е | к ө б і н е с е | ж ү й е л і | б о л ы п | к е л е д і |	196800	FEMALE
1399	13453740948828021712.wav	Жол қозғалысының ағынын жақсырақ көсрету үшін үш негізгі сипаттама арасында қатынастар орнатылды: (1) ағын, (2) тығыздық және (3) жылдамдық.	жол қозғалысының ағынын жақсырақ көсрету үшін үш негізгі сипаттама арасында қатынастар орнатылды: 1 ағын 2 тығыздық және 3 жылдамдық	ж о л | қ о з ғ а л ы с ы н ы ң | а ғ ы н ы н | ж а қ с ы р а қ | к ө с р е т у | ү ш і н | ү ш | н е г і з г і | с и п а т т а м а | а р а с ы н д а | қ а т ы н а с т а р | о р н а т ы л д ы : | 1 | а ғ ы н | 2 | т ы ғ ы з д ы қ | ж ә н е | 3 | ж ы л д а м д ы қ |	230400	MALE
550	1624079498346483688.wav	Әрине, бірінші сыныпты жарты миляға жүгіруші, екі минуттан аз уақытта жүгіріп өте алатын адамда айтарлықтай жылдамдық болуы керек, бірақ төзімділікті барлық әдістермен тарату керек.	әрине бірінші сыныпты жарты миляға жүгіруші екі минуттан аз уақытта жүгіріп өте алатын адамда айтарлықтай жылдамдық болуы керек бірақ төзімділікті барлық әдістермен тарату керек	ә р и н е | б і р і н ш і | с ы н ы п т ы | ж а р т ы | м и л я ғ а | ж ү г і р у ш і | е к і | м и н у т т а н | а з | у а қ ы т т а | ж ү г і р і п | ө т е | а л а т ы н | а д а м д а | а й т а р л ы қ т а й | ж ы л д а м д ы қ | б о л у ы | к е р е к | б і р а қ | т ө з і м д і л і к т і | б а р л ы қ | ә д і с т е р м е н | т а р а т у | к е р е к |	209280	MALE
128	9169337418562540538.wav	Көптеген олардың жазушылары Джон Стюарт пен Стивен Колберттің жаңалықтар пародия шоуларына үлкен әсерін тигізді.	көптеген олардың жазушылары джон стюарт пен стивен колберттің жаңалықтар пародия шоуларына үлкен әсерін тигізді	к ө п т е г е н | о л а р д ы ң | ж а з у ш ы л а р ы | д ж о н | с т ю а р т | п е н | с т и в е н | к о л б е р т т і ң | ж а ң а л ы қ т а р | п а р о д и я | ш о у л а р ы н а | ү л к е н | ә с е р і н | т и г і з д і |	144000	MALE
1196	8715229157180925999.wav	Гуарани қазіргі Шығыс Парагвайды мекендейтін ең маңызды жергілікті топ болған. Олар жартылай көшпелі аңшылар ретінде өмір сүрген, сонымен бірге табиғи ауыл шаруашылығымен айналысқан.	гуарани қазіргі шығыс парагвайды мекендейтін ең маңызды жергілікті топ болған олар жартылай көшпелі аңшылар ретінде өмір сүрген сонымен бірге табиғи ауыл шаруашылығымен айналысқан	г у а р а н и | қ а з і р г і | ш ы ғ ы с | п а р а г в а й д ы | м е к е н д е й т і н | е ң | м а ң ы з д ы | ж е р г і л і к т і | т о п | б о л ғ а н | о л а р | ж а р т ы л а й | к ө ш п е л і | а ң ш ы л а р | р е т і н д е | ө м і р | с ү р г е н | с о н ы м е н | б і р г е | т а б и ғ и | а у ы л | ш а р у а ш ы л ы ғ ы м е н | а й н а л ы с қ а н |	224640	MALE
193	14599006256682820866.wav	Аттракциондарда өткізген уақыт өте жағымсыз болды, ең алғашқы адамды түсіру үшін кемінде бір сағаттай уақыт кетті."	аттракциондарда өткізген уақыт өте жағымсыз болды ең алғашқы адамды түсіру үшін кемінде бір сағаттай уақыт кетті	а т т р а к ц и о н д а р д а | ө т к і з г е н | у а қ ы т | ө т е | ж а ғ ы м с ы з | б о л д ы | е ң | а л ғ а ш қ ы | а д а м д ы | т ү с і р у | ү ш і н | к е м і н д е | б і р | с а ғ а т т а й | у а қ ы т | к е т т і |	141120	MALE
395	14386840483033813071.wav	Бірақ Корольдік әскери-теңіз флоты Германия әскери-теңіз күштеріне («Кригсмарин») қарағанда әлдеқайда күшті болды және ағылшын арнасы арқылы жіберілген кез-келген шабуылдау флотын жойып жіберуі мүмкін еді.	бірақ корольдік әскери-теңіз флоты германия әскери-теңіз күштеріне «кригсмарин» қарағанда әлдеқайда күшті болды және ағылшын арнасы арқылы жіберілген кез-келген шабуылдау флотын жойып жіберуі мүмкін еді	б і р а қ | к о р о л ь д і к | ә с к е р и - т е ң і з | ф л о т ы | г е р м а н и я | ә с к е р и - т е ң і з | к ү ш т е р і н е | « к р и г с м а р и н » | қ а р а ғ а н д а | ә л д е қ а й д а | к ү ш т і | б о л д ы | ж ә н е | а ғ ы л ш ы н | а р н а с ы | а р қ ы л ы | ж і б е р і л г е н | к е з - к е л г е н | ш а б у ы л д а у | ф л о т ы н | ж о й ы п | ж і б е р у і | м ү м к і н | е д і |	240000	MALE
386	17016591089932756179.wav	Хангыл күнделікті көп пайдаланылатын, мақсатты түрде ойлап шығарылған жалғыз әліпби болып табылады Бұл әліпби 1444 жылы, Седжон патшаның (1418 – 1450) билігі кезінде ойлап шығарылған.	хангыл күнделікті көп пайдаланылатын мақсатты түрде ойлап шығарылған жалғыз әліпби болып табылады бұл әліпби 1444 жылы седжон патшаның 1418 – 1450 билігі кезінде ойлап шығарылған	х а н г ы л | к ү н д е л і к т і | к ө п | п а й д а л а н ы л а т ы н | м а қ с а т т ы | т ү р д е | о й л а п | ш ы ғ а р ы л ғ а н | ж а л ғ ы з | ә л і п б и | б о л ы п | т а б ы л а д ы | б ұ л | ә л і п б и | 1 4 4 4 | ж ы л ы | с е д ж о н | п а т ш а н ы ң | 1 4 1 8 | – | 1 4 5 0 | б и л і г і | к е з і н д е | о й л а п | ш ы ғ а р ы л ғ а н |	329280	FEMALE
428	2832132958811257767.wav	Түркияның еуропалық бөлігіне (шығыс Фракия немесе Балкан түбегіндегі Румелия) елдің 3% территориясы кіреді.	түркияның еуропалық бөлігіне шығыс фракия немесе балкан түбегіндегі румелия елдің 3% территориясы кіреді	т ү р к и я н ы ң | е у р о п а л ы қ | б ө л і г і н е | ш ы ғ ы с | ф р а к и я | н е м е с е | б а л к а н | т ү б е г і н д е г і | р у м е л и я | е л д і ң | 3 % | т е р р и т о р и я с ы | к і р е д і |	174720	FEMALE
754	13033299141675325008.wav	Егер сізде үлкен минивен, жол талғамайтын көлік, седан немесе фургон болса, көлік кэмпингін жасау мүмкін болады.	егер сізде үлкен минивен жол талғамайтын көлік седан немесе фургон болса көлік кэмпингін жасау мүмкін болады	е г е р | с і з д е | ү л к е н | м и н и в е н | ж о л | т а л ғ а м а й т ы н | к ө л і к | с е д а н | н е м е с е | ф у р г о н | б о л с а | к ө л і к | к э м п и н г і н | ж а с а у | м ү м к і н | б о л а д ы |	199680	FEMALE
577	17224807816118313258.wav	"cell" деген не? "cell" сөзі латынның "cella" сөзінен алынған болып, "шағын бөлме" дегенді білдіреді және ол алғаш рет микроскопист тарапынан тығынның құрылымын бақылау кезінде қолданылған.	cell деген не cell сөзі латынның cella сөзінен алынған болып шағын бөлме дегенді білдіреді және ол алғаш рет микроскопист тарапынан тығынның құрылымын бақылау кезінде қолданылған	c e l l | д е г е н | н е | c e l l | с ө з і | л а т ы н н ы ң | c e l l a | с ө з і н е н | а л ы н ғ а н | б о л ы п | ш а ғ ы н | б ө л м е | д е г е н д і | б і л д і р е д і | ж ә н е | о л | а л ғ а ш | р е т | м и к р о с к о п и с т | т а р а п ы н а н | т ы ғ ы н н ы ң | қ ұ р ы л ы м ы н | б а қ ы л а у | к е з і н д е | қ о л д а н ы л ғ а н |	286080	FEMALE
286	5820699610544976179.wav	Латвия және Словакия елдерінің екеуі де ACTA (контрафакциямен күресу туралы сауда келісімі) келісіміне қосылу процесін кейінге қалдырды.	латвия және словакия елдерінің екеуі де acta контрафакциямен күресу туралы сауда келісімі келісіміне қосылу процесін кейінге қалдырды	л а т в и я | ж ә н е | с л о в а к и я | е л д е р і н і ң | е к е у і | д е | a c t a | к о н т р а ф а к ц и я м е н | к ү р е с у | т у р а л ы | с а у д а | к е л і с і м і | к е л і с і м і н е | қ о с ы л у | п р о ц е с і н | к е й і н г е | қ а л д ы р д ы |	250560	FEMALE
769	5968113445971796184.wav	Басқа шаңғы тебу іс-шаралары Пекиннен шамамен 220 км (140 миля) қашықтықтағы Чжанцзякоу қаласындағы Тайцзичен шаңғы тебу аумағында болады.	басқа шаңғы тебу іс-шаралары пекиннен шамамен 220 км 140 миля қашықтықтағы чжанцзякоу қаласындағы тайцзичен шаңғы тебу аумағында болады	б а с қ а | ш а ң ғ ы | т е б у | і с - ш а р а л а р ы | п е к и н н е н | ш а м а м е н | 2 2 0 | к м | 1 4 0 | м и л я | қ а ш ы қ т ы қ т а ғ ы | ч ж а н ц з я к о у | қ а л а с ы н д а ғ ы | т а й ц з и ч е н | ш а ң ғ ы | т е б у | а у м а ғ ы н д а | б о л а д ы |	233280	MALE
1314	14413017014384863516.wav	Осы аймақта қалсаңыз, сіз әдетте төлқұжат тексеру пункттерінен қайтадан өтпей-ақ шекаралардан өте аласыз.	осы аймақта қалсаңыз сіз әдетте төлқұжат тексеру пункттерінен қайтадан өтпей-ақ шекаралардан өте аласыз	о с ы | а й м а қ т а | қ а л с а ң ы з | с і з | ә д е т т е | т ө л қ ұ ж а т | т е к с е р у | п у н к т т е р і н е н | қ а й т а д а н | ө т п е й - а қ | ш е к а р а л а р д а н | ө т е | а л а с ы з |	149760	MALE
1187	16838292442109501621.wav	Херши мен Чейз жеке ДНҚ-сын бактерияға импланттау үшін фагтарды немесе вирустарды пайдаланды.	херши мен чейз жеке днқ-сын бактерияға импланттау үшін фагтарды немесе вирустарды пайдаланды	х е р ш и | м е н | ч е й з | ж е к е | д н қ - с ы н | б а к т е р и я ғ а | и м п л а н т т а у | ү ш і н | ф а г т а р д ы | н е м е с е | в и р у с т а р д ы | п а й д а л а н д ы |	136320	MALE
482	3990199184960385297.wav	Мистицизм — толық шындықпен, Тәңірмен, рухани шындықпен немесе Құдаймен тұтастық, барабарлық немесе саналы түйсіну.	мистицизм толық шындықпен тәңірмен рухани шындықпен немесе құдаймен тұтастық барабарлық немесе саналы түйсіну	м и с т и ц и з м | т о л ы қ | ш ы н д ы қ п е н | т ә ң і р м е н | р у х а н и | ш ы н д ы қ п е н | н е м е с е | қ ұ д а й м е н | т ұ т а с т ы қ | б а р а б а р л ы қ | н е м е с е | с а н а л ы | т ү й с і н у |	291840	FEMALE
281	986965901872489081.wav	Наразылық ұйымдастырушылары Берлин, Кельн, Гамбург және Ганновер сияқты Германияның қалаларында 100 мыңға жуық адам жиналғанын хабарлады.	наразылық ұйымдастырушылары берлин кельн гамбург және ганновер сияқты германияның қалаларында 100 мыңға жуық адам жиналғанын хабарлады	н а р а з ы л ы қ | ұ й ы м д а с т ы р у ш ы л а р ы | б е р л и н | к е л ь н | г а м б у р г | ж ә н е | г а н н о в е р | с и я қ т ы | г е р м а н и я н ы ң | қ а л а л а р ы н д а | 1 0 0 | м ы ң ғ а | ж у ы қ | а д а м | ж и н а л ғ а н ы н | х а б а р л а д ы |	251520	FEMALE
218	13146522543092676817.wav	Дауысты әлі де Копенгагендегі қазан айындағы жиналыстағы толық IOC ратификациялауы керек.	дауысты әлі де копенгагендегі қазан айындағы жиналыстағы толық ioc ратификациялауы керек	д а у ы с т ы | ә л і | д е | к о п е н г а г е н д е г і | қ а з а н | а й ы н д а ғ ы | ж и н а л ы с т а ғ ы | т о л ы қ | i o c | р а т и ф и к а ц и я л а у ы | к е р е к |	183360	FEMALE
202	8169439241188340239.wav	Оның қалдықтары аралдардың көпшілігінде жауын-шашынға әкелді, бірақ, зақымдар немесе топан сулар туралы есептер алынбады.	оның қалдықтары аралдардың көпшілігінде жауын-шашынға әкелді бірақ зақымдар немесе топан сулар туралы есептер алынбады	о н ы ң | қ а л д ы қ т а р ы | а р а л д а р д ы ң | к ө п ш і л і г і н д е | ж а у ы н - ш а ш ы н ғ а | ә к е л д і | б і р а қ | з а қ ы м д а р | н е м е с е | т о п а н | с у л а р | т у р а л ы | е с е п т е р | а л ы н б а д ы |	231360	FEMALE
967	550607125716111648.wav	Бес жерді білдіретін Чинкве Терре Италияның Лигурия аймағында орналасқан бес кішкентай жағалаудағы Риомаггио, Манарола, Корнилла, Вернацца және Монтероссо ауылдарын қамтиды.	бес жерді білдіретін чинкве терре италияның лигурия аймағында орналасқан бес кішкентай жағалаудағы риомаггио манарола корнилла вернацца және монтероссо ауылдарын қамтиды	б е с | ж е р д і | б і л д і р е т і н | ч и н к в е | т е р р е | и т а л и я н ы ң | л и г у р и я | а й м а ғ ы н д а | о р н а л а с қ а н | б е с | к і ш к е н т а й | ж а ғ а л а у д а ғ ы | р и о м а г г и о | м а н а р о л а | к о р н и л л а | в е р н а ц ц а | ж ә н е | м о н т е р о с с о | а у ы л д а р ы н | қ а м т и д ы |	227520	MALE
1353	5064926663669786338.wav	Қосымша көлік қосылып жатқан жоқ және Уэмблиде жерүсті пойыздары тоқтатылмайды, сонымен қатар автотұрақтар мен тұрақ-аялдама нысандары қолдану үшін қолжетімсіз болады.	қосымша көлік қосылып жатқан жоқ және уэмблиде жерүсті пойыздары тоқтатылмайды сонымен қатар автотұрақтар мен тұрақ-аялдама нысандары қолдану үшін қолжетімсіз болады	қ о с ы м ш а | к ө л і к | қ о с ы л ы п | ж а т қ а н | ж о қ | ж ә н е | у э м б л и д е | ж е р ү с т і | п о й ы з д а р ы | т о қ т а т ы л м а й д ы | с о н ы м е н | қ а т а р | а в т о т ұ р а қ т а р | м е н | т ұ р а қ - а я л д а м а | н ы с а н д а р ы | қ о л д а н у | ү ш і н | қ о л ж е т і м с і з | б о л а д ы |	264000	FEMALE
13	5997423795563660687.wav	Ол жақында Brisbane Open турнирінде Раоникке ұтылды.	ол жақында brisbane open турнирінде раоникке ұтылды	о л | ж а қ ы н д а | b r i s b a n e | o p e n | т у р н и р і н д е | р а о н и к к е | ұ т ы л д ы |	111360	MALE
766	3572540472225430251.wav	Балалары бар отбасылар сирек кездеседі, бірақ кейбір хостелдер оларға жеке бөлмелерде тұруға рұқсат етеді.	балалары бар отбасылар сирек кездеседі бірақ кейбір хостелдер оларға жеке бөлмелерде тұруға рұқсат етеді	б а л а л а р ы | б а р | о т б а с ы л а р | с и р е к | к е з д е с е д і | б і р а қ | к е й б і р | х о с т е л д е р | о л а р ғ а | ж е к е | б ө л м е л е р д е | т ұ р у ғ а | р ұ қ с а т | е т е д і |	177600	FEMALE
653	149158843677517428.wav	Гренландиялық жергілікті тұрғындар бұл сөзді пайдаланатынын естуіңіз мүмкін болғанымен, шетелдіктер бұл сөзді пайдаланбауы керек.	гренландиялық жергілікті тұрғындар бұл сөзді пайдаланатынын естуіңіз мүмкін болғанымен шетелдіктер бұл сөзді пайдаланбауы керек	г р е н л а н д и я л ы қ | ж е р г і л і к т і | т ұ р ғ ы н д а р | б ұ л | с ө з д і | п а й д а л а н а т ы н ы н | е с т у і ң і з | м ү м к і н | б о л ғ а н ы м е н | ш е т е л д і к т е р | б ұ л | с ө з д і | п а й д а л а н б а у ы | к е р е к |	236160	FEMALE
1486	503356822349414747.wav	2016-жылы оның президенттік сайлауына түсуі болжанды.	2016-жылы оның президенттік сайлауына түсуі болжанды	2 0 1 6 - ж ы л ы | о н ы ң | п р е з и д е н т т і к | с а й л а у ы н а | т ү с у і | б о л ж а н д ы |	134400	FEMALE
690	14783944984455602937.wav	Пном-Кром, Сиемреаптан оңтүстік-батысқа қарай 12 км жерде. Төбенің басындағы бұл ғибадатхана 9 ғасырдың соңында, Ясоварман патшаның кезінде салынған.	пном-кром сиемреаптан оңтүстік-батысқа қарай 12 км жерде төбенің басындағы бұл ғибадатхана 9 ғасырдың соңында ясоварман патшаның кезінде салынған	п н о м - к р о м | с и е м р е а п т а н | о ң т ү с т і к - б а т ы с қ а | қ а р а й | 1 2 | к м | ж е р д е | т ө б е н і ң | б а с ы н д а ғ ы | б ұ л | ғ и б а д а т х а н а | 9 | ғ а с ы р д ы ң | с о ң ы н д а | я с о в а р м а н | п а т ш а н ы ң | к е з і н д е | с а л ы н ғ а н |	237120	MALE
699	5635304889460016558.wav	Эквадор Куба азаматтарының Эквадорға халықаралық әуежайлар немесе шекаралық қабылдау нүктелері арқылы кіруі алдында шақыру хатын алуын талап етеді.	эквадор куба азаматтарының эквадорға халықаралық әуежайлар немесе шекаралық қабылдау нүктелері арқылы кіруі алдында шақыру хатын алуын талап етеді	э к в а д о р | к у б а | а з а м а т т а р ы н ы ң | э к в а д о р ғ а | х а л ы қ а р а л ы қ | ә у е ж а й л а р | н е м е с е | ш е к а р а л ы қ | қ а б ы л д а у | н ү к т е л е р і | а р қ ы л ы | к і р у і | а л д ы н д а | ш а қ ы р у | х а т ы н | а л у ы н | т а л а п | е т е д і |	180480	MALE
288	12528291770643224966.wav	RSPCA Жаңа Оңтүстік Уэльстің бас инспекторы Дэвид О'Шаннесси ABC арнасына мал соятын жерлерді бақылау және тексерулер Австралияда қалыпты болуы керектігін айтты.	rspca жаңа оңтүстік уэльстің бас инспекторы дэвид о'шаннесси abc арнасына мал соятын жерлерді бақылау және тексерулер австралияда қалыпты болуы керектігін айтты	r s p c a | ж а ң а | о ң т ү с т і к | у э л ь с т і ң | б а с | и н с п е к т о р ы | д э в и д | о ' ш а н н е с с и | a b c | а р н а с ы н а | м а л | с о я т ы н | ж е р л е р д і | б а қ ы л а у | ж ә н е | т е к с е р у л е р | а в с т р а л и я д а | қ а л ы п т ы | б о л у ы | к е р е к т і г і н | а й т т ы |	292800	FEMALE
1447	14863822527852654270.wav	Доктор Тони Молл Оңтүстік Африканың КваЗулу-Наталь аймағында дәрі-дәрмекке өте төзімді туберкулезді (XDR-TB) тапты.	доктор тони молл оңтүстік африканың квазулу-наталь аймағында дәрі-дәрмекке өте төзімді туберкулезді xdr-tb тапты	д о к т о р | т о н и | м о л л | о ң т ү с т і к | а ф р и к а н ы ң | к в а з у л у - н а т а л ь | а й м а ғ ы н д а | д ә р і - д ә р м е к к е | ө т е | т ө з і м д і | т у б е р к у л е з д і | x d r - t b | т а п т ы |	200640	MALE
824	611575455451040032.wav	Сіз үшін осындай сапарларды жиі брондайтын агент қолданған дұрыс.	сіз үшін осындай сапарларды жиі брондайтын агент қолданған дұрыс	с і з | ү ш і н | о с ы н д а й | с а п а р л а р д ы | ж и і | б р о н д а й т ы н | а г е н т | қ о л д а н ғ а н | д ұ р ы с |	123840	FEMALE
1044	13777454322261806115.wav	Сондай-ақ бұл аумақ жануарлардың және құстардың сан алуан түрлерінің мекені болып табылады.	сондай-ақ бұл аумақ жануарлардың және құстардың сан алуан түрлерінің мекені болып табылады	с о н д а й - а қ | б ұ л | а у м а қ | ж а н у а р л а р д ы ң | ж ә н е | қ ұ с т а р д ы ң | с а н | а л у а н | т ү р л е р і н і ң | м е к е н і | б о л ы п | т а б ы л а д ы |	171840	FEMALE
784	12530990661355341525.wav	Жабайы табиғат фотосуреттерін түсіру көбінесе ұзын телефото объективті қажет етеді, дегенмен құстардың тобы немесе шағын жәндік сияқты нәрселер үшін басқа объективтер керек.	жабайы табиғат фотосуреттерін түсіру көбінесе ұзын телефото объективті қажет етеді дегенмен құстардың тобы немесе шағын жәндік сияқты нәрселер үшін басқа объективтер керек	ж а б а й ы | т а б и ғ а т | ф о т о с у р е т т е р і н | т ү с і р у | к ө б і н е с е | ұ з ы н | т е л е ф о т о | о б ъ е к т и в т і | қ а ж е т | е т е д і | д е г е н м е н | қ ұ с т а р д ы ң | т о б ы | н е м е с е | ш а ғ ы н | ж ә н д і к | с и я қ т ы | н ә р с е л е р | ү ш і н | б а с қ а | о б ъ е к т и в т е р | к е р е к |	248640	FEMALE
67	8103131079105118547.wav	Көп балалы отбасылар үйден шығарумен күресу үшін құқықтық көмек сұрап келгені белгілі болғаннан кейін 20 наурызда тұрғын үй алаяқтығынан зардап шеккендерге арналған Шығыс шығанақ қауымдастығының заң орталығында кездесу өтті.	көп балалы отбасылар үйден шығарумен күресу үшін құқықтық көмек сұрап келгені белгілі болғаннан кейін 20 наурызда тұрғын үй алаяқтығынан зардап шеккендерге арналған шығыс шығанақ қауымдастығының заң орталығында кездесу өтті	к ө п | б а л а л ы | о т б а с ы л а р | ү й д е н | ш ы ғ а р у м е н | к ү р е с у | ү ш і н | қ ұ қ ы қ т ы қ | к ө м е к | с ұ р а п | к е л г е н і | б е л г і л і | б о л ғ а н н а н | к е й і н | 2 0 | н а у р ы з д а | т ұ р ғ ы н | ү й | а л а я қ т ы ғ ы н а н | з а р д а п | ш е к к е н д е р г е | а р н а л ғ а н | ш ы ғ ы с | ш ы ғ а н а қ | қ а у ы м д а с т ы ғ ы н ы ң | з а ң | о р т а л ы ғ ы н д а | к е з д е с у | ө т т і |	469440	FEMALE
691	2833195137327789433.wav	Ғибадатхананың атмосферасы түнеріңкі және Тонл Сап көлінің көрінісі төбеге шығуға тұрарлықтай.	ғибадатхананың атмосферасы түнеріңкі және тонл сап көлінің көрінісі төбеге шығуға тұрарлықтай	ғ и б а д а т х а н а н ы ң | а т м о с ф е р а с ы | т ү н е р і ң к і | ж ә н е | т о н л | с а п | к ө л і н і ң | к ө р і н і с і | т ө б е г е | ш ы ғ у ғ а | т ұ р а р л ы қ т а й |	188160	FEMALE
521	5784871619463848110.wav	Кейбір адамдар көп жасанды туындатылған саналы түс көрулер көбінесе өте шаршатады деп есептейді.	кейбір адамдар көп жасанды туындатылған саналы түс көрулер көбінесе өте шаршатады деп есептейді	к е й б і р | а д а м д а р | к ө п | ж а с а н д ы | т у ы н д а т ы л ғ а н | с а н а л ы | т ү с | к ө р у л е р | к ө б і н е с е | ө т е | ш а р ш а т а д ы | д е п | е с е п т е й д і |	144000	MALE
24	12306482345087570603.wav	Бүгінгі Күн ойыншысы — Washington Capitals командасындағы Алекс Овечкин.	бүгінгі күн ойыншысы washington capitals командасындағы алекс овечкин	б ү г і н г і | к ү н | о й ы н ш ы с ы | w a s h i n g t o n | c a p i t a l s | к о м а н д а с ы н д а ғ ы | а л е к с | о в е ч к и н |	136320	FEMALE
756	12572194041261494443.wav	Бұл қонақүйлер сол кездегі бай және әйгілі адамдар келетін жерлер болған әрі көбінесе оларда таңдаулы тамақтар мен түнгі ойын-сауық болатын.	бұл қонақүйлер сол кездегі бай және әйгілі адамдар келетін жерлер болған әрі көбінесе оларда таңдаулы тамақтар мен түнгі ойын-сауық болатын	б ұ л | қ о н а қ ү й л е р | с о л | к е з д е г і | б а й | ж ә н е | ә й г і л і | а д а м д а р | к е л е т і н | ж е р л е р | б о л ғ а н | ә р і | к ө б і н е с е | о л а р д а | т а ң д а у л ы | т а м а қ т а р | м е н | т ү н г і | о й ы н - с а у ы қ | б о л а т ы н |	157440	MALE
331	1852123038735713714.wav	Клубта Бобектен артық ойынға шыққа немесе гол соққан ешкім жоқ.	клубта бобектен артық ойынға шыққа немесе гол соққан ешкім жоқ	к л у б т а | б о б е к т е н | а р т ы қ | о й ы н ғ а | ш ы қ қ а | н е м е с е | г о л | с о қ қ а н | е ш к і м | ж о қ |	153600	FEMALE
1197	11380190106523369589.wav	Гома - Конго Демократиялық Республикасының Руандаға жақын ең шығыстағы туристік қаласы.	гома конго демократиялық республикасының руандаға жақын ең шығыстағы туристік қаласы	г о м а | к о н г о | д е м о к р а т и я л ы қ | р е с п у б л и к а с ы н ы ң | р у а н д а ғ а | ж а қ ы н | е ң | ш ы ғ ы с т а ғ ы | т у р и с т і к | қ а л а с ы |	165120	FEMALE
1141	2517713919350367440.wav	Бас инспектордың орынбасары Д. К. Аря былай деді: «Біз швейцариялық әйелді зорлаған бес адамды қамауға алдық және оның мобильді телефоны мен ноутбугын қайтардық».	бас инспектордың орынбасары д. к. аря былай деді: «біз швейцариялық әйелді зорлаған бес адамды қамауға алдық және оның мобильді телефоны мен ноутбугын қайтардық»	б а с | и н с п е к т о р д ы ң | о р ы н б а с а р ы | д . | к . | а р я | б ы л а й | д е д і : | « б і з | ш в е й ц а р и я л ы қ | ә й е л д і | з о р л а ғ а н | б е с | а д а м д ы | қ а м а у ғ а | а л д ы қ | ж ә н е | о н ы ң | м о б и л ь д і | т е л е ф о н ы | м е н | н о у т б у г ы н | қ а й т а р д ы қ » |	240960	FEMALE
850	11147786978495610901.wav	Ханги асы жердегі шұңқырда әзірленеді. Бұл шұңқыр қыздырылады.	ханги асы жердегі шұңқырда әзірленеді бұл шұңқыр қыздырылады	х а н г и | а с ы | ж е р д е г і | ш ұ ң қ ы р д а | ә з і р л е н е д і | б ұ л | ш ұ ң қ ы р | қ ы з д ы р ы л а д ы |	147840	FEMALE
1492	6514333575613372420.wav	Францияның сайлау заңнамасы іс жүргізуді қатаң түрде кодтайды.	францияның сайлау заңнамасы іс жүргізуді қатаң түрде кодтайды	ф р а н ц и я н ы ң | с а й л а у | з а ң н а м а с ы | і с | ж ү р г і з у д і | қ а т а ң | т ү р д е | к о д т а й д ы |	90240	MALE
1470	3837691801040677578.wav	Мұның ең көп көңіл бөлуге лайық соңғы мысалдарының бірі Екінші дүниежүзілік соғыстың Солтүстік Атлантикалық науқаны болды. Американдықтар Британияға көмектесу үшін еркектер мен материалдарды Атлант мұхиты арқылы өткізуге әрекеттенген.	мұның ең көп көңіл бөлуге лайық соңғы мысалдарының бірі екінші дүниежүзілік соғыстың солтүстік атлантикалық науқаны болды американдықтар британияға көмектесу үшін еркектер мен материалдарды атлант мұхиты арқылы өткізуге әрекеттенген	м ұ н ы ң | е ң | к ө п | к ө ң і л | б ө л у г е | л а й ы қ | с о ң ғ ы | м ы с а л д а р ы н ы ң | б і р і | е к і н ш і | д ү н и е ж ү з і л і к | с о ғ ы с т ы ң | с о л т ү с т і к | а т л а н т и к а л ы қ | н а у қ а н ы | б о л д ы | а м е р и к а н д ы қ т а р | б р и т а н и я ғ а | к ө м е к т е с у | ү ш і н | е р к е к т е р | м е н | м а т е р и а л д а р д ы | а т л а н т | м ұ х и т ы | а р қ ы л ы | ө т к і з у г е | ә р е к е т т е н г е н |	377280	FEMALE
